Polling Station No,P. KRISHNASAMY,DURAI. SENTHAMIL SELVAN B.E,NARMADHA. G.,VANATHI SRINIVASAN,K. UDHAYAKUMAR,V. SAMPATHKUMAR,S. SENTHILKUMAR,S. MEENAKSHI SUNDARAM,K. RAGHUL GANDHI,RAJASEKARAN. B.,G.D. KRISHNAKUMAR,V. KRISHNAN,R. SATHISH KUMAR,K. SAMPATH KUMAR,S. SAMPATHKUMAR,R. SAMPATH KUMAR,P. SARAVANAN,A.K. SENTHAMIZH SELVAN,R. SETHURAGUNATHAN,S. DHANA RAJ,PALANIKUMAR. V.,BALU. P.M.,R. MANIAN,A. MARIMUTHU,A. RAMESH,RAVI. V,G. RAJKUMAR,V. LINGARAJA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
138,0,217,24,212,2,227,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,688,0,5,693,0
139,0,203,26,200,1,293,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,732,0,5,737,0
140,0,209,24,180,1,284,0,0,0,0,0,0,0,0,0,5,3,3,0,3,1,2,0,0,0,0,0,0,715,0,4,719,0
141,1,281,19,165,1,228,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,699,0,4,703,0
142,1,244,20,131,4,303,0,0,2,1,0,0,1,0,0,3,0,1,0,0,1,0,1,1,0,0,0,0,714,0,4,718,0
143,2,174,30,170,1,197,0,1,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,2,0,583,0,4,587,0
144,1,234,28,142,1,279,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,1,0,694,0,0,694,0
145,3,221,40,131,2,317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,717,0,2,719,0
146,1,203,47,138,2,352,0,0,0,1,0,0,2,0,1,0,1,3,0,0,2,2,1,0,0,1,0,1,758,0,0,758,0
147,1,173,21,187,0,279,0,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,670,0,6,676,0
148,0,213,20,132,1,249,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,622,0,2,624,0
149,0,194,25,164,0,359,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,752,0,3,755,0
150,1,172,27,162,0,200,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,572,0,2,574,0
151,0,308,21,85,1,266,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,684,0,3,687,0
152,4,298,14,116,0,250,0,1,0,0,0,1,1,0,3,0,1,1,0,0,0,1,0,1,0,0,0,1,693,0,1,694,0
153,0,198,28,162,0,259,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,655,0,4,659,0
154,3,209,50,156,0,305,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,728,0,1,729,0
