Polling Station No,G.HARI,D.KRISHNAMURTHY,CHANDRAN .S.S,MUTHURAJ.G,M.SATHYA KUMAR,BALAJI.A,PAVENDHAN.Y.R,KRISHNAMOORTHY.K,KRISHNAMOORTHY.D,KRISHNAMOORTHY.M,SHETTU.S,DR.A.V.NARENDRAN,JAMBU.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
82,255,141,19,1,225,1,0,2,1,2,0,0,1,648,0,2,650,0
83,240,211,39,0,345,0,1,0,0,2,0,0,1,839,0,5,844,0
84,232,162,34,1,177,1,0,1,1,4,1,1,0,615,0,5,620,0
85,266,309,47,2,307,0,0,0,4,0,1,1,0,937,0,1,938,0
86,192,171,18,5,453,2,0,1,4,2,1,1,4,854,0,3,857,0
87,263,169,25,3,445,3,0,2,4,4,2,0,3,923,0,4,927,0
88,184,195,13,1,102,1,0,0,1,4,1,0,4,506,0,0,506,0
89,139,120,11,1,169,1,0,2,1,0,2,1,4,451,0,2,453,0
90,151,157,10,0,238,0,0,2,1,0,0,0,2,561,0,2,563,0
91,262,133,5,0,119,1,0,2,2,4,2,0,1,531,0,5,536,0
92,255,281,8,5,423,0,0,1,0,3,1,1,5,983,0,1,984,0
93,227,191,38,3,365,1,0,1,2,4,0,2,7,841,0,2,843,0
94,169,181,24,3,158,0,0,1,0,1,0,0,3,540,0,2,542,0
95,256,128,20,3,284,1,1,1,1,5,0,1,0,701,0,3,704,0
96,e 2221,72,9,1,137,0,1,2,0,0,1,1,2,447,0,5,452,0
97,193,170,17,4,337,1,1,0,3,8,2,2,1,739,0,5,744,0
98,390,89,13,0,155,0,1,1,1,4,0,0,2,656,0,5,661,0
99,203,195,13,1,211,0,0,0,1,3,1,0,0,628,0,1,629,0
100,342,186,20,1,256,2,0,0,1,1,0,0,1,810,0,2,812,0
101,293,174,20,0,155,0,0,2,2,0,0,0,0,646,0,1,647,0
102,463,170,8,3,274,1,0,0,1,4,0,3,3,930,0,2,932,0
103,230,157,18,0,203,0,0,1,1,1,0,1,2,614,0,3,617,0
104,255,211,29,1,203,1,0,0,0,1,0,0,1,702,0,4,706,0
105,280,243,24,0,251,0,0,0,0,2,1,1,0,802,0,3,805,0
106,206,168,27,1,124,0,0,0,0,1,0,0,0,527,0,5,532,0
107,209,247,49,0,214,1,1,0,0,0,1,1,0,723,0,5,728,0
108,416,105,21,0,88,0,0,0,0,1,1,0,3,635,0,1,636,0
109,390,102,31,1,144,1,2,1,0,1,1,0,3,677,0,3,680,0
110,505,81,13,1,121,0,1,2,2,1,1,0,0,728,0,3,731,0
111,299,266,39,0,266,1,0,1,2,1,0,1,1,877,0,3,880,0
112,232,224,29,0,272,2,0,0,1,1,0,2,0,763,0,3,766,0
113,253,184,24,1,135,0,0,0,0,2,1,0,0,600,0,2,602,0
114,192,184,25,1,270,1,0,1,2,1,0,0,1,678,0,1,679,0
115,265,245,26,5,441,1,0,0,1,2,0,2,2,990,0,4,994,0
116,436,106,16,1,256,0,0,0,1,2,0,0,0,818,0,2,820,0
117,588,164,6,0,94,1,0,0,2,4,0,0,0,859,0,2,861,0
118,370,134,11,0,92,0,0,0,0,0,0,2,2,611,0,3,614,0
119,483,238,20,1,155,2,0,0,0,3,0,0,1,903,0,2,905,0
120,169,178,25,0,221,0,0,0,4,3,1,0,4,605,0,5,610,0
121,217,237,39,0,212,1,0,3,3,0,1,1,0,714,0,4,718,0
122,181,155,21,0,201,1,0,0,0,3,0,0,0,562,0,1,563,0
123,180,115,20,0,116,0,0,2,0,1,0,0,1,435,0,1,436,0
124,250,221,28,0,233,1,0,0,2,7,0,0,0,742,0,5,747,0
125,114,188,18,2,452,2,0,1,3,1,0,1,1,783,0,7,790,0
126,161,190,10,2,216,0,1,1,5,5,3,0,6,600,0,1,601,0
127,181,190,10,2,206,0,0,0,8,4,0,3,4,608,0,2,610,0
128,225,185,9,1,282,0,0,2,4,2,0,0,5,715,0,3,718,0
129,329,217,20,1,216,1,1,0,5,5,2,1,3,801,0,3,804,0
130,152,240,7,0,138,0,1,0,0,7,0,2,14,561,0,6,567,0
131,77,142,15,1,437,4,0,2,1,4,1,0,19,703,0,4,707,0
132,324,188,13,0,241,0,0,2,3,0,0,0,2,773,0,1,774,0
133,407,208,28,1,296,0,0,0,1,6,0,0,1,948,0,7,955,0
134,381,57,13,0,58,0,0,0,0,0,0,0,0,509,0,2,511,0
135,327,222,20,1,242,1,0,0,3,1,0,1,0,818,0,9,827,0
136,302,223,38,3,211,0,0,0,1,0,0,0,1,779,0,3,782,0
137,187,288,38,0,327,0,0,1,1,0,0,0,1,843,0,5,848,0
138,462,123,19,1,135,0,1,0,1,1,0,2,0,745,0,4,749,0
139,520,92,18,0,76,1,1,1,1,0,0,0,0,710,0,2,712,0
140,128,129,9,3,430,1,0,1,1,2,0,1,1,706,0,1,707,0
141,131,169,5,1,149,1,0,1,0,2,0,0,0,459,0,0,459,0
142,363,166,16,4,217,1,1,1,1,0,0,0,2,772,0,8,780,0
143,408,95,8,0,87,0,0,1,2,1,0,1,0,603,0,0,603,0
144,e 3382,222,38,2,212,0,0,1,3,2,0,0,1,863,0,3,866,0
145,220,118,20,2,210,0,0,0,1,2,0,2,1,576,0,5,581,0
146,413,176,24,1,68,0,0,0,1,0,0,0,3,686,0,2,688,0
147,329,253,45,0,317,2,0,0,3,3,0,0,1,953,0,2,955,0
148,293,218,29,1,331,1,1,0,0,2,0,0,1,877,0,3,880,0
149,303,142,11,0,295,2,0,0,3,2,1,1,3,763,0,5,768,0
150,259,217,27,1,187,0,0,0,1,2,0,0,0,694,0,4,698,0
151,236,127,13,0,70,0,2,0,0,3,0,0,1,452,0,2,454,0
152,290,205,26,1,257,1,0,2,3,8,0,0,3,796,0,3,799,0
153,421,115,10,0,137,0,0,0,1,0,1,0,3,688,0,1,689,0
154,484,156,27,0,74,0,0,0,1,2,0,0,0,744,0,2,746,0
155,411,82,17,2,198,1,3,0,1,3,2,0,0,720,0,5,725,0
156,289,115,12,3,249,2,0,0,3,3,1,1,0,678,0,2,680,0
157,282,193,20,1,330,1,0,0,0,4,0,0,1,832,0,3,835,0
158,722,90,17,3,86,0,0,0,0,0,0,0,2,920,0,5,925,0
159,314,249,12,0,95,0,0,0,0,0,0,1,0,671,0,4,675,0
160,280,136,24,2,156,1,1,2,1,2,0,0,0,605,0,4,609,0
161,247,85,38,0,154,1,0,0,2,1,0,0,4,532,0,4,536,0
162,180,141,7,0,196,0,0,1,1,0,0,0,3,529,0,5,534,0
163,280,241,4,1,131,0,0,0,2,0,0,0,3,662,0,3,665,0
164,191,305,13,1,303,1,1,0,2,2,3,0,0,822,0,0,822,0
165,179,143,12,0,222,0,0,0,1,0,1,0,0,558,0,3,561,0
166,272,210,18,0,202,1,1,1,2,1,0,0,1,709,0,1,710,0
167,161,186,8,0,107,1,0,0,0,1,0,0,3,467,0,1,468,0
168,272,141,17,0,216,0,0,0,2,2,0,1,2,653,0,5,658,0
169,193,202,30,4,352,1,0,1,0,1,0,0,1,785,0,2,787,0
170,343,236,23,3,224,1,1,2,1,4,1,2,1,842,0,1,843,0
171,95,202,9,1,260,2,0,0,4,2,1,0,3,579,0,5,584,0
172,211,136,17,0,157,0,0,0,1,1,0,0,2,525,0,0,525,0
173,214,173,17,0,206,0,0,0,1,0,0,1,0,612,0,6,618,0
174,113,122,16,1,143,1,0,1,0,2,0,0,0,399,0,0,399,0
175,177,248,17,2,161,0,1,1,0,4,1,0,1,613,0,2,615,0
176,156,172,22,0,161,2,0,0,3,4,0,0,2,522,0,3,525,0
177,175,191,9,1,122,1,0,0,0,1,1,0,2,503,0,1,504,0
178,273,171,40,1,324,1,0,3,1,1,0,0,2,817,0,7,824,0
179,329,217,44,3,349,1,2,0,1,1,2,2,0,951,0,8,959,0
