Polling Station No,P.SARAVANAN,G.THALAPATHI,V THIRUNAVUKKARASU,A.KALLANAI,R RAJKUMAR,M J VOLTAIRE,N.KUPPUSAMY,J.KESAVARAJAH,M.P.SANKARAPANDI,C.SATHISHKUMAR,D.MOHAMED ISMAIL,P MUTHUSAMY,A.RAJANGAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
59,108,222,33,444,1,0,1,0,1,0,2,0,1,813,0,2,815,0
60,98,428,18,294,0,0,0,1,0,0,2,2,0,843,0,0,843,0
61,99,203,23,344,1,0,0,0,0,0,1,1,1,673,0,3,676,0
62,81,184,27,255,0,0,0,1,0,2,0,1,0,551,0,2,553,0
63,62,163,23,186,0,0,0,1,0,0,0,0,0,435,0,0,435,0
64,77,83,24,195,3,0,0,0,0,0,2,0,0,384,0,1,385,0
65,157,208,28,352,3,1,0,0,0,0,2,0,0,751,0,5,756,0
66,106,214,33,291,0,0,0,0,1,0,0,0,0,645,0,4,649,0
67,100,227,44,388,2,0,0,2,1,0,0,0,1,765,0,2,767,0
68,129,172,29,327,1,0,0,1,0,0,0,1,0,660,0,6,666,0
69,56,128,20,176,0,0,0,0,0,0,1,0,0,381,0,4,385,0
70,38,171,14,195,0,0,0,0,0,0,1,0,0,419,0,0,419,0
71,53,228,24,356,0,0,1,0,0,0,0,0,1,663,0,1,664,0
72,80,230,24,263,0,0,0,0,0,0,0,0,1,598,0,1,599,0
73,62,288,23,399,1,1,1,1,0,0,1,1,1,779,0,2,781,0
74,86,188,18,338,0,0,0,0,0,0,1,1,1,633,0,4,637,0
75,68,120,19,243,1,0,1,0,0,1,0,0,0,453,0,2,455,0
76,84,168,18,274,0,1,0,0,0,2,1,0,0,548,0,2,550,0
77,112,190,38,315,1,1,1,1,0,0,1,0,1,661,0,3,664,0
78,86,172,21,218,1,0,0,0,0,0,0,0,0,498,0,1,499,0
79,124,158,33,279,1,0,0,2,0,1,1,1,2,602,0,3,605,0
80,107,252,33,394,1,0,0,1,0,1,1,0,0,790,0,7,797,0
81,97,253,43,287,2,0,0,0,2,0,2,0,1,687,0,5,692,0
82,100,229,36,348,1,1,1,0,1,0,0,1,2,720,0,5,725,0
83,95,171,18,615,1,1,0,4,0,5,4,2,2,918,0,4,922,0
84,62,262,29,462,2,0,0,1,0,1,0,1,2,822,0,4,826,0
85,87,159,31,201,0,0,0,0,0,0,0,0,1,479,0,1,480,0
86,96,180,36,265,0,0,0,0,0,0,0,0,0,577,0,3,580,0
87,108,241,46,351,0,0,0,0,0,0,3,1,2,752,0,7,759,0
88,35,98,16,91,0,2,0,0,0,0,1,0,0,243,0,2,245,0
89,104,170,23,169,0,3,0,0,0,0,0,1,1,471,0,2,473,0
90,152,279,50,390,1,3,0,2,0,0,1,1,1,880,0,10,890,0
91,92,314,40,398,0,1,1,1,0,1,0,2,3,853,0,8,861,0
92,115,149,30,177,1,0,0,0,0,1,0,0,2,475,0,3,478,0
93,143,247,30,342,0,0,0,0,0,0,0,2,0,764,0,1,765,0
94,89,242,34,284,0,0,0,0,0,0,0,1,0,650,0,3,653,0
95,74,197,23,196,2,0,0,1,0,0,0,1,0,494,0,5,499,0
96,139,239,37,320,2,3,0,0,0,1,0,0,0,741,0,4,745,0
97,110,265,57,229,1,5,0,1,0,0,0,1,3,672,0,3,675,0
98,56,264,25,259,2,1,0,0,0,0,0,0,0,607,0,1,608,0
99,31,260,12,167,0,0,0,0,0,0,0,0,0,470,0,1,471,0
100,101,357,36,315,0,0,0,0,0,0,1,0,1,811,0,5,816,0
101,49,221,15,148,0,1,0,0,0,0,0,0,0,434,0,2,436,0
102,63,412,30,337,0,0,0,1,1,0,0,0,0,844,0,3,847,0
103,85,192,29,403,0,0,0,0,0,0,1,0,1,711,0,2,713,0
104,60,196,22,243,0,0,0,2,0,0,0,1,1,525,0,2,527,0
105,98,186,24,295,1,0,0,0,0,0,0,0,0,604,0,2,606,0
106,61,241,20,244,2,2,0,0,1,0,1,1,0,573,0,0,573,0
107,63,229,45,255,1,0,0,0,0,0,0,0,1,594,0,1,595,0
