Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
167,167,28,137,39,1,0,154,1,0,1,0,0,0,0,0,0,1,0,0,0,362,0,1,363,0
168,168,17,363,32,2,3,234,0,2,0,0,0,1,0,1,1,0,0,4,0,660,0,0,660,0
169,169,28,150,60,0,1,176,0,0,0,0,0,0,0,1,0,1,1,4,1,423,0,2,425,0
170,170,19,200,60,0,1,203,1,0,0,0,0,1,1,0,0,0,0,0,0,486,0,0,486,0
171,171,17,258,104,2,1,156,2,1,0,0,0,0,0,1,0,0,0,0,1,543,0,1,544,0
172,172,11,236,43,1,0,173,0,0,0,0,1,1,1,2,1,1,1,2,0,474,0,0,474,0
173,173,49,242,62,2,1,355,1,0,0,0,0,0,0,0,0,1,2,1,0,716,0,1,717,0
174,174,53,224,53,0,0,268,0,0,0,0,0,1,0,0,0,1,2,0,0,602,0,2,604,0
175,175,25,258,37,1,0,233,0,0,2,0,0,0,0,0,0,2,0,0,0,558,0,1,559,0
176,176,47,225,44,0,2,236,0,0,0,1,2,0,0,3,0,0,0,1,0,561,0,1,562,0
177,177,11,433,24,1,3,111,1,0,0,1,1,0,0,2,2,0,0,1,0,591,0,0,591,0
178,178,25,333,23,0,0,155,1,0,0,0,0,0,1,0,1,0,0,0,0,539,0,2,541,0
179,179,54,233,68,0,4,328,0,0,1,0,1,1,0,1,0,0,0,3,0,694,0,3,697,0
180,180,46,353,66,0,1,331,0,1,1,0,1,0,0,2,1,1,1,1,1,807,0,2,809,0
181,181,16,139,100,1,0,142,0,0,0,0,1,1,0,0,0,0,0,0,0,400,0,0,400,0
182,182,30,357,38,1,0,236,1,1,1,0,0,0,0,1,0,0,0,1,0,667,0,0,667,0
183,183,19,217,130,2,2,263,1,0,1,0,0,0,1,0,2,0,1,0,1,640,0,2,642,0
184,184,30,160,183,2,0,448,2,0,1,0,1,0,0,0,0,2,1,0,1,831,0,3,834,0
185,185,25,402,241,0,0,245,0,0,0,0,0,0,1,0,0,1,1,2,2,920,0,0,920,0
186,186,23,236,200,1,0,183,0,0,1,1,0,0,0,1,0,0,1,0,0,647,0,2,649,0
187,187,29,247,79,1,4,386,1,0,0,0,0,0,0,0,0,1,0,1,0,749,0,4,753,1
188,188,31,267,49,0,0,332,0,0,1,0,1,0,1,0,1,0,0,0,0,683,0,1,684,0
189,189,15,432,49,0,6,279,0,3,0,1,0,0,0,1,0,1,0,2,0,789,0,1,790,0
190,190,9,402,37,1,0,301,1,0,2,0,1,1,1,1,1,0,0,3,0,761,0,0,761,0
191,191,18,368,25,1,1,298,0,1,0,0,1,0,0,0,0,1,1,2,0,717,0,2,719,0
192,192,22,307,44,0,1,193,1,0,0,0,0,1,0,0,0,1,1,1,0,572,0,1,573,0
193,193,14,372,23,1,0,214,1,0,1,0,1,1,0,1,0,0,1,2,0,632,0,2,634,0
194,194,8,280,20,0,1,178,1,0,0,0,0,0,0,0,1,0,0,2,0,491,0,1,492,0
195,195,24,226,112,0,2,227,1,0,0,0,1,0,0,1,0,1,0,0,0,595,0,2,597,0
196,196,12,183,8,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,262,0,0,262,0
197,197,12,332,36,0,3,235,0,0,1,0,0,3,1,1,4,0,0,0,1,629,0,2,631,0
198,198,14,357,28,0,1,112,0,1,0,0,0,0,0,1,0,0,0,0,0,514,0,2,516,0
199,199,12,335,39,0,0,94,0,0,0,0,1,0,0,0,0,0,0,1,0,482,0,6,488,0
200,200,14,343,27,0,0,102,0,2,0,1,0,1,0,0,0,0,0,0,1,491,0,3,494,0
201,201,15,351,13,0,1,154,0,0,0,0,0,1,0,0,0,0,0,1,0,536,0,2,538,0
202,202,39,299,63,1,4,344,0,0,1,0,0,0,0,1,0,1,0,2,1,756,0,4,760,0
203,203,15,210,27,0,2,199,0,1,0,0,0,1,0,1,0,2,0,1,0,459,0,1,460,0
204,204,20,177,22,0,0,190,0,1,0,0,0,1,0,0,0,1,0,0,0,412,0,0,412,0
205,205,11,396,21,0,0,96,0,0,1,0,0,0,0,0,2,1,0,2,0,530,0,2,532,0
206,206,17,275,82,2,2,175,1,0,0,0,0,0,0,0,0,0,1,0,0,555,0,1,556,0
207,207,23,316,80,0,1,257,1,0,0,0,0,0,0,0,0,0,0,0,0,678,0,1,679,0
208,208,4,273,58,0,0,175,1,1,1,0,0,0,0,0,0,1,0,2,0,516,0,1,517,0
209,209,23,127,50,2,3,186,0,1,0,0,0,1,0,0,0,1,0,0,0,394,0,2,396,1
210,210,19,218,76,0,4,207,1,2,1,1,0,0,0,1,3,0,0,0,0,533,0,2,535,0
