Polling Station No,Candidate_1,INAMAHDAR M,NANHSIRKAMARAYAJ R,ULEVAGUMNAHS C,RAMUKLIHTNES KA,IALAMURIHT R,ILA DEMAHA M,LEVAGUMNAHS A,LEVAGUMNAHS K,LEVAGUMNAHS S,LEVAGUNAHS M,JARAGNAHT P,NARDNEHAM PS,NAGAHZAVIDAV IJALAB K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
26,26,10,135,259,1,102,0,0,0,0,2,1,6,0,516,0,1,517,0
27,27,14,136,246,1,166,0,0,0,0,1,1,1,0,566,0,0,566,0
28,28,8,200,161,4,186,2,0,1,1,3,5,4,2,577,0,1,578,0
29,29,16,182,111,2,117,0,0,0,2,2,0,4,3,439,0,1,440,0
30,30,8,152,183,2,79,0,0,0,2,1,0,1,4,432,0,1,433,0
31,31,24,285,235,2,108,0,1,0,1,0,0,0,2,658,0,2,660,0
32,32,19,170,210,2,112,0,1,0,1,0,0,0,1,516,0,3,519,0
33,33,9,163,181,3,95,1,0,1,1,2,0,1,2,459,0,3,462,0
34,34,13,206,327,4,93,1,2,0,0,0,0,4,3,653,0,2,655,0
35,35,15,159,161,2,97,0,1,0,2,0,0,3,3,443,0,10,453,0
36,36,14,136,122,2,136,2,0,0,1,0,1,1,0,415,0,1,416,0
37,37,17,209,308,4,206,2,0,0,3,1,0,4,8,762,0,4,766,0
38,38,36,325,285,2,239,0,2,2,2,2,1,1,7,904,0,5,909,0
39,39,16,260,272,1,170,0,2,0,2,3,1,3,5,735,0,2,737,0
40,40,8,145,174,2,68,1,0,0,1,2,0,1,1,403,0,1,404,0
41,41,22,176,180,2,211,1,1,0,0,1,2,2,0,598,0,2,600,0
42,42,15,143,214,0,142,0,0,1,1,0,0,1,2,519,0,3,522,0
43,43,5,81,113,1,81,0,0,0,0,1,1,0,0,283,0,0,283,0
44,44,20,256,277,0,136,0,2,0,1,4,1,1,6,704,0,2,706,0
45,45,8,132,117,1,103,0,0,0,0,0,0,1,0,362,0,1,363,0
46,46,21,346,324,1,162,0,2,2,3,2,0,4,3,870,0,3,873,0
47,47,22,318,382,5,144,1,1,2,3,2,1,2,7,890,0,5,895,0
48,48,16,154,216,2,78,0,0,0,0,1,0,0,1,468,0,1,469,0
49,49,19,197,267,3,94,1,0,1,1,1,2,4,2,592,0,2,594,0
50,50,9,250,154,20,219,3,2,0,1,6,2,4,7,677,0,7,684,0
51,51,22,254,186,2,134,0,0,0,0,1,2,0,4,605,0,4,609,0
52,52,30,324,177,2,206,1,2,0,2,2,8,3,6,763,0,12,775,0
53,53,29,272,252,2,289,4,2,1,4,6,6,6,7,880,0,10,890,0
54,54,26,153,194,2,162,1,2,0,2,1,2,0,2,547,0,2,549,0
55,55,52,237,329,4,162,0,0,2,1,3,1,4,3,798,0,10,808,0
56,56,19,64,100,6,102,0,1,0,2,0,2,2,3,301,0,2,303,0
57,57,21,213,202,3,185,0,0,1,0,1,3,5,5,639,0,2,641,0
58,58,17,170,187,0,121,0,0,0,1,0,0,1,1,498,0,1,499,0
59,59,22,187,189,4,84,0,1,0,2,4,1,3,0,497,0,2,499,0
60,60,9,165,144,0,123,0,0,0,0,0,1,0,0,442,0,0,442,0
61,61,11,163,132,0,74,0,1,0,1,0,1,1,1,385,0,5,390,0
62,62,16,260,189,4,95,0,0,1,0,1,2,0,1,569,0,3,572,0
63,63,17,165,227,3,83,1,0,0,3,0,0,2,2,503,0,0,503,0
64,64,17,225,292,2,158,1,1,0,2,0,0,1,0,699,0,4,703,0
65,65,17,212,252,5,128,0,0,1,0,0,1,0,2,618,0,2,620,0
66,66,27,287,199,1,184,0,2,1,2,0,1,2,8,714,0,6,720,0
67,67,26,228,143,0,187,4,0,0,0,1,1,1,1,592,0,2,594,0
68,68,15,208,90,1,154,1,0,0,0,0,0,3,2,474,0,4,478,0
69,69,26,205,204,0,263,1,0,0,1,0,1,4,2,707,0,3,710,0
70,70,38,187,247,2,191,2,0,0,0,2,0,1,2,672,0,5,677,0
71,71,44,294,306,2,173,0,0,0,1,1,0,0,4,825,0,10,835,0
72,72,35,275,189,2,222,1,1,0,2,1,1,1,1,731,0,4,735,0
73,73,37,298,377,5,130,2,2,1,1,2,0,2,2,859,0,5,864,0
74,74,6,200,148,4,126,4,1,1,0,3,1,3,3,500,0,2,502,0
75,75,18,246,208,0,164,0,1,0,0,3,0,3,2,645,0,3,648,0
76,76,10,171,148,3,130,0,0,0,1,4,5,4,0,476,0,5,481,0
77,77,18,267,155,3,131,0,0,0,0,0,1,4,3,582,0,2,584,0
