Polling Station No,V.P.KANDASAMY,THALAPATHY MURUGESAN,DR.S.RAJASEKARAN,KANTHASAMY.K.,NM.SUKUMAR,SUMAN SINGH.R.,NAGARAJ.K.,NELSON.W.,PALANISAMY.M.,PAPPA MUTHULAKSHMI.P.,KANDASAMY.A.,KANDASAMY.R.,KANDASAMY.V.,MURUGESAN.N.,MURUGESH.R.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
240,113,182,25,1,211,0,0,0,0,1,0,0,0,0,1,534,0,4,538,0
241,129,181,41,2,240,1,0,0,0,0,0,0,0,0,0,594,0,6,600,0
242,174,195,24,1,223,1,2,0,2,1,0,1,0,0,1,625,0,3,628,0
243,99,144,29,0,211,1,0,0,2,0,0,0,0,1,1,488,0,5,493,0
244,155,239,26,2,248,0,0,0,0,0,0,0,0,0,0,670,0,4,674,0
245,197,228,21,0,280,1,0,1,0,0,0,1,0,0,1,730,0,4,734,0
246,203,306,53,0,408,1,0,0,2,0,0,0,0,0,1,974,0,2,976,0
247,184,218,32,0,237,0,0,0,2,0,0,1,0,1,2,677,0,2,679,0
248,237,303,26,1,311,0,0,1,0,0,0,2,0,0,1,882,0,6,888,0
249,227,307,28,0,308,0,0,0,3,1,0,0,0,0,0,874,0,6,880,0
250,278,220,25,0,265,1,0,0,0,0,1,1,1,0,1,793,0,5,798,0
251,266,174,29,0,215,0,0,1,0,2,0,1,0,0,2,690,0,6,696,0
252,272,174,60,1,283,0,0,0,0,1,0,0,0,0,0,791,0,11,802,0
253,232,290,53,0,399,1,1,0,1,2,1,0,0,3,3,986,0,3,989,0
254,288,311,35,1,325,0,0,0,1,0,0,1,0,0,1,963,0,4,967,0
255,288,301,29,1,358,0,1,0,0,0,1,1,1,1,0,982,0,5,987,0
256,292,301,26,0,335,3,1,0,1,1,0,2,0,0,2,964,0,4,968,0
257,220,224,41,3,443,0,0,0,0,0,0,0,0,0,1,932,0,7,939,0
258,155,210,44,2,346,0,0,0,0,2,0,1,0,0,2,762,0,3,765,0
259,200,120,20,1,291,0,0,0,0,0,0,0,1,0,2,635,0,6,641,0
260,249,177,28,1,207,0,1,0,0,0,0,1,0,1,3,668,0,0,668,0
261,159,220,31,1,289,1,0,1,0,0,0,0,1,1,1,705,0,3,708,0
262,276,246,33,2,224,0,1,0,0,0,1,0,0,0,2,785,0,9,794,0
263,206,256,15,3,191,1,0,1,0,0,1,1,0,1,1,677,0,3,680,0
264,267,197,32,1,271,0,0,0,0,1,0,2,0,0,1,772,0,7,779,0
265,223,78,26,0,171,0,0,0,1,0,0,0,0,0,0,499,0,4,503,0
266,248,233,41,0,353,0,0,0,1,0,1,0,0,0,0,877,0,9,886,0
267,173,166,20,0,181,0,0,0,0,0,0,1,0,0,0,541,0,7,548,0
268,297,268,31,0,277,0,0,0,1,0,1,2,0,0,0,877,0,8,885,0
269,292,300,24,1,286,3,0,0,0,0,0,1,0,0,1,908,0,6,914,0
270,305,186,22,2,195,1,0,0,0,0,1,1,0,1,1,715,0,4,719,0
271,300,215,24,1,198,0,0,0,0,0,0,0,0,0,1,739,0,4,743,0
272,187,235,21,0,279,1,0,0,0,0,0,1,1,1,2,728,0,5,733,0
273,263,146,19,3,173,0,1,1,2,0,0,1,0,0,3,612,0,3,615,0
274,290,271,36,1,322,1,0,0,0,0,0,0,0,1,0,922,0,6,928,0
275,e 5264,221,31,0,269,0,0,0,0,2,0,0,2,3,0,792,0,8,800,0
276,149,188,22,0,256,0,0,0,1,0,0,2,2,0,2,622,0,5,627,0
277,185,186,15,1,140,0,1,0,0,1,0,0,0,0,1,530,0,0,530,0
278,244,329,49,0,335,1,2,0,0,1,0,0,0,0,1,962,0,9,971,0
279,265,315,34,1,257,0,1,0,1,0,0,0,0,1,4,879,0,6,885,0
280,135,96,25,2,271,0,1,0,0,0,0,2,0,0,1,533,0,6,539,0
281,164,183,19,0,154,0,0,0,0,0,1,1,1,0,1,524,0,1,525,0
282,256,185,25,2,254,0,0,0,0,1,1,0,1,0,0,725,0,6,731,0
283,99,299,13,2,203,0,1,0,1,0,0,1,0,0,1,620,0,3,623,0
284,240,275,13,0,245,0,0,0,2,0,0,0,0,0,2,777,0,2,779,0
285,256,143,15,0,222,0,0,0,0,0,0,0,0,1,1,638,0,1,639,0
286,291,104,8,0,193,0,1,0,0,0,0,0,0,0,0,597,0,3,600,0
287,253,188,6,1,263,0,1,0,0,1,1,1,0,0,2,717,0,2,719,0
288,224,118,24,2,206,0,0,0,0,0,0,2,1,0,1,578,0,4,582,0
289,347,130,18,0,158,1,0,0,0,0,0,0,0,0,1,655,0,5,660,0
290,200,177,30,0,234,2,1,1,0,0,0,1,0,0,1,647,0,4,651,0
291,164,167,26,3,191,1,0,1,0,1,0,1,0,0,0,555,0,0,555,0
292,144,193,19,0,221,0,0,0,0,0,0,0,0,2,3,582,0,3,585,0
293,265,253,23,1,305,0,1,2,0,0,0,0,1,1,1,853,0,5,858,0
294,157,148,19,0,181,2,0,0,0,0,0,1,0,0,1,509,0,3,512,0
295,200,412,19,1,292,1,1,0,0,0,0,1,0,1,3,931,0,4,935,0
296,407,189,34,2,262,1,0,1,1,0,0,2,1,1,0,901,0,4,905,0
297,398,156,43,2,279,0,1,0,0,0,0,6,0,0,1,886,0,4,890,0
298,232,102,19,0,208,0,1,0,0,0,0,0,0,0,3,565,0,3,568,0
299,235,158,21,2,147,0,0,0,0,0,0,0,0,0,1,564,0,0,564,0
300,262,249,40,2,328,0,0,0,1,1,0,0,0,1,0,884,0,9,893,0
301,235,321,24,0,186,1,0,1,1,1,0,2,1,0,4,777,0,7,784,0
302,374,340,29,0,235,1,1,0,2,0,0,0,0,0,0,982,0,9,991,0
303,213,239,39,2,457,2,0,0,2,2,0,0,0,1,1,958,0,5,963,0
304,291,249,38,0,480,2,0,0,0,0,0,0,1,0,0,1061,0,3,1064,0
