Polling Station No,M. SEKAR,S.THIRUMURUGAN,R. VAITHILINGAM,DR. K. ARVIND,C. GUNASEKARAN,M. SELVARAJ,A. AJESHKANNAN,M. KANAGARAJ,T. VIJAYAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
88,128,26,296,117,0,0,0,1,0,568,0,0,568,0
89,138,38,393,347,1,4,2,3,0,926,0,4,930,0
90,143,35,430,181,1,1,0,1,3,795,0,5,800,0
91,193,48,385,303,2,2,1,0,1,935,0,2,937,0
92,145,17,222,194,0,1,1,1,2,583,0,1,584,0
93,130,32,226,164,3,1,2,1,2,561,0,2,563,0
94,83,21,200,80,0,1,0,0,3,388,0,1,389,0
95,151,31,186,176,4,1,2,1,1,553,0,1,554,0
96,77,16,282,154,2,2,0,1,1,535,0,4,539,0
97,90,17,236,134,1,0,1,0,3,482,0,6,488,0
98,71,25,237,180,2,1,0,0,0,516,0,2,518,0
99,109,31,164,111,2,1,0,0,1,419,0,4,423,0
100,119,22,240,130,1,2,0,2,1,517,0,1,518,0
101,92,43,281,193,11,0,0,1,0,621,0,4,625,0
102,124,59,304,170,1,0,1,0,0,659,0,1,660,0
103,232,25,345,218,3,1,0,1,0,825,0,1,826,0
104,92,25,161,171,0,0,2,1,0,452,0,1,453,0
105,90,30,215,135,0,0,1,3,0,474,0,1,475,0
106,114,30,376,198,0,3,2,1,1,725,0,2,727,0
107,120,25,206,155,1,2,1,0,2,512,0,0,512,0
108,123,32,271,181,1,1,0,0,0,609,0,2,611,0
109,151,45,280,220,1,5,1,3,3,709,0,2,711,0
110,107,19,192,95,0,0,0,1,0,414,0,3,417,0
111,211,32,332,183,3,2,2,0,1,766,0,1,767,0
112,109,8,264,130,0,1,0,0,0,512,0,1,513,0
113,245,21,258,172,1,1,1,1,1,701,0,1,702,0
114,152,23,305,118,2,0,0,1,0,601,0,2,603,0
115,134,14,277,175,2,0,0,0,1,603,0,4,607,0
116,184,29,298,131,0,1,0,0,1,644,0,0,644,0
117,141,49,320,150,12,3,1,1,1,678,0,5,683,0
118,134,62,300,135,1,8,0,0,1,641,0,4,645,0
