Polling Station No,T.M.ANBARASAN,S.SARAVANAN,Y.G.MAHALAKSHMI,J.AGNI SELVARASU,ARAVIND CHANDRASEKAR,B. KALYANARAMKUMAR,S.ROYAPPAN,A.VELUSAMY,N.HARI KRISHNAN,M.HARISH,V.ANBARASAN,A.SARAVANAN,S.SARAVANAN,D.SARAVANAN,R.SARAVANAN,R.SURESH,SENKODI VIJAYALAKSHMI,R.SELVAKUMAR,G.DANIEL ANTONYRAJ,MAHESH KUMAR,G.RAMANAN,K.VELAYUDHAM,M.HARISH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
188,278,109,11,0,0,0,0,0,1,291,0,0,0,0,1,2,1,0,0,0,0,0,1,695,0,2,697,0
189,305,156,32,1,0,0,0,0,2,423,0,0,0,0,0,0,0,0,0,0,0,0,1,920,0,2,922,0
190,284,89,18,1,1,1,0,0,0,364,0,0,0,1,0,0,0,0,0,0,0,0,0,759,0,0,759,0
191,225,113,47,0,1,0,0,0,1,443,0,0,0,0,0,0,2,1,0,0,0,0,4,837,0,2,839,0
192,228,134,20,1,0,0,0,0,1,176,0,0,0,0,0,0,0,0,0,0,0,0,2,562,0,0,562,0
193,289,140,24,1,0,0,1,1,3,311,0,0,0,0,0,0,1,2,0,0,0,0,1,774,0,1,775,1
194,180,102,14,2,0,0,0,0,0,205,0,0,0,0,0,1,1,0,0,0,0,0,1,506,0,0,506,0
195,138,116,21,0,0,0,0,0,0,236,0,0,0,0,1,0,1,1,0,0,0,0,3,517,0,1,518,0
196,173,83,14,0,0,0,0,0,0,227,0,0,1,0,0,1,0,0,0,0,0,0,1,500,0,0,500,0
197,208,58,5,0,0,0,0,0,2,306,0,0,0,0,0,0,1,0,0,1,0,0,2,583,0,1,584,0
198,269,75,20,1,0,3,0,0,1,262,0,1,0,0,0,0,1,0,0,0,0,0,3,636,0,0,636,0
199,281,19,14,0,1,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,1,483,0,0,483,0
200,161,46,9,0,0,0,0,0,1,182,1,0,0,0,0,0,2,1,0,0,0,0,1,404,0,0,404,0
201,255,53,21,0,0,0,0,0,0,325,0,0,0,0,0,1,0,1,0,1,0,0,4,661,0,1,662,0
202,225,49,22,1,0,0,0,0,1,301,0,1,0,0,0,0,0,1,0,1,1,0,1,604,0,1,605,0
203,169,33,16,0,0,0,0,0,1,309,0,6,0,0,0,4,0,0,0,0,0,0,0,538,0,1,539,0
204,299,59,37,1,0,0,0,0,1,361,2,5,0,0,1,1,6,1,0,0,0,0,1,775,0,0,775,0
205,275,104,25,3,0,0,0,0,2,237,0,0,0,0,0,3,0,0,0,0,0,0,2,651,0,0,651,0
206,185,49,20,1,0,0,0,0,0,326,0,0,0,0,0,0,1,0,0,0,0,0,7,589,0,1,590,0
207,64,26,6,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,161,0
208,91,20,3,1,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,1,188,0,1,189,0
209,204,70,22,1,0,0,0,0,3,283,0,0,0,0,0,0,0,0,0,0,0,0,6,589,0,2,591,0
210,119,20,9,1,0,0,0,1,0,89,0,0,0,0,0,1,0,0,0,0,0,0,1,241,0,0,241,0
211,135,59,15,1,0,0,0,2,0,194,0,1,0,0,0,0,0,0,0,0,0,1,1,409,0,1,410,0
212,128,63,14,2,0,0,0,0,0,186,0,0,1,0,0,0,0,0,0,1,0,0,0,395,0,1,396,0
213,247,32,11,0,0,0,0,0,1,265,0,0,0,0,1,1,1,0,0,0,0,0,0,559,0,0,559,0
214,215,56,21,0,0,0,0,0,1,331,0,0,0,0,0,0,0,0,0,0,0,0,2,626,0,3,629,0
