Polling Station No,KAMARAJ. R,THENMOZHI DILIPKUMAR,MOHAMED MUBARAK,SIVARAMAN. T,TAMILSELVAN. M,PRABHAKARAN. S,RAJA. S,SANKAR. R,SHANMUGARAJA. D,SURESH. V,BHARATHIMOHAN. K.S,MOHUMED RIYAS. K,RAVICHANDRAN. R,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
22,56,7,538,0,0,77,0,0,0,0,0,1,0,0,679,0,1,680,0
23,295,22,163,1,0,129,0,0,0,0,1,0,0,2,613,0,5,618,0
24,216,24,164,2,0,147,1,0,0,1,1,0,0,1,557,0,1,558,0
25,364,44,202,0,0,220,7,2,2,0,1,1,2,0,845,0,1,846,0
26,245,35,142,1,0,182,10,0,0,0,0,0,0,0,615,0,2,617,0
27,289,31,97,1,0,90,2,1,0,0,0,0,0,0,511,0,2,513,0
28,178,19,130,3,0,122,3,0,0,0,0,0,0,0,455,0,0,455,0
29,266,40,191,0,4,165,2,0,0,0,0,0,1,2,671,0,3,674,0
30,278,33,188,1,0,231,0,0,0,0,0,5,1,0,737,0,0,737,0
31,144,19,146,0,0,136,1,0,0,0,0,1,0,0,447,0,1,448,0
32,105,10,258,0,0,79,1,0,0,0,0,1,0,0,454,0,1,455,0
33,242,13,210,3,0,170,1,1,0,0,0,0,0,0,640,0,2,642,0
34,161,17,113,1,0,143,1,0,0,1,0,2,0,0,439,0,3,442,0
35,256,24,246,0,1,159,2,0,0,0,0,0,1,1,690,0,2,692,0
36,336,14,187,1,1,169,0,0,0,1,0,1,1,0,711,0,7,718,0
37,221,28,161,0,1,127,2,0,1,0,0,0,1,0,542,0,1,543,0
38,413,21,159,0,1,198,5,0,0,0,1,0,1,1,800,0,3,803,0
39,165,15,118,0,0,111,0,0,1,0,0,0,0,0,410,0,3,413,0
40,302,23,130,0,1,150,5,0,2,0,1,0,0,0,614,0,2,616,0
41,277,27,125,1,1,134,4,0,0,0,0,1,0,2,572,0,2,574,0
42,307,35,200,0,0,121,4,0,0,0,0,0,2,0,669,0,3,672,0
43,334,33,204,2,0,197,6,0,0,0,0,0,0,1,777,0,2,779,0
44,225,29,214,0,1,186,1,0,2,1,1,0,1,1,662,0,5,667,0
45,1163,2,67,0,0,51,1,0,0,0,0,0,0,0,284,0,0,284,0
46,285,24,120,1,0,198,0,1,0,2,2,0,0,0,633,0,1,634,0
47,275,16,119,2,2,147,2,0,0,1,0,0,1,0,565,0,1,566,0
48,285,13,185,0,4,157,1,0,1,0,0,1,1,2,650,0,4,654,0
49,359,36,173,1,0,217,2,0,0,0,1,0,0,0,789,0,0,789,0
50,298,9,116,0,1,148,0,0,0,0,2,0,2,0,576,0,1,577,0
51,447,43,244,0,0,202,5,0,0,1,0,0,0,2,944,0,2,946,0
52,333,27,176,1,1,167,1,0,0,1,0,0,2,0,709,0,4,713,0
53,135,29,102,2,1,102,0,0,1,0,0,1,1,0,374,0,3,377,0
54,351,42,147,1,2,167,0,0,0,0,0,1,1,2,714,0,4,718,0
55,338,39,123,0,1,182,2,0,0,1,0,0,0,0,686,0,1,687,0
56,336,36,206,2,0,149,1,0,0,0,0,1,1,0,732,0,5,737,0
57,333,30,123,1,0,154,3,0,0,0,0,0,1,12,657,0,3,660,0
58,316,13,110,2,1,95,1,0,0,0,0,0,0,4,542,0,2,544,0
59,433,35,164,0,0,162,2,0,0,0,1,0,2,2,801,0,5,806,0
60,396,36,186,1,1,162,1,0,0,0,0,0,0,0,783,0,3,786,0
61,316,32,154,1,1,194,0,0,0,0,0,1,2,0,701,0,2,703,0
62,283,27,119,2,1,190,0,0,2,1,0,0,0,0,625,0,8,633,0
63,337,51,188,0,1,204,0,0,0,0,0,1,0,4,786,0,5,791,0
64,311,31,211,0,0,216,0,0,0,0,2,1,1,0,773,0,1,774,0
65,377,58,216,2,1,311,2,0,0,0,1,0,1,3,972,0,4,976,0
66,347,33,153,0,3,235,3,0,1,1,4,0,0,1,781,0,3,784,0
67,421,24,157,1,1,228,6,0,0,2,0,0,0,2,842,0,7,849,0
68,344,36,128,0,1,104,0,0,0,1,0,1,1,0,616,0,5,621,0
69,383,39,154,2,3,256,0,1,0,1,1,0,2,2,844,0,2,846,0
70,264,10,94,0,0,77,1,0,1,0,0,0,1,0,448,0,4,452,0
71,221,34,147,1,0,180,1,0,2,0,2,0,2,0,590,0,3,593,0
72,349,37,151,0,3,188,0,0,0,0,1,0,1,2,732,0,5,737,0
73,245,13,68,0,0,182,1,0,0,0,1,0,0,2,512,0,1,513,0
74,277,25,146,0,1,110,0,0,1,0,1,2,0,0,563,0,5,568,0
75,276,28,112,1,0,135,0,0,0,0,0,0,0,2,554,0,2,556,0
76,310,12,142,1,0,73,0,0,0,0,0,0,0,1,539,0,2,541,0
77,295,43,127,0,1,214,0,0,0,1,0,0,1,1,683,0,5,688,0
78,397,23,193,1,1,172,0,0,0,1,0,1,0,1,790,0,1,791,0
79,306,19,121,0,1,99,0,0,0,0,0,0,0,2,548,0,1,549,0
80,371,38,173,1,2,193,9,0,0,0,1,0,0,1,789,0,5,794,0
81,363,29,159,2,0,207,0,0,0,0,0,0,2,3,765,0,0,765,0
82,484,47,162,0,0,188,0,0,2,0,0,0,0,1,884,0,5,889,0
83,223,19,128,1,2,103,1,0,0,1,0,0,6,5,489,0,11,500,0
84,232,8,109,2,0,74,3,0,0,0,0,0,1,1,430,0,3,433,0
85,195,17,49,0,1,44,0,0,0,0,0,1,0,0,307,0,1,308,0
86,430,40,187,1,0,180,0,0,1,0,3,3,1,0,846,0,4,850,0
87,392,29,160,0,0,139,0,0,0,0,0,0,0,0,720,0,1,721,0
88,219,12,75,1,0,94,1,0,1,0,0,1,1,1,406,0,4,410,0
89,440,45,155,0,1,211,3,0,1,1,0,0,1,0,858,0,7,865,0
90,2385,24,272,1,1,206,4,0,0,1,0,0,0,0,894,0,4,898,0
91,410,43,238,1,1,174,10,0,0,0,0,1,0,1,879,0,1,880,0
92,256,25,143,0,0,68,0,0,0,1,0,0,1,2,496,0,5,501,0
93,271,17,87,0,0,89,0,0,0,0,0,0,0,0,464,0,2,466,0
94,274,2,172,0,0,62,1,0,0,0,0,0,1,1,513,0,1,514,0
95,358,51,136,2,0,192,0,0,0,1,0,0,1,0,741,0,2,743,0
96,262,27,160,0,1,141,18,0,1,1,0,0,1,0,612,0,0,612,0
97,208,22,100,0,0,78,0,0,0,0,0,0,1,0,409,0,4,413,0
98,331,40,129,1,0,207,1,0,0,1,0,0,1,1,712,0,2,714,0
99,224,24,94,0,1,162,0,0,0,0,0,0,0,0,505,0,2,507,0
100,406,20,207,0,0,205,1,0,0,0,0,0,1,0,840,0,2,842,0
101,385,31,182,1,1,222,0,0,0,0,0,1,0,1,824,0,4,828,0
102,357,31,180,0,1,201,0,0,1,0,1,0,0,0,772,0,3,775,0
103,473,35,199,0,1,223,0,0,0,0,0,1,0,1,933,0,5,938,0
104,314,10,79,1,2,119,0,0,0,0,1,0,0,1,527,0,1,528,0
105,391,22,199,1,2,103,0,0,0,0,0,0,5,0,723,0,4,727,0
106,296,21,108,1,0,97,0,0,1,0,0,0,0,0,524,0,1,525,0
