Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
121,164,17,208,1,1,277,0,0,1,1,0,0,0,1,0,1,1,0,0,0,673,0,0,673,0
122,249,21,218,2,0,213,3,0,0,0,0,0,1,1,0,1,0,0,0,0,709,0,2,711,0
123,184,16,213,0,0,196,2,0,1,0,1,0,0,1,0,5,1,1,0,0,621,0,4,625,0
124,220,13,228,0,0,258,1,0,0,0,0,0,1,0,0,1,0,0,0,0,722,0,1,723,0
125,223,33,284,0,1,338,2,3,1,0,1,0,1,2,1,1,1,0,2,2,896,0,1,897,0
126,188,16,245,0,2,198,0,0,0,1,0,0,2,0,0,1,0,0,1,1,655,0,2,657,0
127,204,12,267,1,1,167,0,0,0,1,0,0,1,0,0,0,0,0,1,0,655,0,1,656,0
128,219,20,268,2,1,364,3,0,0,0,0,1,1,1,0,0,2,0,0,0,882,0,6,888,0
129,252,9,298,0,0,366,4,0,0,0,0,0,0,0,0,0,1,0,0,0,930,0,4,934,0
130,234,39,315,2,0,339,6,0,0,0,1,0,0,0,0,1,0,0,0,0,937,0,5,942,0
131,219,23,278,0,0,305,12,0,1,0,0,1,1,0,0,0,1,0,0,0,841,0,0,841,0
132,211,19,213,2,3,324,18,0,0,0,1,0,0,0,0,0,0,0,0,0,791,0,0,791,0
133,299,10,77,2,0,164,114,3,0,0,1,0,0,0,0,2,1,0,0,0,673,0,0,673,0
134,165,14,196,0,1,254,2,0,0,0,0,0,0,0,0,0,0,0,1,0,633,0,0,633,0
135,273,25,307,3,0,426,9,0,0,0,1,0,0,0,1,1,0,0,0,0,1046,0,2,1048,0
136,217,14,173,1,0,224,6,0,1,0,0,0,0,1,0,1,1,0,0,0,639,0,2,641,0
137,232,17,276,1,0,232,12,0,0,1,0,0,1,1,0,1,0,0,0,0,774,0,2,776,0
138,185,14,285,0,1,245,7,0,0,1,0,0,0,2,0,0,0,0,0,0,740,0,5,745,0
139,152,28,275,1,1,262,1,1,0,1,1,0,0,0,0,0,0,1,2,0,726,0,1,727,0
140,223,20,264,0,1,253,1,1,0,1,0,0,0,0,1,0,1,0,0,0,766,0,3,769,0
141,218,24,197,1,1,295,4,0,0,0,0,1,0,0,0,1,0,0,2,0,744,0,3,747,0
142,273,17,211,1,2,262,1,2,0,1,0,0,0,1,0,3,2,0,0,0,776,0,2,778,0
143,291,11,345,1,1,240,0,0,0,0,1,0,0,0,0,2,0,0,0,0,892,0,1,893,0
144,219,20,276,1,1,224,5,0,0,0,0,0,1,0,0,1,1,0,3,0,752,0,0,752,0
145,304,28,287,2,1,259,2,0,0,0,0,1,1,1,0,1,0,0,0,0,887,0,2,889,0
146,284,21,393,1,2,240,0,0,0,0,0,2,0,0,1,2,1,0,0,0,947,0,4,951,0
147,306,17,312,1,0,177,1,0,0,0,0,0,0,0,0,1,0,0,0,1,816,0,2,818,0
148,173,7,319,2,0,187,1,1,0,0,0,0,0,2,0,2,0,0,0,0,694,0,6,700,0
149,264,19,354,0,1,212,2,1,0,1,0,0,0,1,0,0,1,1,0,0,857,0,0,857,0
150,185,9,341,0,0,193,12,1,2,0,0,0,0,0,0,0,2,0,0,0,745,0,2,747,0
151,271,12,370,2,0,282,5,1,0,0,0,1,1,0,0,0,1,0,0,0,946,0,3,949,0
152,215,11,332,0,0,228,0,0,0,0,0,0,1,1,0,0,1,0,1,2,792,0,0,792,0
153,219,29,207,2,5,220,1,0,0,0,1,0,1,2,0,6,3,0,0,0,696,0,1,697,0
154,312,25,233,1,1,286,0,1,0,0,0,0,1,0,1,1,1,0,0,0,863,0,1,864,0
