Polling Station No,UDHAYAKUMAR.R.B,MANIMARAN.M,MUNISH.N,ALAGAR.A,KALAISELVI.R,SATHISHKUMAR.N,JEEVITHA NACHIYAR.B,AYYANAN.P,GIRISHKUMAR.A,SAKKARAVARTHY.P,NAGOOR.M,BHARATH.M,MUTHURAJA.M,MURUGAN.S,VENGATESWARAN.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
274,197,177,42,1,0,163,0,1,2,0,0,9,1,2,0,595,0,2,597,0
275,172,127,35,0,0,179,1,0,0,0,0,3,1,0,0,518,0,0,518,0
276,304,291,19,0,1,202,6,1,0,0,0,24,0,1,0,849,0,2,851,0
277,154,103,7,1,0,119,3,0,0,1,0,0,0,0,0,388,0,0,388,0
278,106,108,18,0,0,77,7,1,0,1,0,0,0,0,1,319,0,0,319,0
279,242,276,27,0,0,121,4,0,0,0,0,8,1,0,0,679,0,5,684,0
280,238,356,68,0,2,231,1,0,1,1,1,0,1,1,1,902,0,8,910,0
281,172,362,41,0,2,190,3,1,0,0,0,1,0,1,3,776,0,3,779,0
282,193,242,36,0,0,135,4,0,0,0,1,1,0,0,2,614,0,2,616,0
283,230,279,38,0,1,227,4,0,0,0,1,0,0,1,1,782,0,1,783,0
284,178,307,32,0,0,98,3,1,0,0,0,1,0,1,2,623,0,3,626,0
285,179,243,39,0,0,176,12,0,0,1,0,0,0,0,0,650,0,1,651,0
286,160,178,33,0,1,189,2,0,0,0,0,2,0,1,0,566,0,2,568,0
287,126,182,9,0,0,167,1,0,1,0,0,0,0,1,1,488,0,3,491,0
288,162,293,44,0,1,272,1,0,1,3,1,0,1,1,0,780,0,4,784,0
289,123,311,42,2,0,179,1,0,0,1,1,0,0,1,0,661,0,3,664,0
290,108,281,19,0,1,106,9,0,0,0,1,0,0,0,0,525,0,1,526,0
291,176,237,17,0,0,91,4,0,0,0,0,0,0,0,4,529,0,1,530,0
292,113,298,26,1,0,82,10,0,0,0,0,0,1,0,4,535,0,3,538,0
293,224,418,30,0,0,117,11,1,0,0,0,0,0,0,2,803,0,1,804,0
294,291,254,56,0,0,190,2,0,0,0,0,0,0,0,2,795,0,2,797,0
295,153,291,24,0,0,106,3,0,0,0,0,0,0,0,2,579,0,1,580,0
296,255,302,97,0,1,162,1,0,0,0,0,0,0,0,0,818,0,2,820,0
297,181,185,17,0,1,71,4,0,0,0,0,7,1,1,0,468,0,3,471,0
298,125,388,30,1,0,111,3,4,2,0,0,0,0,0,0,664,0,3,667,0
299,206,195,25,2,0,78,2,0,0,0,0,0,0,1,1,510,0,4,514,0
300,237,409,34,1,1,135,3,0,0,1,0,8,0,2,6,837,0,4,841,0
301,74,344,13,0,0,54,0,1,0,0,0,0,0,1,2,489,0,1,490,0
302,258,346,38,0,0,107,5,0,0,0,0,0,1,1,1,757,0,1,758,0
303,94,241,7,0,1,41,0,0,0,0,0,0,0,1,0,385,0,0,385,0
304,195,331,50,0,1,115,3,0,0,0,0,0,0,1,0,696,0,3,699,0
305,213,213,32,0,1,156,6,2,0,0,1,2,0,1,1,628,0,2,630,0
306,122,134,22,0,1,69,1,0,0,0,0,0,0,1,2,352,0,4,356,0
307,221,214,15,1,0,133,2,0,1,0,0,0,0,0,0,587,0,3,590,0
308,316,286,53,0,1,138,5,0,0,0,0,0,0,1,1,801,0,4,805,0
309,241,342,31,0,0,142,3,0,0,0,0,0,0,1,3,763,0,2,765,0
310,134,182,22,0,1,102,2,0,0,0,0,1,0,0,2,446,0,1,447,0
311,173,373,25,0,0,105,2,0,0,1,0,0,0,1,1,681,0,3,684,0
312,215,315,16,0,0,145,4,0,0,0,0,3,0,0,5,703,0,5,708,0
313,146,127,35,0,0,50,6,5,0,0,0,0,0,0,0,369,0,0,369,0
314,181,187,8,0,0,70,0,0,0,0,0,0,0,0,0,446,0,3,449,0
315,132,327,21,0,0,103,2,0,0,0,0,2,0,0,2,589,0,0,589,0
316,241,397,79,0,1,242,10,6,0,1,0,2,0,2,1,982,0,5,987,0
317,195,272,10,0,0,133,7,0,0,0,0,1,0,0,3,621,0,7,628,0
318,235,287,25,0,0,188,5,0,0,0,1,1,0,3,1,746,0,2,748,0
319,248,477,15,1,0,178,6,0,0,0,0,4,0,3,4,936,0,4,940,0
320,88,302,1,0,0,42,1,0,0,0,0,2,1,0,0,437,0,1,438,0
321,127,369,43,1,0,183,6,0,0,1,1,0,0,5,2,738,0,2,740,0
322,135,253,11,1,0,64,9,0,0,0,0,0,0,0,0,473,0,4,477,0
323,108,180,16,0,0,141,0,0,0,0,0,1,1,1,0,448,0,3,451,0
324,192,279,22,0,1,118,3,1,0,0,0,1,0,3,3,623,0,5,628,0
325,165,639,30,0,0,124,7,1,0,1,0,1,0,0,1,969,0,3,972,0
326,187,207,24,0,1,99,2,0,0,0,0,0,0,1,2,523,0,5,528,0
327,123,347,55,0,0,110,8,1,1,0,0,0,0,4,0,649,0,3,652,0
328,110,329,16,0,0,81,6,0,0,0,0,3,0,0,0,545,0,0,545,0
329,163,338,26,0,0,109,4,0,0,0,0,2,0,0,3,645,0,3,648,0
330,277,411,30,0,0,137,3,0,0,1,3,0,0,0,6,868,0,7,875,0
331,163,263,20,0,0,94,3,0,0,0,0,0,0,2,4,549,0,1,550,0
332,285,342,33,0,1,115,7,0,0,0,0,0,0,2,3,788,0,6,794,0
333,215,244,25,1,0,86,6,0,0,0,0,0,1,0,2,580,0,2,582,0
334,265,438,48,0,0,138,19,0,0,0,1,0,1,2,1,913,0,4,917,0
335,190,227,12,1,0,132,9,0,0,0,0,0,0,1,2,574,0,3,577,0
336,126,242,21,0,0,122,39,0,0,1,1,0,0,4,2,558,0,0,558,0
337,119,351,53,0,2,213,6,0,0,1,1,3,1,4,4,758,0,0,758,0
338,156,314,30,1,0,172,5,0,0,0,0,0,0,2,2,682,0,2,684,0
339,153,195,13,0,1,67,4,0,0,0,0,0,0,0,3,436,0,2,438,0
340,190,220,7,1,0,132,0,0,0,0,0,0,0,1,1,552,0,0,552,0
341,177,270,17,0,1,114,0,0,0,0,1,0,0,0,2,582,0,1,583,0
342,183,169,27,0,0,123,2,0,0,0,1,0,0,0,1,506,0,0,506,0
343,215,351,54,1,0,182,4,0,0,0,0,0,1,1,5,814,0,5,819,0
344,242,82,24,0,0,97,4,1,0,0,0,7,0,1,0,458,0,0,458,0
345,167,178,24,0,0,162,14,0,0,1,0,0,0,0,0,546,0,0,546,0
346,249,339,33,0,0,166,6,0,0,0,0,0,0,2,4,799,0,0,799,0
347,155,151,13,0,0,101,3,0,0,0,0,0,0,0,1,424,0,4,428,0
348,214,410,18,1,0,263,11,0,0,1,0,0,1,0,5,924,0,4,928,0
349,161,371,13,0,1,174,14,0,0,0,2,0,1,1,3,741,0,2,743,0
350,240,157,52,7,1,160,4,1,0,0,0,3,0,3,4,632,0,3,635,0
351,151,131,25,3,0,85,5,0,0,0,0,1,0,2,3,406,0,3,409,0
