Polling Station No,Candidate_1,M.UHTUMILLA,M .JARAMRAHD,JARIARUD .S,NARAHONAM.R,K.JARAMAK,P .RAMUK,LEVIHTKAS .K,A.NOTWEN,N. ILARUM,HSEMAR,A. YAJIV,M.NASARABNA,S.KCIHTRAK,A.RAMUKANHSIRK,N. K. NARIK IHSAHS,JARIARUD .S,MAVISAMARAP,M .AFAHTSUM DEMAHOM,P.RAMUKUHTUM,R.HSEMAR,N.NARIDNAHCIVAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
161,161,3,20,102,161,0,1,0,0,0,204,3,0,1,0,1,0,0,0,0,1,0,497,0,5,502,0
162,162,3,41,293,126,2,3,2,1,0,304,2,0,0,1,0,1,2,1,2,3,1,788,0,4,792,0
163,163,0,65,297,92,4,0,0,1,1,362,1,1,1,0,0,0,1,0,0,0,0,826,0,6,832,0
164,164,3,33,235,107,0,0,1,0,0,385,0,1,0,2,2,3,0,2,1,1,1,777,0,0,777,0
165,165,0,27,233,232,1,0,0,0,0,383,0,0,0,1,0,3,0,0,1,4,0,885,0,4,889,0
166,166,2,33,211,159,1,1,0,1,0,252,0,0,0,1,1,0,1,0,0,1,1,665,0,0,665,0
167,167,0,20,113,146,2,1,1,2,3,330,2,1,0,1,1,0,0,0,1,2,1,627,0,0,627,0
168,168,2,44,305,260,1,1,1,1,4,432,4,0,1,2,0,1,0,0,1,0,1,1061,0,6,1067,0
169,169,2,32,269,295,1,1,1,0,0,357,1,1,0,0,0,0,1,0,0,1,0,962,0,1,963,0
170,170,0,16,236,137,2,1,0,0,1,185,0,1,0,1,0,0,0,0,0,0,1,581,0,4,585,0
171,171,2,65,209,265,1,1,0,0,0,247,0,1,1,0,1,0,0,0,0,2,0,795,0,1,796,0
172,172,1,28,338,187,0,0,0,0,0,335,1,0,0,3,2,1,0,0,0,3,1,900,0,7,907,0
173,173,1,30,287,330,0,0,0,0,1,339,3,2,1,0,1,0,0,0,2,2,0,999,0,1,1000,0
174,174,4,42,236,196,1,0,0,2,2,383,3,2,1,6,4,1,1,0,1,1,0,886,0,4,890,0
175,175,3,59,247,273,1,11,1,0,1,397,2,0,1,1,1,2,0,0,1,1,0,1002,0,1,1003,0
176,176,1,26,165,182,1,0,0,0,1,289,3,0,0,0,0,0,0,0,0,0,1,669,0,2,671,0
177,177,0,42,260,263,1,1,0,0,5,472,0,1,2,2,3,1,0,0,1,2,0,1056,0,2,1058,0
178,178,0,72,345,236,0,0,2,3,0,284,0,0,0,1,3,3,0,0,0,2,0,951,0,5,956,0
179,179,0,40,248,229,1,0,0,1,0,318,1,0,0,0,0,1,0,0,1,1,0,841,0,3,844,0
180,180,3,28,232,252,0,1,2,0,2,290,2,2,0,4,0,0,1,0,0,2,0,821,0,0,821,0
181,181,2,14,80,75,0,1,2,1,0,123,1,1,0,0,0,0,2,1,0,2,0,305,0,0,305,0
182,182,0,26,104,159,1,0,1,0,0,187,1,0,0,1,1,0,0,0,2,1,0,484,0,3,487,0
183,183,0,24,141,197,1,0,1,0,2,235,0,0,0,0,1,1,0,0,0,3,0,606,0,0,606,0
