Polling Station No,KAVITHADHANDAPANI,SASIREKHA K,SIVAKUMAR V C,VEERAMANI K.C.,KALASTHIRI S,KRISHNAMOORTHY D,SANKAR T.K,SASI REKA Y,SENTHAMILSELVAN M,MUNISAMY C,KAVITHA C,KAVITHA T,KAMATCHI S,CHENRAYAN A,CHENNA KESAVAN C,THANGARAJ P,PRIYA K,MOHANRAJ R,VEERAMANI H,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
242,347,41,2,204,0,0,0,0,3,313,1,1,0,0,3,1,5,0,0,921,0,3,924,0
243,242,33,0,187,0,1,0,1,1,308,0,0,0,0,0,0,1,0,0,774,0,1,775,0
244,236,18,1,153,1,0,0,2,3,185,0,1,0,0,0,0,0,0,0,600,0,2,602,0
245,194,31,2,257,1,6,0,1,1,250,0,0,0,0,2,1,0,0,0,746,0,3,749,0
246,272,31,0,257,1,1,0,0,2,286,1,1,0,0,1,3,3,0,0,859,0,10,869,0
247,300,28,2,260,1,2,0,0,1,337,0,0,0,0,1,0,0,1,0,933,0,2,935,0
248,277,19,2,183,2,1,1,5,1,280,2,0,0,0,1,2,2,2,0,780,0,2,782,0
249,209,21,1,467,2,0,1,0,0,225,1,0,0,0,1,1,1,0,0,930,0,3,933,0
250,178,14,1,301,0,0,0,0,2,186,2,1,0,0,0,0,1,0,0,686,0,2,688,0
251,126,6,3,267,4,0,0,2,5,231,0,0,1,0,0,1,0,0,0,646,0,3,649,0
252,337,16,1,112,0,0,1,1,2,214,2,0,0,0,0,0,1,0,0,687,0,1,688,0
253,363,15,1,126,1,0,0,0,2,235,1,0,0,1,0,5,1,0,0,751,0,1,752,0
254,239,20,1,214,2,1,2,2,1,296,0,0,1,0,1,0,2,0,0,782,0,2,784,0
255,138,16,1,145,3,0,0,0,0,151,0,0,0,0,0,0,0,0,0,454,0,1,455,0
256,215,25,0,209,1,0,0,0,1,201,0,0,0,0,0,1,0,0,0,653,0,4,657,0
