Polling Station No,DR. A. SUBAIR KHAN,A. BABU MAILAN,D. JAYAKUMAR,M. JAYARAJKUMAR,A. SATHIK KUMAR,M. RAJKUMAR,R. VINOTHKUMAR,K.V. VIJAY DAMU,T. KAVIYARASU,G. KARTHIKEYAN,KERTHIVARUNNAN .R,A. SASIKUMAR,M. SHANMUGAM,K.J. SIVAKUMAR,P. SUMATHI,J. SELVAKUMAR,M DHINAKARAN,A. NIZAR AHAMED,V. BHAGATH SINGH,K. PRASATH,M. MAHALAKSHMI,S. RAJU,T. RAJESH,R. RAJKUMAR,A. JAYAKUMAR,D. JAYAKUMAR,I JAYAPRAKASH,C. SRIDHAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
89,338,8,144,1,0,1,0,178,0,0,1,0,0,0,0,2,3,0,2,1,0,0,0,1,0,0,1,0,681,0,6,687,0
90,234,19,84,1,0,0,0,369,1,1,0,0,1,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,717,0,2,719,0
91,195,9,56,0,0,1,0,244,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,509,0,1,510,0
92,196,13,81,1,0,0,0,274,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,568,0,0,568,0
93,149,20,94,2,0,0,1,306,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,1,0,0,579,0,2,581,0
94,246,21,213,1,1,1,0,373,1,0,0,0,1,1,0,0,2,0,1,2,1,0,0,0,0,0,0,1,866,0,3,869,0
95,96,20,73,1,0,0,0,282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,474,0,2,476,0
96,132,11,113,1,0,0,3,267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,529,0,2,531,0
97,122,21,150,1,0,1,1,415,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,715,0,2,717,0
98,132,15,109,1,0,0,0,280,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,544,0,2,546,0
99,115,16,67,1,0,0,0,208,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,409,0,1,410,0
100,72,9,77,0,0,2,0,180,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,344,0,1,345,0
101,141,17,108,0,0,0,3,275,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,549,0,1,550,0
102,62,4,55,1,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,283,0,1,284,0
103,67,8,103,2,0,0,0,253,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,435,0,1,436,0
104,99,12,136,0,0,1,5,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,557,0,4,561,0
105,111,23,97,0,0,0,0,388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,5,625,0
106,115,12,122,1,0,0,1,379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,634,0,3,637,0
107,143,17,143,2,0,2,1,280,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,595,0,1,596,0
108,413,14,104,0,2,0,0,278,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,1,0,820,0,3,823,0
109,167,17,103,1,0,1,1,398,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,698,0,1,699,0
110,169,7,76,2,0,0,1,284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,541,0,2,543,0
111,210,20,103,5,0,0,2,503,0,1,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,850,0,1,851,0
112,174,25,111,0,0,2,1,486,1,0,0,0,0,1,0,2,1,1,2,2,0,0,1,1,0,0,2,1,814,0,3,817,0
113,293,27,98,0,2,1,0,379,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,806,0,1,807,0
114,168,19,158,1,0,0,1,470,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,818,0,5,823,0
115,203,34,185,1,1,1,0,467,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,896,0,4,900,0
116,155,27,109,1,0,0,1,271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,566,0,2,568,0
117,139,11,85,2,0,0,1,206,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,448,0,2,450,0
118,168,9,56,2,0,0,0,276,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,513,0,1,514,0
119,223,26,80,0,0,0,0,296,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,631,0,5,636,0
120,208,8,97,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,521,0,1,522,0
121,213,22,146,0,1,0,0,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,631,0,4,635,0
122,382,12,53,0,1,0,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,651,0,3,654,0
123,308,14,108,0,0,3,0,239,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,675,0,2,677,0
124,113,20,76,0,0,1,0,291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,503,0,1,504,0
125,141,17,134,2,0,0,0,344,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,642,0,4,646,0
126,260,22,122,0,2,3,0,378,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,795,0,4,799,0
127,227,36,135,1,1,1,0,349,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,1,1,2,1,1,764,0,4,768,0
128,234,10,97,0,0,3,2,342,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,695,0,4,699,0
129,204,14,141,1,0,2,1,342,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,710,0,2,712,0
130,134,10,68,0,0,0,0,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,4,428,0
131,291,19,66,0,0,4,0,196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,577,0,4,581,0
132,383,17,36,2,3,1,0,214,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,661,0,3,664,0
133,163,23,69,1,0,2,1,189,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,454,0,2,456,0
134,267,10,39,1,0,0,3,163,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,485,0,3,488,0
135,395,16,102,3,0,0,0,279,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,798,0,7,805,0
136,342,15,95,0,1,0,0,341,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,800,0,0,800,0
137,196,5,82,2,0,0,0,375,0,0,1,0,0,1,1,1,2,0,2,0,0,0,0,2,0,0,0,0,670,0,0,670,0
