Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Candidate_25,Candidate_26,Candidate_27,Candidate_28,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
401,138,61,0,39,0,1,401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,645,0,645,0
402,217,127,1,36,0,1,445,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,2,0,1,0,2,2,840,0,840,0
403,234,97,1,52,0,2,387,3,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,3,784,0,784,0
404,171,55,8,27,0,1,301,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,569,0,569,0
405,263,63,9,30,0,0,360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,730,0,730,0
406,115,48,1,60,0,1,349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,581,0,581,0
407,179,93,1,27,0,2,388,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,2,2,698,0,698,0
408,196,83,4,25,1,0,358,0,0,0,0,0,2,0,0,2,2,1,0,0,0,1,1,2,2,0,1,5,5,686,0,686,0
409,192,149,0,31,0,1,306,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,685,0,685,0
410,128,109,1,19,0,0,260,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,521,0,521,0
411,104,108,0,30,0,0,274,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,6,6,527,0,527,0
412,169,65,0,23,0,0,245,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,507,0,507,0
413,153,120,2,25,0,1,276,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,582,0,582,0
414,197,84,0,32,0,1,260,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,580,0,580,0
415,134,106,0,18,0,0,262,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,5,5,531,0,531,0
416,146,157,1,32,0,0,315,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,660,0,660,0
417,207,176,0,33,0,0,346,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,768,0,768,0
418,176,87,1,20,0,0,355,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,0,0,1,0,2,2,651,0,651,0
419,205,132,0,38,0,1,295,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,2,2,681,0,681,0
420,221,138,1,36,0,0,273,2,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,9,9,686,0,686,0
421,236,114,0,28,0,0,266,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,1,0,0,0,0,4,4,659,0,659,0
422,239,184,1,43,0,1,282,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,5,763,0,763,0
423,219,83,1,20,0,0,284,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4,4,616,0,616,0
424,239,80,1,31,0,0,245,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,5,605,0,605,0
425,288,127,0,47,0,2,401,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,3,3,877,0,877,0
426,287,114,0,34,0,0,297,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7,7,743,0,743,0
427,232,155,1,35,0,0,283,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,710,0,710,0
428,184,133,0,47,0,0,297,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,3,671,0,671,0
429,234,95,1,22,0,2,337,1,1,0,0,2,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,3,3,705,0,705,0
430,199,183,2,55,0,2,290,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,9,746,0,746,0
431,180,268,5,50,0,0,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,7,728,0,728,0
432,179,133,0,29,0,1,252,0,0,1,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,1,603,0,603,0
433,132,87,1,20,0,1,310,1,1,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,1,1,562,0,562,0
434,183,102,0,23,0,0,206,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,518,0,518,0
435,244,90,0,42,0,0,323,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,4,4,710,0,710,0
436,211,89,0,35,0,1,323,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,5,5,671,0,671,0
437,165,103,0,45,0,0,279,2,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,5,605,0,605,0
438,226,109,0,39,1,1,363,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,3,3,749,0,749,0
439,205,146,3,23,0,0,281,1,0,0,0,0,1,1,0,2,2,1,0,0,0,0,1,0,0,0,0,3,3,670,0,670,0
440,167,55,2,16,0,1,307,1,1,0,0,1,0,0,0,3,0,1,0,0,0,1,2,1,0,0,0,2,2,561,0,561,0
441,189,39,3,22,0,1,420,1,1,0,0,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,684,0,684,0
442,227,100,1,30,0,0,258,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,620,0,620,0
443,235,187,1,36,0,0,275,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,749,0,749,0
444,187,116,0,32,0,1,323,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,4,670,0,670,0
445,197,99,1,17,0,1,260,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,581,0,581,0
446,198,108,2,26,0,1,234,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,3,0,2,6,6,585,0,585,0
447,207,85,2,34,0,0,240,0,0,0,0,1,0,0,1,2,2,4,0,0,0,1,2,0,0,0,0,5,5,586,0,586,0
448,275,82,1,31,0,2,278,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,2,678,0,678,0
449,242,138,5,35,0,1,484,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,912,0,912,0
450,449,61,0,20,0,0,249,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,783,0,783,0
451,264,121,1,12,1,1,294,0,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,701,0,701,0
452,317,74,1,24,0,0,331,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,751,0,751,0
453,330,75,0,22,0,1,332,2,0,1,0,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,1,4,4,778,0,778,0
454,178,83,0,17,1,2,385,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,672,0,672,0
455,205,89,1,34,0,3,361,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,700,0,700,0
456,199,68,1,35,0,1,443,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,754,0,754,0
457,139,78,1,29,0,0,319,0,0,0,0,1,0,0,0,1,0,1,0,0,4,1,1,1,0,0,1,1,1,578,0,578,0
458,168,107,0,44,0,0,338,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,1,1,0,0,0,3,3,671,0,671,0
459,139,100,0,36,0,2,423,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,2,708,0,708,0
460,162,67,0,43,1,1,398,2,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,2,2,683,0,683,0
461,202,88,0,36,0,3,350,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,2,1,0,0,4,4,693,0,693,0
462,212,93,0,44,0,1,508,0,0,1,1,0,0,0,0,1,0,2,1,1,0,0,1,0,1,0,0,3,3,870,0,870,0
463,190,130,0,54,0,1,375,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,9,9,765,0,765,0
464,212,73,2,40,1,0,389,1,1,0,0,1,0,0,1,1,2,2,0,0,0,0,2,0,0,0,0,2,2,730,0,730,0
465,148,111,0,42,1,0,354,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,662,0,662,0
466,183,83,0,42,0,0,369,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,5,5,690,0,690,0
467,179,86,0,36,1,1,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,616,0
468,213,102,0,37,0,0,383,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,742,0,742,0
469,194,98,0,32,0,1,392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,720,0,720,0
470,238,152,6,68,0,1,425,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,11,11,904,0,904,0
471,197,180,0,38,0,0,187,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,617,0,617,0
472,190,122,3,34,0,0,449,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,4,806,0,806,0
473,177,98,1,24,0,0,376,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,680,0,680,0
474,179,93,1,44,0,1,323,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,647,0,647,0
475,187,157,1,44,0,1,423,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,821,0,821,0
476,140,181,0,42,0,0,347,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2,715,0,715,0
477,167,123,0,26,1,0,276,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,599,0,599,0
478,151,118,0,31,0,0,278,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,583,0,583,0
479,184,136,2,72,0,0,288,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,690,0,690,0
480,120,85,1,28,1,1,298,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,2,540,0,540,0
481,100,105,0,19,1,1,217,1,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,451,0,451,0
482,99,112,1,36,0,0,271,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,1,527,0,527,0
483,106,86,1,17,0,1,240,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,456,0,456,0
484,186,82,0,42,0,0,375,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,688,0,688,0
485,156,71,1,33,1,0,282,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,549,0,549,0
486,158,94,2,34,0,1,250,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,546,0,546,0
487,164,125,0,61,0,2,300,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,5,5,664,0,664,0
488,208,70,1,30,0,0,289,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,603,0,603,0
489,150,60,2,31,0,1,252,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,500,0
490,144,85,0,18,0,0,195,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,4,449,0,449,0
491,148,64,0,27,0,0,264,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,508,0,508,0
492,204,98,0,39,0,0,324,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,673,0,673,0
493,176,69,1,37,0,0,307,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,596,0,596,0
494,96,56,0,16,0,1,352,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,526,0,526,0
495,182,219,0,45,0,0,326,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5,5,783,0,783,0
496,137,100,0,38,0,2,377,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,4,4,666,0,666,0
497,165,96,1,40,0,1,508,1,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,822,0,822,0
498,180,146,1,58,0,1,314,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,8,8,715,0,715,0
499,148,119,1,24,1,0,324,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,3,626,0,626,0
500,192,116,1,42,0,0,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,657,0,657,0
501,201,100,1,42,0,0,290,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,4,643,0,643,0
502,228,121,1,37,1,2,364,1,0,0,0,0,1,0,0,1,3,4,0,0,0,0,0,1,0,0,0,1,1,766,0,766,0
503,186,88,0,39,0,0,424,0,2,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,3,0,0,2,2,751,0,751,0
504,194,96,2,32,0,1,387,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,2,2,725,0,725,0
505,244,124,0,37,0,1,263,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,2,2,678,0,678,0
506,268,119,0,57,0,1,383,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,5,5,837,0,837,0
507,178,100,0,40,0,2,332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,657,0,657,0
508,150,129,1,33,0,1,292,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,613,0,613,0
509,155,116,0,21,1,1,247,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,547,0,547,0
510,138,115,0,49,0,0,230,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,8,545,0,545,0
511,204,121,0,40,0,0,410,0,0,4,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,4,4,789,0,789,0
512,191,123,2,54,0,0,441,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,818,0,818,0
513,140,162,0,27,0,1,217,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,3,555,0,555,0
514,161,116,0,39,0,1,223,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,2,547,0,547,0
515,202,112,2,28,1,2,398,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,1,754,0,754,0
516,210,195,1,60,0,0,354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,836,0,836,0
517,166,130,1,23,0,0,452,1,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,3,3,783,0,783,0
518,199,110,0,63,0,1,407,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,1,1,1,0,1,1,791,0,791,0
519,194,107,1,34,0,1,419,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,1,0,0,0,765,0,765,0
520,142,88,0,38,0,0,344,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,0,3,1,1,624,0,624,0
521,163,85,0,36,0,1,335,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,1,626,0,626,0
522,216,226,1,60,0,0,356,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,1,0,2,0,0,8,8,876,0,876,0
523,208,105,0,25,0,2,293,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,641,0,641,0
524,259,170,3,41,2,0,429,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,1,7,7,919,0,919,0
525,129,94,0,29,0,0,328,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,586,0,586,0
526,179,137,0,50,0,0,321,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,696,0,696,0
527,193,114,0,23,0,0,350,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,1,688,0,688,0
528,213,138,1,55,0,2,451,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,867,0,867,0
529,182,157,2,44,2,0,340,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2,732,0,732,0
530,193,131,2,40,0,0,392,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,1,765,0,765,0
531,220,135,0,44,0,1,272,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,679,0,679,0
532,169,145,1,58,0,3,411,0,2,0,0,0,0,0,1,1,2,1,0,2,0,0,1,0,0,0,1,2,2,800,0,800,0
533,121,130,0,34,0,2,290,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,1,585,0,585,0
534,151,103,2,18,0,1,333,1,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,4,619,0,619,0
535,190,96,0,44,0,0,302,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,640,0,640,0
536,136,115,2,37,0,0,243,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,543,0,543,0
537,207,110,0,15,0,0,212,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,5,553,0,553,0
538,202,103,0,31,0,3,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,677,0
539,199,145,1,40,1,0,278,0,0,0,0,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,3,3,674,0,674,0
540,133,103,0,26,0,2,253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,522,0,522,0
541,140,166,0,31,0,2,382,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,725,0,725,0
542,141,105,0,34,0,0,437,1,0,0,0,0,0,0,1,1,1,3,1,0,0,0,1,0,0,0,0,2,2,728,0,728,0
543,209,153,0,52,0,3,446,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,865,0,865,0
544,136,86,0,35,0,0,275,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,538,0,538,0
545,120,98,0,21,0,1,305,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,0,0,4,4,557,0,557,0
546,170,133,0,37,0,1,231,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,7,582,0,582,0
547,212,143,0,42,0,0,297,0,0,0,0,1,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0,3,3,705,0,705,0
548,171,125,0,44,0,0,367,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,714,0,714,0
549,199,137,0,47,1,1,366,0,0,1,1,1,1,0,1,0,0,4,0,1,0,0,1,0,1,0,0,3,3,766,0,766,0
550,228,131,0,53,0,0,340,3,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,5,5,767,0,767,0
551,235,82,0,31,0,0,396,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,751,0,751,0
552,168,138,0,33,0,0,267,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,612,0,612,0
553,121,65,0,19,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,377,0,377,0
554,209,162,0,46,0,1,348,0,0,0,0,0,0,0,0,1,2,6,0,1,1,1,4,2,1,0,0,3,3,788,0,788,0
555,136,122,0,28,0,1,258,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,547,0,547,0
556,246,105,0,41,0,1,342,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,10,10,750,0,750,0
557,198,165,1,58,1,3,464,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,6,900,0,900,0
558,193,134,1,38,0,0,342,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,716,0,716,0
559,143,87,1,22,0,0,222,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,479,0,479,0
560,166,126,0,32,1,0,370,2,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,5,710,0,710,0
561,184,102,0,41,1,1,299,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,8,8,640,0,640,0
562,212,136,0,48,0,0,364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,6,769,0,769,0
563,183,142,0,52,0,0,357,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,740,0,740,0
564,164,155,3,43,0,3,384,0,0,0,0,0,1,0,2,1,1,2,1,0,1,0,0,0,1,0,0,6,6,768,0,768,0
565,191,125,0,42,0,0,534,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,900,0,900,0
566,222,96,1,36,0,0,327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,5,5,692,0,692,0
567,158,96,0,23,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,539,0,539,0
568,162,78,1,24,0,0,353,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,625,0,625,0
569,152,78,0,17,0,0,314,1,0,0,1,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,570,0,570,0
570,171,72,2,36,1,1,387,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,2,676,0,676,0
571,319,102,2,54,0,2,305,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,3,791,0,791,0
572,155,97,1,33,0,1,354,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,648,0,648,0
573,260,60,0,42,1,1,365,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5,5,738,0,738,0
574,189,111,2,21,2,1,353,1,0,1,0,0,1,0,1,0,1,5,0,0,0,0,1,1,1,0,0,2,2,694,0,694,0
575,206,142,0,52,0,1,393,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,806,0,806,0
576,105,100,0,24,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,3,393,0,393,0
577,263,97,1,35,0,0,300,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,6,6,708,0,708,0
578,258,152,1,31,1,0,348,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,799,0,799,0
579,229,112,0,31,0,1,335,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,713,0,713,0
580,210,115,0,26,0,1,266,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,6,627,0,627,0
581,178,112,1,38,0,1,281,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,618,0,618,0
582,227,69,0,24,1,0,305,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,1,0,0,1,1,635,0,635,0
583,172,61,1,21,0,0,184,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,445,0,445,0
584,156,81,1,30,0,0,232,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,6,6,511,0,511,0
585,156,66,0,27,0,0,145,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,400,0,400,0
586,245,70,1,31,0,2,264,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,620,0,620,0
587,166,74,0,29,0,0,250,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,4,528,0,528,0
588,146,106,0,38,0,1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,534,0,534,0
589,179,107,0,24,1,2,244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,565,0,565,0
590,270,107,1,33,0,0,239,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,655,0,655,0
591,221,105,0,56,0,1,225,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,618,0,618,0
592,142,202,0,45,0,0,343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,10,744,0,744,0
593,254,114,1,39,0,0,316,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,6,733,0,733,0
594,150,53,1,13,0,3,264,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,490,0,490,0
595,195,113,1,49,1,0,247,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,4,4,617,0,617,0
596,198,96,0,31,0,1,299,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,631,0,631,0
597,177,94,0,44,0,2,253,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,576,0,576,0
598,197,126,2,68,0,0,341,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,6,744,0,744,0
599,134,56,0,23,1,1,194,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,414,0,414,0
600,188,141,1,48,2,0,270,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,656,0,656,0
601,169,87,0,30,0,1,211,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,502,0,502,0
602,147,102,1,43,0,0,182,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,6,484,0,484,0
