Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
114,114,252,112,18,0,0,0,2,425,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,814,0,0,814,0
115,115,272,130,16,0,1,1,0,355,0,1,0,0,1,0,1,2,1,2,0,1,0,0,1,2,2,0,789,0,1,790,0
116,116,243,126,30,0,1,2,1,442,0,0,1,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,852,0,2,854,0
117,117,205,66,26,0,1,1,0,231,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,533,0,2,535,0
118,118,231,89,24,1,1,0,0,229,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,582,0,3,585,0
119,119,220,68,29,0,0,0,0,218,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,537,0,3,540,0
120,120,131,58,8,0,0,0,0,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,368,0
121,121,266,87,24,0,0,0,0,285,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,666,0,4,670,0
122,122,252,83,31,1,0,0,1,293,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,1,0,671,0,6,677,0
123,123,310,57,20,0,1,0,2,271,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,669,0,4,673,0
124,124,197,58,13,1,1,0,0,233,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,509,0,1,510,0
125,125,253,44,15,0,1,1,2,242,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,0,0,0,565,0,1,566,0
126,126,330,88,30,0,0,3,1,354,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,813,0,0,813,0
127,127,265,73,21,0,1,0,0,299,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,665,0,3,668,0
128,128,224,121,27,4,1,0,0,383,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,766,0,1,767,0
129,129,187,66,12,0,0,0,1,290,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,1,3,0,566,0,3,569,0
130,130,263,122,24,0,0,0,0,400,0,1,0,0,0,0,0,1,5,0,0,0,0,0,1,1,3,0,821,0,5,826,0
131,131,285,171,28,0,4,0,1,359,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,857,0,1,858,0
132,132,246,147,42,0,0,0,3,290,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,735,0,0,735,0
133,133,322,104,51,0,0,2,1,371,1,0,0,0,1,0,1,0,3,1,0,0,0,0,0,2,1,0,861,0,2,863,0
134,134,199,79,27,1,0,0,2,323,1,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,1,0,639,0,1,640,0
135,135,391,39,13,0,0,0,0,273,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,3,721,0
136,136,304,43,13,0,0,0,0,239,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,602,0,2,604,0
137,137,257,15,4,0,0,0,1,117,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,0,401,0,1,402,0
138,138,427,8,4,0,0,0,0,136,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,578,0,2,580,0
139,139,308,37,18,2,0,0,3,231,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,604,0,4,608,0
140,140,310,71,19,0,0,1,1,405,0,1,0,0,1,0,0,5,3,0,1,0,0,1,2,0,0,0,821,0,6,827,0
141,141,329,48,17,2,1,0,2,340,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,745,0,0,745,0
142,142,405,66,32,0,1,0,3,420,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,932,0,0,932,0
143,143,275,70,17,2,1,0,1,336,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,708,0,2,710,0
144,144,165,52,23,0,0,0,0,214,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,458,0,2,460,0
145,145,138,35,27,0,0,0,1,188,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,391,0,2,393,0
146,146,134,28,16,1,0,0,0,186,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,370,0,0,370,0
