Polling Station No,Candidate_1,NALAME.J,AMAHTOHSURUP AHTIRAP G.N,PADARP.B.K,NASARAVOOP.T,AHSA.K,UDNIS.K,LAHTIBAHT.K,A.NARAKABUS,IHTAMUS.M,NABURIHTAM HTARAHB,HSEJAR.A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
59,14,187,96,0,0,241,2,0,0,1,1,542,542,0,2,544,0
60,19,121,156,0,0,315,1,0,1,0,1,614,614,0,0,614,0
61,18,132,93,0,2,343,3,3,0,0,1,595,595,0,2,597,0
62,19,137,129,0,1,237,0,1,0,0,0,524,524,0,2,526,0
63,9,122,92,1,0,157,0,2,0,1,0,384,384,0,3,387,0
64,14,157,136,1,1,263,1,0,1,1,0,575,575,0,3,578,0
65,19,102,253,2,1,453,4,1,0,2,0,837,837,0,0,837,0
66,11,140,220,0,3,332,1,3,0,1,0,711,711,0,4,715,0
67,35,112,224,2,0,379,2,1,0,0,3,758,758,0,2,760,0
68,42,247,200,2,4,438,1,1,1,0,2,938,938,0,3,941,0
69,23,103,129,3,2,349,0,4,2,0,1,616,616,0,8,624,0
70,23,164,167,2,2,258,1,0,0,1,0,618,618,0,4,622,0
71,21,88,83,1,0,152,0,0,2,1,1,349,349,0,2,351,0
72,21,156,103,1,0,294,1,0,1,0,0,577,577,0,7,584,0
73,20,224,189,0,3,294,0,3,0,0,2,735,735,0,3,738,0
74,16,160,139,1,0,279,0,1,0,0,0,596,596,0,6,602,0
75,17,191,148,0,2,202,0,0,1,1,0,562,562,0,1,563,0
76,17,147,164,0,0,229,2,0,1,0,0,560,560,0,2,562,0
77,16,214,163,2,1,239,2,0,3,0,0,640,640,0,2,642,0
78,22,217,120,0,1,288,1,0,2,0,0,651,651,0,2,653,0
79,9,163,118,1,2,141,1,0,0,0,1,436,436,0,2,438,0
80,6,149,116,0,1,180,1,1,1,0,0,455,455,0,4,459,0
81,18,231,139,2,0,222,1,2,0,0,0,615,615,0,7,622,0
82,25,212,218,1,1,319,1,2,0,2,0,781,781,0,2,783,0
83,13,115,173,1,0,186,1,0,0,4,0,493,493,0,0,493,0
84,12,101,314,3,1,196,0,0,0,0,0,627,627,0,1,628,0
85,18,189,217,1,0,194,2,0,0,0,0,621,621,0,0,621,0
86,12,166,191,1,0,226,0,0,1,1,0,598,598,0,1,599,0
87,9,116,139,0,0,122,1,1,0,0,0,388,388,0,1,389,0
88,13,274,217,1,0,174,2,1,1,1,1,685,685,0,3,688,0
