Polling Station No,KIRUTHIGA THANGAPANDI,SATHYADEVI. T.,RAJANCHELLAPPA. V.V.,CHELLADURAI. R,SETHURAMAN. A.,SYED IBRAHIM. M.,THANAPANDIAN. T.,NIRMALKUMAR. R.,MOOKKAYEE. C.,RENGANATHAN DORAISAMY,ARUMUGAM. G.,UKKRA PANDIAN. S.,POUNRAJ. N.,RAJ. P.,VALLARASAN. K.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
256,182,35,194,1,1,0,1,365,1,0,0,0,0,1,0,781,0,2,783,0
257,157,35,84,0,1,1,4,247,1,0,0,0,0,1,0,531,0,2,533,0
258,108,27,79,0,0,0,1,175,0,0,0,0,0,2,1,393,0,1,394,0
259,176,43,171,1,0,2,4,317,0,1,0,0,0,2,0,717,0,2,719,0
260,252,41,129,0,3,0,2,409,0,0,0,0,0,0,0,836,0,6,842,0
261,297,16,191,1,0,0,3,335,2,0,2,0,0,3,1,851,0,3,854,0
262,220,25,192,0,1,1,7,428,2,5,0,0,1,0,1,883,0,6,889,0
263,285,33,191,2,1,0,2,339,0,1,0,0,0,2,0,856,0,3,859,0
264,233,36,169,1,0,0,2,340,0,1,0,0,0,0,1,783,0,3,786,0
265,196,43,246,0,2,0,0,518,0,1,0,1,0,0,0,1007,0,4,1011,0
266,231,51,166,0,10,1,0,339,0,0,0,1,0,0,0,799,0,3,802,0
267,160,29,101,0,2,0,3,366,0,0,0,0,0,0,0,661,0,0,661,0
268,168,61,162,0,0,0,1,431,1,0,0,1,1,3,0,829,0,2,831,0
269,187,27,127,3,0,1,3,433,3,1,0,1,0,3,1,790,0,3,793,0
270,186,42,132,0,2,1,6,341,0,0,2,0,0,2,0,714,0,3,717,0
271,90,34,106,1,0,1,3,255,1,0,0,0,0,2,1,494,0,1,495,0
272,100,31,93,0,0,0,3,321,0,1,1,0,0,1,0,551,0,2,553,1
273,171,38,153,0,1,0,11,325,0,0,3,0,0,0,0,702,0,4,706,0
274,171,50,181,1,1,1,7,465,1,0,1,1,0,1,0,881,0,6,887,0
275,152,61,132,1,4,1,4,330,1,2,0,0,0,0,0,688,0,8,696,0
276,162,31,116,1,2,1,6,354,0,1,1,0,0,0,0,675,0,4,679,0
277,174,40,112,0,0,0,3,388,0,1,0,0,0,0,0,718,0,2,720,0
278,187,57,160,0,5,0,9,479,1,1,1,1,0,0,0,901,0,0,901,0
279,162,36,167,0,1,0,4,448,2,0,0,0,1,1,1,823,0,2,825,0
280,148,51,152,0,1,1,6,404,0,1,1,0,0,2,0,767,0,1,768,0
281,225,64,139,0,0,0,18,455,0,0,0,0,0,2,1,904,0,4,908,0
282,185,52,156,1,10,0,2,403,0,2,0,0,1,1,0,813,0,7,820,0
283,179,47,145,1,11,0,5,369,0,0,0,0,0,2,0,759,0,3,762,0
284,150,41,145,1,1,0,12,334,0,1,0,2,1,0,0,688,0,2,690,0
285,141,20,95,1,0,0,1,200,0,0,0,0,0,0,0,458,0,1,459,0
286,183,43,161,1,0,1,1,401,2,1,1,2,0,1,0,798,0,4,802,0
287,237,47,159,0,0,0,1,425,3,1,1,0,0,3,1,878,0,1,879,0
288,231,53,87,3,9,1,1,423,0,0,1,0,0,4,0,813,0,6,819,0
289,156,41,123,2,1,1,4,466,0,0,0,0,0,3,0,797,0,0,797,0
