Polling Station No,Candidate_1,. P . K ) .K N M A GD AA LI AA B( N A,. S . R A V M) N UK D KM . RLD D I H ( T N E S,. R . I H) K T T A N P ( O O B,. R ) .K IV P T O ( G,. M . L A M ) MK AM YT I( N A L A P,) K . PL K . HM SM E ML D AA RN (,N . P A M. L) K AA V RM A AUT YR( AE JP,. L . N A) D N N H I S( I R K,. N . Y M ) AD SN A I N( N I H C,. G . R A M ) UD KN LI I( H T N E S,. K . R A M ) UD KN LI I( H T N E S,. M L . AY MM) D UA N S R I U( E PN U M,. P . N A) PD PN AI H( D A M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
80,80,155,160,9,103,1,0,0,0,0,1,0,0,1,0,430,0,1,431
81,81,110,90,5,76,0,0,0,0,0,0,0,2,2,0,285,0,1,286
82,82,356,123,19,136,0,0,0,1,0,1,0,2,0,3,641,0,5,646
83,83,421,181,13,226,0,3,0,0,0,1,1,1,0,0,847,0,5,852
84,84,315,57,3,90,0,0,1,0,0,0,0,0,0,0,466,0,2,468
85,85,420,79,13,253,0,0,0,0,0,0,0,1,0,0,766,0,11,777
86,86,332,258,33,318,2,2,0,1,0,1,0,0,2,5,954,0,8,962
87,87,249,75,8,149,0,1,0,0,1,2,0,0,1,2,488,0,4,492
88,88,465,241,33,222,0,3,0,0,1,1,1,0,3,1,971,0,10,981
89,89,289,243,20,135,0,0,0,0,1,0,0,1,6,2,697,0,11,708
90,90,146,36,1,120,0,2,0,0,0,1,0,0,1,0,307,0,2,309
91,91,305,105,12,135,0,0,0,0,0,1,0,0,0,0,558,0,5,563
92,92,418,60,20,193,0,0,0,0,0,1,0,1,0,1,694,0,3,697
93,93,515,131,22,279,1,2,0,2,1,1,1,2,4,3,964,0,15,979
94,94,285,112,29,290,0,1,0,0,0,1,1,4,0,1,724,0,13,737
95,95,231,205,17,225,1,0,0,0,0,0,1,0,0,0,680,0,4,684
96,96,263,200,18,328,4,0,1,1,0,0,0,0,0,0,815,0,9,824
97,97,230,186,16,342,1,1,0,0,0,1,0,0,0,0,777,0,4,781
98,98,252,178,19,242,0,3,0,0,0,0,0,1,1,0,696,0,0,696
99,99,179,199,12,192,0,1,0,1,0,0,0,0,0,0,584,0,3,587
100,100,255,173,8,186,0,0,0,1,0,0,0,0,0,2,625,0,3,628
101,101,257,205,14,168,1,1,1,0,0,0,0,0,1,1,649,0,5,654
102,102,250,108,21,185,1,1,0,0,0,0,0,0,0,2,568,0,3,571
103,103,195,148,13,203,0,1,0,0,1,0,0,1,0,2,564,0,1,565
104,104,307,147,20,204,3,1,0,1,0,1,0,0,1,0,685,0,5,690
105,105,304,125,24,204,0,0,0,0,0,0,0,0,0,1,658,0,7,665
106,106,219,186,6,235,0,0,0,0,0,0,1,0,1,3,651,0,0,651
107,107,345,81,11,276,1,0,0,0,0,0,1,2,0,3,720,0,3,723
108,108,504,95,24,277,3,0,1,0,0,1,0,1,3,2,911,0,5,916
109,109,213,27,10,128,1,0,0,0,1,0,0,0,3,0,383,0,4,387
110,110,341,136,38,258,1,2,0,0,0,0,1,1,1,2,781,0,6,787
111,111,508,117,24,201,1,0,0,0,0,0,0,0,0,0,851,0,9,860
112,112,319,145,27,232,0,0,0,0,1,0,0,3,2,1,730,0,5,735
113,113,350,129,26,206,0,1,0,1,0,0,0,2,0,3,718,0,7,725
114,114,338,110,16,208,0,3,2,0,0,2,1,0,4,0,684,0,6,690
115,115,322,301,17,206,2,1,0,0,0,1,1,2,7,0,860,0,3,863
116,116,409,296,28,219,1,0,1,0,0,1,0,1,3,1,960,0,2,962
117,117,386,146,16,204,1,0,0,0,2,0,0,1,0,2,758,0,6,764
118,118,531,275,26,203,0,0,0,0,0,1,0,0,1,2,1039,0,4,1043
119,119,398,200,35,205,1,1,0,0,1,1,2,2,3,1,850,0,6,856
120,120,191,110,12,123,0,0,0,0,0,1,0,2,0,0,439,0,1,440
121,121,375,216,10,204,1,1,0,0,0,1,1,2,4,2,817,0,7,824
122,122,243,177,15,122,0,0,0,0,0,0,0,0,0,0,557,0,0,557
123,123,295,128,8,111,0,1,0,0,0,0,0,0,0,1,544,0,0,544
124,124,330,311,21,232,0,0,1,0,0,0,0,1,0,0,896,0,4,900
125,125,311,213,10,146,0,0,1,0,0,0,0,0,0,1,682,0,6,688
126,126,366,84,10,109,1,0,0,1,0,1,0,1,1,0,574,0,4,578
127,127,207,168,8,110,0,0,1,0,0,0,0,1,2,3,500,0,4,504
128,128,436,137,24,224,0,0,0,0,0,1,1,0,6,4,833,0,6,839
129,129,609,155,26,264,1,1,0,1,1,2,1,1,0,5,1067,0,4,1071
130,130,451,141,15,255,0,2,0,0,1,0,1,0,2,4,872,0,0,872
131,131,290,212,20,182,0,1,0,0,1,0,0,0,0,2,708,0,2,710
132,132,585,59,22,184,0,0,0,0,1,0,0,0,0,2,853,0,4,857
133,133,307,77,15,124,0,0,0,0,0,0,1,0,0,1,525,0,2,527
134,134,397,42,20,203,0,0,0,0,1,0,0,0,1,0,664,0,6,670
135,135,193,150,9,118,1,1,0,0,0,1,0,1,1,0,475,0,2,477
136,136,438,101,15,232,2,0,0,0,0,0,1,0,0,2,791,0,1,792
137,137,426,41,32,201,1,0,0,0,1,0,0,0,0,2,704,0,2,706
138,138,500,119,27,287,0,0,4,0,1,2,0,0,0,0,940,0,6,946
139,139,250,129,17,218,2,2,0,1,0,0,2,4,2,1,628,0,6,634
140,140,363,117,29,211,0,1,0,0,0,2,0,2,0,0,725,0,2,727
141,141,478,197,33,371,3,2,1,1,1,0,0,3,6,3,1099,0,8,1107
142,142,370,100,15,212,0,0,0,0,0,0,1,0,0,1,699,0,4,703
143,143,268,111,27,272,1,0,0,0,0,1,0,2,0,3,685,0,6,691
144,144,181,188,33,187,1,0,0,0,1,0,0,0,3,2,596,0,4,600
145,145,188,189,17,126,0,0,0,0,0,0,0,1,2,0,523,0,3,526
146,146,479,127,16,194,1,0,2,0,1,0,0,0,0,1,821,0,6,827
147,147,326,186,28,292,1,0,0,0,0,1,0,0,1,2,837,0,7,844
148,148,272,55,26,190,0,1,0,0,0,0,2,1,1,2,550,0,1,551
149,149,190,130,12,138,1,1,0,0,0,0,0,0,0,0,472,0,1,473
150,150,232,264,23,266,1,1,1,0,0,1,0,1,1,1,792,0,4,796
151,151,210,206,12,145,1,0,0,0,0,1,1,6,3,3,588,0,3,591
152,152,321,58,13,193,1,1,1,0,0,1,0,3,0,1,593,0,10,603
153,153,110,100,2,81,0,0,0,0,0,0,0,0,0,0,293,0,2,295
154,154,450,97,22,208,0,1,1,0,0,0,0,1,0,0,780,0,2,782
155,155,336,127,9,195,0,2,0,0,0,1,1,0,1,0,672,0,3,675
156,156,331,198,15,242,1,1,1,0,2,0,0,2,3,0,796,0,7,803
157,157,340,99,15,209,0,0,0,0,2,0,0,1,1,0,667,0,4,671
158,158,312,139,12,327,1,1,0,0,0,1,1,1,1,2,798,0,3,801
159,159,457,175,18,314,0,0,0,1,0,1,0,1,1,2,970,0,4,974
160,160,233,51,16,142,0,1,1,0,0,0,0,0,0,1,445,0,3,448
161,161,477,217,31,218,1,0,1,0,0,0,0,1,1,1,948,0,4,952
162,162,219,122,27,110,1,0,0,0,0,0,0,0,1,1,481,0,1,482
163,163,341,121,18,190,0,1,0,0,0,1,0,2,0,0,674,0,7,681
164,164,383,101,16,196,0,1,0,0,1,0,0,0,0,1,699,0,8,707
165,165,332,116,7,248,0,1,0,0,0,1,1,1,2,3,712,0,8,720
166,166,251,192,16,182,0,1,0,0,0,1,0,0,0,2,645,0,2,647
167,167,138,204,8,232,1,1,0,0,0,0,2,3,0,0,589,0,2,591
168,168,340,115,33,157,1,0,0,0,0,0,0,0,0,0,646,0,6,652
169,169,430,400,31,241,1,1,0,0,5,1,1,3,0,2,1116,0,4,1120
170,170,353,52,31,196,0,0,0,0,0,0,1,2,0,0,635,0,4,639
171,171,343,96,21,159,0,0,0,0,0,0,0,0,0,1,620,0,3,623
172,172,525,106,26,254,0,0,0,0,1,1,1,0,1,0,915,0,9,924
173,173,534,99,27,272,0,1,0,0,0,0,0,1,1,1,936,0,3,939
174,174,588,97,41,333,0,1,0,0,0,0,0,0,0,0,1060,0,7,1067
175,175,206,91,30,133,0,0,0,0,0,0,0,1,0,0,461,0,3,464
176,176,430,199,25,274,1,0,0,0,1,0,0,0,1,2,933,0,4,937
177,177,383,123,19,289,1,0,0,1,0,0,1,1,5,0,823,0,1,824
178,178,370,189,20,258,0,0,4,0,0,0,1,0,1,0,843,0,8,851
179,179,529,166,23,232,0,1,1,0,0,0,0,0,0,1,953,0,3,956
180,180,190,206,8,159,0,1,0,0,0,0,1,2,1,0,568,0,7,575
181,181,273,75,13,287,0,1,0,0,1,0,0,0,1,1,652,0,3,655
182,182,481,160,22,256,2,0,0,0,0,0,0,2,0,1,924,0,7,931
183,183,387,268,18,263,0,0,1,1,0,0,0,0,0,0,938,0,4,942
184,184,522,150,21,339,0,0,0,0,0,0,0,1,0,2,1035,0,7,1042
185,185,155,170,5,159,0,0,0,0,0,0,0,0,0,0,489,0,6,495
186,186,213,203,10,128,0,2,0,0,0,0,0,0,0,1,557,0,1,558
187,187,55,397,2,71,1,0,0,0,0,0,0,0,0,2,528,0,0,528
