Polling Station No,K. S. RAVICHANDRAN,PORKODI ARMSTRONG,JAGADESH CHANDER .M,C. CHRISTY,A. SELVA KUMAR,M. R. PALLAVI,S JAYAKALPANA,R. ANANDAN,M. KANNADASAN,M. KOLANJI,D. SATHISH KUMAR,SATHISH,S. SENTHAMIZHAN,G. J. DHARANIRAJ,S. PARTHIBAN,PRAKASH ARUNACHALAM,PRASANTH. D,PRAVEEN THIYAGARAJAN,R. MURUGAN,M. MOHAN,S. RAJENDRAN,M. LOKESH,C. JAGAN MOHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
199,232,164,9,1,1,335,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,747,0,0,747,0
200,174,136,24,0,1,454,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,798,0,3,801,0
201,133,86,20,1,1,369,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,615,0,5,620,0
202,152,116,17,1,0,373,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,665,0,1,666,1
203,119,96,5,0,1,358,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,586,0,3,589,0
204,224,108,15,2,0,303,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,1,0,659,0,4,663,0
205,165,97,8,0,0,404,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,682,0,2,684,0
206,125,60,7,1,0,211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,4,410,0
207,134,44,5,0,0,245,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,431,0,1,432,0
208,165,91,12,0,2,316,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,591,0,0,591,0
209,142,115,14,0,0,286,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,559,0,2,561,0
210,171,92,15,1,2,369,2,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,660,0,4,664,0
211,201,131,23,0,0,396,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,758,0,3,761,0
212,170,73,10,0,0,247,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,505,0,4,509,0
213,189,166,11,0,0,194,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,566,0,6,572,0
214,157,117,7,0,0,236,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,526,0,3,529,0
215,131,269,14,1,0,264,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,683,0,6,689,0
