Polling Station No,SUBRAMANI.P,SENDHIL KUMAR.G,MURUGESAN.G,ANBARASU.P,SUNDARAMMAL,SYED FAROOQ BASHA SSB,SYED BHURHANUDEEN,DEVENDRAN.J,ABDUL WAHID.A,SRINIVASAN.A,SELVARAJ.M,NAVEEN.R,MANJUNATH.K,MANOJ.S,RAJESH.T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
139,2,83,10,1,2,276,219,0,0,0,1,0,1,0,1,596,0,1,597,0
140,0,70,3,0,1,244,232,1,0,0,0,0,1,0,1,553,0,0,553,0
141,0,67,4,2,1,256,181,0,0,2,1,0,2,0,0,516,0,0,516,0
142,5,60,6,2,3,329,249,1,0,0,2,1,0,0,1,659,0,2,661,0
143,0,74,12,3,2,312,263,1,0,0,0,0,2,0,0,669,0,1,670,0
144,1,115,4,4,2,320,209,1,0,0,0,2,2,0,1,661,0,0,661,0
145,1,69,16,1,1,501,238,0,0,0,0,0,0,0,0,827,0,2,829,0
146,0,77,2,0,2,363,180,1,0,1,1,0,0,0,0,627,0,0,627,0
147,2,94,6,0,0,217,202,1,0,0,1,0,0,0,0,523,0,2,525,0
148,1,77,5,1,5,270,148,0,0,0,1,1,2,0,1,512,0,2,514,0
149,1,39,8,0,4,422,135,0,0,0,1,0,0,1,0,611,0,1,612,0
150,0,112,5,0,3,393,181,0,0,0,0,0,0,0,1,695,0,3,698,0
151,1,79,8,1,0,359,146,1,2,0,2,3,0,0,1,603,0,0,603,0
152,1,40,1,2,0,351,80,0,0,0,0,1,0,0,0,476,0,2,478,0
153,3,36,2,1,2,491,128,0,0,0,0,0,0,0,0,663,0,0,663,0
154,1,173,6,0,2,138,173,1,0,0,0,0,0,0,1,495,0,0,495,0
155,5,102,22,1,0,331,196,0,2,0,1,0,0,0,0,660,0,7,667,0
156,0,123,11,0,1,234,209,0,1,0,0,0,0,0,3,582,0,1,583,0
157,2,124,9,2,0,155,215,0,0,0,0,1,1,0,0,509,0,3,512,0
158,1,97,7,1,1,167,218,0,0,1,0,0,0,2,0,495,0,3,498,0
159,1,132,10,2,4,251,233,4,0,0,0,0,0,0,0,637,0,4,641,0
160,3,128,15,0,1,156,401,2,0,1,0,0,1,0,3,711,0,4,715,0
161,3,195,5,1,0,145,214,0,1,0,0,0,0,1,0,565,0,1,566,0
162,3,72,13,0,1,347,200,1,0,0,0,0,0,0,0,637,0,4,641,0
163,2,56,5,1,0,203,132,2,0,0,0,0,0,1,0,402,0,0,402,0
164,1,156,19,0,2,169,384,0,0,0,0,0,0,0,1,732,0,0,732,0
165,1,154,11,1,2,96,249,0,1,1,0,0,0,0,0,516,0,0,516,0
166,3,128,4,0,1,108,261,0,0,0,0,0,0,0,0,505,0,1,506,0
167,0,273,12,1,1,258,252,0,1,0,0,1,0,0,1,800,0,2,802,0
168,2,320,12,1,0,135,239,0,0,0,0,0,0,0,1,710,0,2,712,0
169,0,187,29,1,1,217,296,0,0,1,0,0,0,0,0,732,0,0,732,0
170,3,408,21,0,1,180,344,0,0,11,0,2,0,1,1,972,0,5,977,0
171,1,184,12,0,1,165,335,0,0,0,0,0,1,1,0,700,0,5,705,0
172,4,146,16,0,3,171,371,0,0,1,0,0,1,1,1,715,0,3,718,0
173,0,225,9,0,2,142,172,0,0,0,2,1,0,0,1,554,0,1,555,0
174,0,173,13,0,2,148,188,1,0,0,0,0,2,0,0,527,0,2,529,0
175,0,126,30,1,2,148,416,0,0,1,0,0,0,1,1,726,0,1,727,0
176,2,70,11,1,1,185,280,1,2,0,0,0,0,0,0,553,0,1,554,0
177,3,82,21,0,2,155,243,1,0,0,1,0,0,0,1,509,0,1,510,0
178,2,160,19,1,2,173,423,2,0,0,3,2,1,2,0,790,0,1,791,0
179,1,189,18,1,2,232,346,0,0,1,0,0,0,0,0,790,0,1,791,0
180,0,138,4,0,2,95,147,1,0,0,0,0,1,0,0,388,0,0,388,0
181,2,163,24,0,0,201,323,0,1,0,0,2,0,1,1,718,0,0,718,0
182,3,203,17,2,0,152,235,0,0,2,0,0,1,0,1,616,0,1,617,0
183,2,160,27,0,3,182,384,1,1,0,0,0,0,1,0,761,0,1,762,0
184,4,180,19,2,3,240,538,2,0,2,1,1,1,1,2,996,0,1,997,0
185,2,306,20,0,2,204,319,0,0,0,1,0,0,0,1,855,0,1,856,0
186,2,262,19,2,2,168,287,0,0,1,0,1,1,0,1,746,0,7,753,0
