Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
89,149,10,53,0,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,405,0,1,406,0
90,143,16,75,0,1,250,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,491,0,1,492,0
91,190,21,119,0,0,276,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,611,0,5,616,0
92,254,12,73,0,0,423,1,0,0,1,0,0,0,0,0,1,4,1,1,0,0,1,0,0,0,0,1,0,773,0,0,773,0
93,167,20,138,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,3,504,0
94,191,23,112,0,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,486,0,7,493,0
95,226,15,50,1,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,6,544,0
96,148,17,57,0,0,106,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,4,334,0
97,194,18,81,2,1,291,1,0,0,0,0,3,1,1,0,2,3,0,0,0,1,0,1,0,0,0,0,1,601,0,3,604,0
98,193,17,64,1,1,267,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,547,0,3,550,0
99,154,19,97,0,0,206,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,480,0,3,483,0
100,117,9,83,0,0,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,3,317,0
101,177,14,109,0,0,174,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,482,0,1,483,0
