Polling Station No,V. SOMASUNDARAM,NITHYA SUGUMAR,VETRISELVI,R.V. RANJITHKUMAR,M. NANDHAKUMAR,V. NARESH,P. VENKATESAN,M. SOMASUNDARAM,V. SOMASUNDARAM,GNANAMOORTHY,C. DILLIBABU,E. DHAKSHNAMOORTHY,G. BABU,M. BALAJI,M. MEGANATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
132,168,120,19,294,0,0,0,0,0,0,1,0,1,1,0,604,0,2,606,0
133,358,194,27,268,0,3,0,0,0,0,0,1,4,1,1,857,0,2,859,0
134,155,137,10,182,2,0,0,0,0,0,0,0,0,0,0,486,0,2,488,0
135,239,135,17,230,1,0,0,0,0,0,0,0,0,1,0,623,0,3,626,0
136,147,109,17,165,0,0,0,0,0,0,0,0,1,0,0,439,0,5,444,0
137,271,208,33,337,1,0,0,0,0,0,0,2,0,0,1,853,0,5,858,0
138,218,186,28,296,0,1,0,1,0,1,0,0,1,0,0,732,0,2,734,0
139,360,232,17,312,0,2,0,0,1,0,0,0,2,4,1,931,0,4,935,0
140,250,146,20,265,1,0,0,0,0,0,0,0,2,2,0,686,0,4,690,0
141,279,213,28,300,1,0,0,1,1,0,0,0,2,1,0,826,0,0,826,0
142,296,222,29,236,0,0,0,1,1,0,0,0,0,1,2,788,0,2,790,0
143,211,168,22,189,0,1,0,1,0,0,0,0,0,0,0,592,0,3,595,0
144,232,192,21,261,1,2,0,0,1,0,1,1,2,1,0,715,0,2,717,0
145,219,193,25,346,1,0,0,0,0,0,1,0,1,1,0,787,0,2,789,0
146,186,151,10,262,1,1,0,0,0,1,0,1,3,0,0,616,0,0,616,0
147,363,213,17,297,1,0,0,0,0,0,0,2,3,2,0,898,0,1,899,0
148,275,223,25,273,1,0,0,1,0,0,0,1,1,0,0,800,0,7,807,0
149,232,157,11,227,0,0,0,1,1,0,0,0,0,0,0,629,0,5,634,0
150,210,138,12,156,1,1,0,0,1,0,0,0,1,0,0,520,0,0,520,0
151,251,213,24,333,1,0,1,2,0,0,0,0,0,0,0,825,0,2,827,0
152,200,146,18,190,0,0,0,0,0,0,0,0,2,1,0,557,0,2,559,0
153,165,183,25,185,2,0,0,4,1,0,0,0,0,0,0,565,0,4,569,0
154,249,166,24,234,0,0,0,1,0,0,0,0,1,0,0,675,0,6,681,0
155,241,186,28,226,0,1,0,0,2,0,0,0,0,0,0,684,0,9,693,0
156,202,215,28,239,2,0,0,1,0,0,0,0,1,0,1,689,0,2,691,0
157,131,149,12,233,0,0,0,0,0,0,0,1,1,0,0,527,0,3,530,0
158,152,198,13,231,0,0,0,0,0,0,0,1,5,1,0,601,0,3,604,0
159,153,135,17,219,1,0,0,0,0,0,0,0,0,0,0,525,0,1,526,0
160,336,242,38,339,0,0,0,0,1,0,0,0,4,0,1,961,0,5,966,0
161,147,179,27,200,1,0,1,0,0,0,0,1,3,1,0,560,0,6,566,0
162,134,141,16,272,0,0,0,0,0,0,0,1,5,0,0,569,0,3,572,1
163,186,181,17,268,0,0,0,1,0,1,0,0,3,1,2,660,0,2,662,0
164,198,123,27,307,0,0,2,0,0,1,0,0,6,0,0,664,0,1,665,0
165,181,118,20,217,1,0,5,0,1,0,0,0,5,0,2,550,0,1,551,0
166,104,136,8,215,0,1,2,0,0,0,0,0,0,0,0,466,0,1,467,0
167,159,160,16,222,2,0,0,0,0,1,0,0,0,1,1,562,0,7,569,0
168,213,177,19,282,0,0,0,0,0,0,0,0,1,0,2,694,0,2,696,0
169,105,216,11,233,0,1,0,1,0,0,1,0,1,0,0,569,0,2,571,0
170,159,112,11,277,0,0,1,0,0,1,0,0,0,0,0,561,0,0,561,0
