Polling Station No,ALAGAAPURAM. R. MOHANRAJ,GUNASEKARAN .R,SURESH KUMAR.R,ARUL RAMADAS,KARTHE.M,PRABU .K,RAJ KUMAR .G,LAKSHMANAN.S,AMIRTHALINGAM.N,ARUL .S,ARUL. T,ARUL.D,ARUL.P,KARTHICK.M,KARTHICK.R,KUMAR.A.P,CHANDRASEKARAN.G,SELVAM.R,DHANAPAL,THIYAGARAJAN.M,BHARATH.S,BHARANITHARAN.D.K,PANNEERSELVAM.P,ER.PRABAKARAN.S,PERUMAL. A,MANOHAR.C,MOHAN RAJ. R,RADHAKRISHNAN. R,VIJAYAKUMAR. S,VELMANIKANDAN. S,SRISABARINATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
86,69,1,11,24,150,3,1,408,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,676,0,3,679,0
87,105,1,16,36,132,0,3,341,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,1,1,643,0,3,646,0
88,105,1,19,54,216,1,3,490,2,0,1,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,899,0,2,901,0
89,116,0,20,38,200,0,2,350,1,0,0,2,0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,736,0,5,741,0
90,162,1,14,50,117,0,4,382,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,2,0,1,1,1,1,2,1,748,0,4,752,0
91,148,1,23,30,162,0,1,320,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,693,0,9,702,0
92,144,1,24,46,140,4,1,384,0,0,1,0,0,0,0,0,2,1,0,1,3,1,0,3,0,1,0,2,0,1,0,760,0,7,767,0
93,190,1,28,37,106,2,0,417,2,0,1,1,1,2,2,2,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,798,0,6,804,0
94,141,1,30,30,138,0,3,491,1,1,0,0,0,2,0,0,0,2,1,1,1,0,0,5,1,0,0,1,1,0,4,855,0,7,862,0
95,237,1,20,29,97,1,0,366,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,760,0,5,765,0
96,ge 1 135,2,13,28,53,2,8,573,0,1,1,0,1,1,0,0,0,1,0,2,2,0,1,4,1,3,1,2,0,5,2,842,0,4,846,0
97,149,0,23,37,102,0,3,371,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,691,0,2,693,0
98,81,0,19,23,144,2,0,440,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,718,0,4,722,0
99,239,3,36,22,135,1,0,389,2,1,0,1,1,0,0,2,1,0,0,0,0,0,1,2,0,3,0,1,0,0,0,840,0,4,844,0
100,131,1,6,2,14,1,0,169,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,2,330,0
101,176,3,14,13,35,0,3,343,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,0,0,1,0,0,1,596,0,3,599,0
102,118,0,20,36,132,0,1,492,2,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,810,0,4,814,0
103,95,3,18,21,131,1,0,370,1,0,0,1,0,3,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,4,655,0,3,658,0
104,173,2,15,41,150,1,3,470,1,1,0,0,1,2,0,1,1,0,0,1,3,2,0,5,1,1,0,1,1,4,0,881,0,4,885,0
105,172,2,24,25,141,0,0,482,1,0,0,0,0,0,0,1,0,1,1,2,5,0,0,2,1,1,0,0,0,2,1,864,0,4,868,0
106,157,0,17,18,110,0,3,371,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1,2,1,0,3,1,691,0,5,696,0
107,180,1,16,14,85,1,2,302,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,610,0,3,613,0
108,209,2,22,14,95,2,1,342,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,695,0,2,697,0
109,174,0,17,16,99,0,0,232,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,543,0,6,549,0
110,128,1,18,20,133,1,3,276,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,1,585,0
111,184,2,18,18,125,0,0,383,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,738,0,0,738,0
112,102,1,37,25,150,2,0,378,0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,703,0,4,707,0
113,130,1,27,18,192,1,0,421,1,0,1,0,1,0,1,1,1,1,0,0,3,0,0,2,0,0,0,0,1,0,2,805,0,5,810,0
114,147,1,27,76,141,3,2,364,1,0,0,0,0,0,0,0,2,1,1,4,4,3,1,1,0,3,0,5,1,2,4,794,0,6,800,0
115,115,0,17,60,95,0,1,426,0,0,0,0,0,1,1,0,1,0,1,0,4,0,1,2,2,1,0,0,1,2,2,733,0,5,738,0
116,116,3,29,47,113,0,1,349,1,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,668,0,2,670,0
117,108,0,22,47,97,0,1,288,2,0,0,1,1,0,0,1,3,0,0,2,0,1,0,2,0,1,0,0,1,1,1,580,0,2,582,0
118,135,1,23,53,176,1,3,405,0,0,1,0,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,1,0,3,811,0,6,817,0
119,193,2,27,14,67,1,1,284,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,593,0,5,598,0
120,154,1,22,5,64,1,4,429,1,0,0,1,3,0,0,1,1,1,0,0,1,0,0,2,1,1,0,1,0,1,3,698,0,2,700,0
121,166,3,26,7,79,3,1,559,1,0,0,1,0,1,0,3,1,1,1,1,0,0,1,1,0,0,0,0,0,2,2,860,0,3,863,0
122,117,0,25,6,47,1,0,465,0,1,0,0,1,0,0,1,2,1,0,3,0,1,0,3,3,2,0,2,0,0,2,683,0,2,685,0
123,295,1,13,18,22,0,2,265,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,624,0,9,633,0
124,190,1,27,9,90,0,0,252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,0,1,572,0
125,135,0,24,74,163,1,1,476,1,0,1,0,0,3,1,3,0,0,0,1,1,1,1,2,1,0,0,0,0,2,0,892,0,6,898,0
126,144,2,32,39,174,2,1,283,0,0,0,0,1,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,3,689,0,6,695,0
127,79,0,15,99,127,3,2,411,1,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,745,0,2,747,0
128,118,1,22,70,142,0,5,418,0,0,0,1,0,3,0,2,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,789,0,3,792,0
129,117,2,21,30,90,1,0,252,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,521,0,2,523,0
130,82,1,16,53,143,0,1,471,1,0,0,0,2,0,0,1,0,1,1,1,0,2,0,3,2,1,1,0,0,0,0,783,0,3,786,0
131,108,3,19,40,162,1,0,278,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,3,0,0,1,0,0,0,1,621,0,5,626,0
132,111,3,26,30,230,1,1,369,0,1,0,0,1,2,0,1,3,0,1,1,3,1,0,0,1,1,1,0,0,1,0,789,0,3,792,0
133,163,1,24,43,189,1,0,346,2,0,0,0,2,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,780,0,5,785,0
134,161,1,25,47,132,0,2,297,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,2,0,676,0,2,678,0
135,102,0,22,69,150,1,3,346,0,0,0,0,1,0,0,0,1,0,0,2,3,1,0,4,1,2,2,0,0,1,4,715,0,3,718,0
136,125,1,23,34,140,0,1,214,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,544,0,3,547,0
137,80,0,27,26,139,0,0,202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,476,0,5,481,0
138,140,0,23,14,119,0,0,250,2,0,0,0,1,1,1,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,557,0,3,560,0
139,89,2,16,19,165,1,0,309,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,609,0,1,610,0
140,173,1,23,23,137,2,0,272,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,639,0,7,646,0
141,129,0,20,37,177,0,3,476,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,2,1,854,0,1,855,0
142,124,0,23,23,171,6,0,252,0,0,1,0,2,0,1,0,2,1,0,0,1,0,0,2,0,0,0,1,1,0,1,612,0,9,621,0
143,110,3,21,77,206,3,4,549,0,1,0,0,2,0,1,0,2,0,1,0,1,1,0,2,1,0,1,1,0,3,5,995,0,7,1002,0
144,118,2,14,48,174,0,3,374,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,741,0,4,745,0
145,151,2,18,26,126,2,2,313,2,0,0,1,0,0,0,2,1,0,0,1,2,0,0,2,0,2,0,0,0,1,1,655,0,2,657,0
146,96,1,29,42,185,1,3,374,1,1,0,0,3,0,0,6,1,0,0,0,2,1,1,3,0,0,1,0,0,3,1,755,0,8,763,0
147,126,3,19,31,198,2,5,529,3,0,0,0,0,0,0,4,0,1,0,1,0,0,2,4,1,2,0,0,0,1,1,933,0,3,936,0
148,139,2,18,35,150,3,6,382,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,742,0,2,744,0
149,175,0,43,44,141,0,1,343,0,0,0,0,1,1,0,0,3,0,0,1,2,0,0,2,1,0,0,0,3,0,1,762,0,11,773,0
150,91,1,25,30,166,2,2,362,2,1,2,1,3,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,698,0,8,706,0
151,172,0,29,21,183,1,0,349,0,0,0,1,1,0,1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,3,1,769,0,14,783,0
152,107,3,31,33,166,1,3,403,3,0,0,2,5,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,3,0,768,0,8,776,0
153,155,0,22,25,149,2,1,298,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,2,662,0,9,671,0
154,135,2,28,25,155,1,4,303,0,0,1,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,661,0,7,668,0
155,169,3,19,6,49,2,0,398,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,651,0,2,653,0
156,171,2,10,11,37,0,2,267,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,505,0,1,506,0
157,220,2,23,7,59,0,2,553,1,0,1,2,1,0,0,3,1,1,0,1,1,0,2,1,3,0,0,2,0,2,1,889,0,2,891,0
158,122,1,22,8,44,0,2,398,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,604,0,0,604,0
159,94,0,11,27,202,1,3,380,2,1,3,1,4,1,0,1,1,0,1,2,1,1,1,2,0,0,0,1,0,0,0,741,0,1,742,0
160,125,0,34,70,120,5,1,390,4,0,0,0,4,2,0,1,1,1,1,0,1,0,1,2,1,1,0,1,1,3,2,772,0,6,778,0
161,95,0,27,21,152,1,1,501,0,0,1,4,0,2,1,1,0,0,0,3,1,1,1,0,1,1,0,1,1,1,1,819,0,5,824,0
162,104,0,18,9,61,2,0,263,2,0,0,1,1,1,0,1,3,0,0,0,1,0,0,1,1,1,0,0,1,0,1,472,0,1,473,0
163,142,0,19,86,262,2,6,564,2,1,1,1,6,2,0,1,3,1,0,0,5,1,1,5,1,2,0,1,1,1,3,1120,0,4,1124,0
