Polling Station No,Polling,A LAMMAGALA,K RAMUKAVLES,R NAHTANAWSIV MAHTAN,S XELA,N L HSEMAR,P NARAKESAJAR,S RAMUKAYAJIV,R LAPOG,NIASU MAHTAS M,C RADNUS,K INABADNAHD,C NAVLESLIMAT,V NADNAKINAM,S MAIKCORA AIRAM,K NAGURUM,C NASEGURUM,S NANAHTRANAJ AMAR,K LEVIDAV,S RAMUKAYAJIV,G NASETAKNEV,P HSETAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
211,211,28,324,361,4,199,1,0,1,0,0,2,1,2,0,0,1,0,0,2,1,0,927,0,2,929,0
212,212,28,141,270,5,174,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,624,0,0,624,0
213,213,27,145,317,3,155,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,1,651,0
214,214,55,193,301,2,178,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,734,0,1,735,0
215,215,18,279,425,4,126,2,1,2,0,0,1,0,2,0,1,3,2,8,5,3,1,883,0,0,883,0
216,216,14,127,254,2,136,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,537,0,0,537,0
217,217,39,112,341,3,174,0,1,2,0,0,1,0,1,1,1,1,0,3,2,1,1,684,0,2,686,0
218,218,22,187,391,1,166,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,773,0,0,773,0
219,219,5,138,218,5,123,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,3,498,0,1,499,0
220,220,30,220,299,4,167,2,0,3,1,1,1,0,0,1,1,2,2,3,0,1,0,738,0,1,739,0
221,221,24,312,311,5,162,0,0,1,0,0,0,0,0,1,2,0,1,6,1,0,1,827,0,0,827,0
222,222,32,254,268,6,309,0,0,2,0,0,1,1,0,1,2,3,0,5,2,0,1,887,0,4,891,0
223,223,12,237,112,5,164,1,0,3,3,0,2,0,0,0,1,2,0,3,3,0,2,550,0,3,553,0
224,224,18,204,93,1,186,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,507,0,1,508,0
225,225,15,268,311,1,191,0,1,0,1,0,0,0,1,2,2,0,0,3,1,0,0,797,0,0,797,0
226,226,15,149,328,2,133,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,634,0,1,635,0
