Polling Station No,Candidate_1,NARAKANURAK.S,NARDNAHC .A .RUNAYIRUS,NARAAMNAN.AVLES,INAMARBUSALAB.G,NAGURUM.P,RAMUKNURA.M,RAMUKNURA.R,NAHKNARMI.S,MAGNILAHTAK.O,IRIHTAYAG.M,NEEDIHOMHAJAK.B,P.RAKESARDNAHC,RAMUK HSOHTNAS.J,RAMUKHTAPMAS.B,NANAVARAS.D,YMASANNIHC.V,RAMUKLIHTNES.S,RAMUKAVLES.P,JARAVLES.T,NEEDRAWNAKIEHS.K,NAVLESLIMAT.M,PAHDARP.J,NANAGAVLIYAM.M,NAVAHDAM.J,MAHTNANAGURUM.T,NANHSIRKAMAR.N,NALEVIDAV.M,IALAMAREEV.K,MIKKAH.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
127,127,151,129,27,103,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,417,0,2,419,0
128,128,181,133,26,239,3,0,0,0,1,0,0,2,4,1,2,2,2,1,0,2,0,1,0,0,1,1,1,2,2,607,0,2,609,0
129,129,296,245,50,231,0,1,0,1,0,0,1,0,2,0,4,4,3,0,0,1,0,0,0,0,0,0,0,2,2,843,0,5,848,0
130,130,313,260,46,378,4,0,1,0,1,3,0,2,1,1,2,3,5,3,5,6,3,1,0,2,1,0,0,1,1,1043,0,7,1050,0
131,131,125,182,15,236,3,0,0,2,0,1,0,0,0,1,3,4,0,1,0,1,1,0,0,0,1,0,2,0,0,578,0,1,579,0
132,132,180,223,24,263,1,0,0,0,0,1,0,2,0,1,3,5,1,1,0,1,0,0,0,0,1,0,0,1,0,708,0,2,710,0
133,133,183,269,29,283,2,0,0,0,0,0,0,0,2,1,4,7,1,1,1,0,0,0,0,0,0,0,1,0,3,787,0,3,790,0
134,134,216,359,25,284,1,1,1,0,1,0,0,0,2,0,1,2,4,6,0,2,0,0,0,0,0,0,0,0,1,906,0,4,910,0
135,135,202,214,29,276,0,2,1,1,2,0,0,3,1,2,5,5,6,4,5,3,0,0,0,1,1,2,2,0,2,769,0,8,777,0
136,136,190,247,34,252,1,1,1,1,0,2,0,1,3,3,3,6,5,5,4,1,0,0,0,0,2,1,2,2,3,770,0,1,771,0
137,137,167,170,28,187,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,555,0,0,555,0
138,138,183,153,18,115,0,1,0,0,0,0,0,2,1,0,0,5,1,2,0,1,0,0,0,0,0,1,1,2,1,487,0,3,490,0
139,139,250,177,18,298,4,4,1,3,2,0,1,0,3,0,1,5,2,2,3,3,0,1,0,0,1,1,0,0,1,781,0,4,785,0
140,140,147,127,71,142,0,1,0,0,1,0,0,0,0,1,2,2,0,1,0,3,1,0,0,0,0,0,1,3,3,506,0,0,506,0
141,141,143,236,19,242,1,0,0,0,2,0,0,0,0,2,3,4,3,2,0,1,2,0,0,0,0,0,1,0,0,661,0,2,663,0
142,142,249,227,16,248,2,1,1,1,0,1,1,1,2,3,2,1,1,2,2,1,0,2,1,0,0,1,0,0,1,767,0,2,769,0
143,143,268,227,20,197,1,3,0,0,0,0,3,1,0,2,3,2,6,4,1,3,0,0,0,1,0,0,0,1,3,746,0,5,751,0
144,144,258,236,25,312,2,0,0,0,0,0,0,0,4,1,0,1,0,2,0,1,0,0,0,1,0,0,1,0,1,845,0,1,846,0
145,145,233,223,24,200,0,0,0,0,0,0,0,0,0,0,0,4,6,7,1,3,0,0,0,0,0,0,0,0,2,703,0,4,707,0
146,146,211,187,21,186,1,0,2,0,0,0,1,1,1,1,0,2,3,2,0,1,0,1,0,0,0,0,0,0,2,623,0,2,625,0
147,147,189,228,38,208,1,0,0,0,0,1,0,1,1,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,676,0,1,677,0
148,148,189,187,51,128,0,0,1,0,2,1,0,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,566,0,1,567,0
149,149,152,92,8,86,1,0,0,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,2,0,1,350,0,0,350,0
150,150,231,246,42,364,4,3,0,3,0,1,0,0,3,4,3,3,5,4,4,3,1,0,1,0,1,0,1,0,1,928,0,2,930,0
151,151,164,185,25,306,5,0,0,1,2,1,0,2,0,0,0,1,0,2,2,1,1,0,0,0,1,0,1,0,1,701,0,0,701,0
152,152,252,208,32,259,1,1,1,4,0,1,3,0,1,0,2,6,3,2,1,0,0,1,1,0,1,0,1,1,2,784,0,1,785,0
153,153,195,254,48,303,3,1,0,0,0,0,1,5,1,0,3,4,2,0,0,0,1,0,0,0,1,0,1,1,2,826,0,3,829,0
154,154,145,200,26,295,1,1,0,0,1,1,0,1,1,1,2,1,0,0,0,1,1,1,0,0,0,0,1,0,1,681,0,3,684,0
