Polling Station No,AFSHIA NASRIN. S,WAZEER AHMED. J,VILWANATHAN. A.C.,VENKATESAN. R,ASADULLAH. B,IMTHIYAZ PANDARATTUDU ABDU,KAREEM BASHA. A,GOVINDHAN. A,SASI REKA. Y,HAROON RASHEED BADU,KUMARAVEL. P,FIRDOSE AHMED. M,MUSHTAQ AHMED KUTLAPPAI,VISWANATHAN. J,VENKATESAN. M,SRINATH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
166,15,2,312,60,5,299,3,0,1,1,0,2,1,1,0,0,702,0,3,705,0
167,4,2,425,9,1,119,1,0,0,0,0,2,0,2,0,0,565,0,0,565,0
168,5,0,339,59,3,193,0,0,0,1,0,0,1,5,1,0,607,0,1,608,0
169,7,1,503,5,0,106,0,0,0,1,0,1,0,5,0,0,629,0,0,629,0
170,9,0,486,21,2,192,2,0,3,0,0,3,2,4,1,1,726,0,2,728,0
171,6,1,492,23,1,181,0,0,0,0,0,0,0,3,0,1,708,0,0,708,0
172,2,2,450,7,1,87,0,0,0,0,0,6,0,0,0,1,556,0,0,556,0
173,4,2,536,7,2,93,1,0,0,0,0,2,0,1,0,0,648,0,0,648,0
174,5,0,427,10,4,138,0,0,0,0,0,5,0,3,0,0,592,0,0,592,0
175,16,2,221,131,1,300,0,0,3,3,1,2,0,1,2,2,685,0,0,685,0
176,14,1,348,47,0,189,0,0,1,1,0,0,0,6,0,1,608,0,1,609,0
177,11,0,289,91,2,197,1,1,0,0,0,0,0,0,0,0,592,0,1,593,0
178,16,1,153,53,2,240,1,0,2,0,0,2,1,2,0,1,474,0,1,475,0
179,28,2,166,51,1,188,0,0,0,0,0,0,0,0,1,1,438,0,1,439,0
180,2,1,752,9,0,58,0,0,0,0,0,0,0,1,0,0,823,0,2,825,0
181,4,1,631,11,2,62,0,0,0,0,0,0,1,1,0,0,713,0,0,713,0
182,2,1,640,8,0,38,0,0,0,2,0,0,1,3,0,0,695,0,0,695,0
183,6,0,699,24,1,65,1,0,0,0,0,0,1,2,0,0,799,0,0,799,0
184,5,0,750,5,0,122,0,0,0,0,0,0,2,3,0,0,887,0,2,889,0
185,2,1,467,8,0,51,0,0,0,0,0,0,0,3,1,0,533,0,2,535,0
186,1,0,440,5,2,60,0,0,0,0,0,0,0,0,0,0,508,0,0,508,0
187,0,0,459,11,0,52,0,0,1,0,0,0,0,2,0,0,525,0,0,525,0
188,e 44,2,359,10,1,24,0,0,1,0,0,0,1,4,0,0,406,0,1,407,0
189,0,2,487,4,1,38,1,0,0,0,0,0,1,1,0,0,535,0,0,535,0
190,0,1,413,10,0,64,0,0,0,0,0,0,0,0,0,0,488,0,0,488,0
191,8,2,344,5,2,140,2,0,0,0,1,0,0,3,0,0,507,0,1,508,0
192,22,0,420,29,0,231,0,1,0,1,1,0,1,1,0,3,710,0,0,710,0
193,3,1,377,11,2,155,0,0,0,1,0,0,1,8,0,0,559,0,2,561,0
194,5,2,656,7,7,128,1,0,0,1,1,1,1,5,0,0,815,0,1,816,0
195,2,1,642,4,1,126,0,0,1,0,1,0,0,2,0,0,780,0,1,781,0
196,4,2,544,10,2,78,0,0,0,1,0,0,0,3,0,0,644,0,1,645,0
197,1,0,645,11,0,90,0,0,0,0,0,0,0,5,0,0,752,0,1,753,0
198,16,3,465,40,0,217,1,0,0,0,0,0,1,0,0,0,743,0,1,744,0
199,9,2,309,77,1,210,0,0,0,0,0,0,0,0,0,0,608,0,3,611,0
200,25,2,240,155,1,335,1,1,0,0,0,0,0,3,1,0,764,0,0,764,0
201,4,2,511,12,0,72,0,0,0,0,1,0,0,1,0,0,603,0,1,604,0
202,1,4,573,6,0,77,0,0,1,0,1,0,1,1,0,0,665,0,0,665,0
203,3,0,411,9,0,71,1,0,0,0,1,0,1,0,0,0,497,0,0,497,0
204,1,1,270,12,0,30,0,0,0,0,0,0,0,0,0,0,314,0,0,314,0
205,3,0,505,9,0,69,0,0,0,0,0,0,0,0,0,1,587,0,0,587,0
206,4,0,448,11,1,59,0,0,0,0,0,0,0,2,0,0,525,0,0,525,0
207,3,0,349,8,0,25,0,0,0,0,0,0,0,2,0,0,387,0,0,387,0
208,10,4,318,60,3,226,0,0,0,0,0,0,4,2,0,2,629,0,1,630,0
209,3,7,244,107,1,229,1,0,0,0,0,0,1,1,0,1,595,0,2,597,0
210,9,11,155,135,2,201,0,0,0,2,0,0,0,1,0,1,517,0,0,517,0
211,7,3,178,108,0,198,0,0,0,0,0,0,3,0,1,0,498,0,1,499,0
212,6,1,507,27,0,86,0,0,0,0,0,1,1,2,0,0,631,0,1,632,0
213,11,0,424,86,0,159,0,0,0,0,1,0,1,1,0,0,683,0,1,684,0
214,3,2,296,95,2,140,0,0,1,1,0,0,0,2,0,0,542,0,2,544,0
215,6,0,281,116,2,150,0,1,0,1,0,0,0,2,0,0,559,0,3,562,0
216,13,1,396,117,2,79,0,0,1,2,0,0,0,2,0,1,614,0,2,616,0
217,5,3,145,212,1,176,3,0,0,1,0,0,0,1,0,0,547,0,5,552,0
218,8,1,105,209,0,206,1,0,2,0,2,0,0,0,0,0,534,0,3,537,0
219,26,0,129,155,4,344,2,0,1,0,0,1,0,1,1,0,664,0,1,665,0
220,9,0,116,189,1,195,0,0,1,0,0,1,0,2,0,0,514,0,2,516,0
221,21,2,187,224,0,199,0,0,0,0,0,0,0,2,0,1,636,0,2,638,0
222,10,0,147,217,2,185,0,0,1,0,0,1,0,2,0,0,565,0,6,571,0
223,13,3,142,328,1,220,0,0,0,0,1,1,0,0,1,1,711,0,8,719,0
224,9,2,166,285,1,270,1,0,1,1,0,1,0,1,0,2,740,0,1,741,0
225,26,1,95,146,1,238,0,0,1,0,1,0,0,0,1,0,510,0,1,511,0
226,21,1,135,246,0,295,0,0,1,0,1,0,0,1,0,0,701,0,1,702,0
227,20,1,266,129,1,326,0,0,2,0,1,1,1,0,0,1,749,0,0,749,0
228,52,2,177,285,2,291,0,1,1,1,1,0,0,3,3,1,820,0,3,823,0
229,27,1,174,299,1,235,0,0,0,1,2,0,1,2,1,1,745,0,6,751,0
230,10,1,199,88,2,203,0,0,1,0,0,0,0,4,0,2,510,0,2,512,0
231,23,0,142,215,0,305,1,0,2,0,1,0,1,0,0,4,694,0,3,697,0
232,21,0,117,270,1,204,0,0,0,0,0,0,0,1,1,0,615,0,4,619,0
233,12,1,73,131,1,113,1,0,0,0,1,1,0,1,1,1,337,0,0,337,0
234,26,3,205,190,0,259,0,1,1,0,1,0,1,2,0,1,690,0,4,694,0
235,e 533,0,180,117,3,286,1,0,0,1,0,0,0,1,1,1,624,0,3,627,0
236,50,1,213,288,2,279,0,1,1,0,2,2,0,4,0,1,844,0,1,845,0
237,4,0,215,146,0,270,1,1,0,0,1,0,0,1,0,0,639,0,1,640,0
238,12,0,163,184,1,256,1,0,2,0,1,0,0,1,0,1,622,0,2,624,0
239,10,2,119,21,7,411,1,0,3,0,2,0,0,1,0,3,580,0,2,582,0
240,13,3,92,107,0,268,0,1,0,0,1,0,1,0,1,1,488,0,0,488,0
241,19,1,221,153,2,222,0,0,0,0,0,0,0,2,0,0,620,0,0,620,0
242,8,0,233,156,1,310,0,0,1,0,2,0,1,0,0,1,713,0,0,713,0
243,13,2,125,165,2,263,0,0,2,1,0,0,0,0,0,1,574,0,1,575,0
244,10,0,160,174,1,271,0,0,1,0,1,0,0,2,2,1,623,0,0,623,0
245,8,1,120,126,2,262,1,0,0,1,1,0,0,0,0,0,522,0,3,525,0
246,15,0,103,164,1,228,0,0,0,2,1,0,0,2,0,0,516,0,2,518,0
247,27,2,157,250,1,281,1,1,2,0,1,0,0,1,2,2,728,0,5,733,0
248,18,0,181,134,0,253,2,0,0,1,0,0,0,1,1,0,591,0,1,592,0
249,10,0,288,340,3,352,0,0,1,1,0,0,0,3,1,0,999,0,0,999,0
250,8,0,119,177,2,187,0,0,0,0,0,0,1,0,1,1,496,0,0,496,0
251,11,0,133,202,1,185,0,0,0,0,1,0,0,2,0,0,535,0,2,537,0
252,10,4,157,242,1,352,1,1,0,1,0,1,0,0,1,2,773,0,1,774,0
253,26,1,143,114,1,319,1,0,0,0,0,0,0,0,0,0,605,0,1,606,0
254,9,0,109,122,1,279,2,0,1,0,1,0,0,0,1,0,525,0,0,525,0
255,19,0,170,232,1,315,2,0,0,0,1,1,0,3,1,1,746,0,2,748,0
256,14,2,214,179,4,339,1,2,0,0,0,1,0,2,0,1,759,0,1,760,0
257,12,1,150,353,2,244,1,0,1,0,1,1,0,4,2,0,772,0,1,773,0
258,14,1,171,492,3,315,0,1,3,0,1,1,0,1,0,1,1004,0,2,1006,0
259,13,1,173,125,0,226,0,0,1,0,0,0,0,0,0,1,540,0,2,542,0
260,18,3,139,156,1,142,2,0,0,0,1,1,0,3,0,1,467,0,4,471,0
261,18,2,273,192,2,386,2,1,1,1,3,0,0,2,1,1,885,0,2,887,0
262,12,2,173,230,2,262,0,1,0,2,0,0,1,1,0,1,687,0,3,690,0
263,22,2,254,239,3,315,1,1,0,0,1,0,1,1,1,0,841,0,0,841,0
264,11,3,231,222,3,287,1,1,1,0,0,1,1,0,1,0,763,0,3,766,0
265,6,0,176,165,0,142,1,0,0,0,0,0,0,2,0,2,494,0,2,496,0
266,8,0,139,166,2,275,3,0,0,0,2,0,0,1,0,0,596,0,0,596,0
267,17,1,167,146,3,350,2,0,2,0,0,1,1,0,2,1,693,0,1,694,0
268,16,2,161,357,3,172,0,0,0,0,1,1,1,1,3,1,719,0,3,722,0
269,11,2,191,178,3,133,0,0,1,0,1,1,0,4,0,0,525,0,0,525,0
270,11,1,138,226,1,238,0,0,0,0,0,0,0,0,1,0,616,0,2,618,0
271,15,1,146,159,2,283,2,0,2,1,2,0,0,2,0,1,616,0,0,616,0
272,19,1,149,135,0,300,0,1,2,0,1,0,2,2,2,3,617,0,4,621,0
273,9,4,157,174,0,233,0,0,0,0,2,0,0,1,0,2,582,0,2,584,0
274,22,1,215,249,1,266,0,1,0,1,0,0,1,3,1,4,765,0,4,769,0
275,20,1,198,296,2,235,0,1,2,0,1,0,1,3,0,2,762,0,3,765,0
276,27,1,216,271,4,324,1,0,2,0,0,0,1,1,2,0,850,0,2,852,0
277,9,0,316,84,1,221,1,0,1,0,1,0,0,5,0,3,642,0,1,643,0
278,13,2,239,129,0,266,0,0,1,0,3,0,1,1,0,1,656,0,1,657,0
279,18,1,156,269,2,185,1,0,1,0,1,0,1,1,2,0,638,0,2,640,0
280,9,1,183,129,0,259,0,1,2,0,0,0,2,2,1,2,591,0,0,591,0
281,18,1,217,302,4,297,4,1,1,0,0,1,1,4,0,2,853,0,1,854,0
282,e 618,1,138,217,2,229,0,0,0,0,0,1,2,1,2,1,612,0,1,613,0
283,17,3,168,209,3,260,2,0,2,2,1,0,1,3,2,3,676,0,2,678,0
284,7,2,115,157,0,100,0,0,1,0,0,0,0,1,0,0,383,0,0,383,0
