Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
196,416,38,168,443,4,0,0,9,2,0,0,0,4,0,1,1085,0,19,1104,0
197,334,28,231,361,0,0,0,5,0,0,1,0,4,1,0,965,0,10,975,0
198,66,14,321,215,2,3,0,2,0,0,0,0,1,1,0,625,0,6,631,0
199,120,27,445,318,1,0,0,1,0,1,0,1,3,0,2,919,0,2,921,0
200,66,18,292,255,2,4,0,3,0,0,0,0,6,1,0,647,0,4,651,0
201,76,10,270,170,0,3,1,2,0,1,0,1,1,0,1,536,0,2,538,0
202,65,22,356,197,1,2,0,7,0,0,0,0,0,0,0,650,0,1,651,0
203,120,27,281,417,2,3,1,9,0,0,1,0,0,0,0,861,0,3,864,0
204,106,18,255,357,1,1,0,8,0,0,0,2,1,1,0,750,0,5,755,0
205,70,20,333,296,1,0,0,4,0,0,0,0,0,0,3,727,0,2,729,0
206,66,13,300,246,2,0,2,4,0,0,0,0,1,1,0,635,0,2,637,0
207,91,17,428,313,2,1,0,2,0,0,0,1,1,3,0,859,0,1,860,0
208,94,20,267,177,1,1,0,0,0,1,1,0,1,0,0,563,0,1,564,0
209,197,38,318,252,2,3,0,1,1,0,1,0,1,1,4,819,0,11,830,0
210,99,16,321,316,1,1,0,2,0,0,0,0,2,0,1,759,0,3,762,0
211,185,39,316,419,6,1,0,5,2,1,0,0,1,0,1,976,0,6,982,0
212,364,60,135,502,3,1,1,6,1,0,0,0,0,0,1,1074,0,3,1077,0
213,171,31,455,355,2,0,0,0,0,0,0,1,0,0,1,1016,0,7,1023,0
214,88,21,240,175,2,1,1,3,0,0,0,0,0,0,0,531,0,4,535,0
215,136,22,201,260,1,0,2,2,0,1,0,0,0,0,0,625,0,7,632,0
216,98,16,398,156,1,0,1,0,0,0,0,0,0,0,0,670,0,5,675,0
217,155,18,407,266,1,1,1,3,0,0,1,0,1,1,0,855,0,4,859,0
218,115,20,379,217,0,2,1,9,2,0,1,1,0,3,2,752,0,1,753,0
219,177,31,381,292,1,0,0,5,1,2,1,0,1,1,2,895,0,3,898,0
220,159,24,300,161,1,0,0,3,0,0,0,1,1,0,2,652,0,2,654,0
221,138,43,422,237,1,1,0,5,0,0,0,1,1,1,5,855,0,5,860,0
222,82,38,225,219,0,0,0,4,0,0,0,0,0,0,0,568,0,3,571,0
223,199,46,300,348,3,1,1,7,1,1,0,0,3,0,2,912,0,5,917,0
224,133,21,223,219,0,1,0,3,0,0,1,0,1,2,1,605,0,0,605,0
225,69,22,134,205,0,0,0,0,0,0,0,0,0,0,0,430,0,2,432,0
226,123,21,485,342,1,0,2,5,0,0,0,2,2,0,0,983,0,2,985,0
227,100,22,304,193,0,2,0,3,0,0,0,0,2,2,0,628,0,2,630,0
228,121,19,343,186,0,0,0,0,0,0,0,0,0,1,0,670,0,4,674,0
229,129,15,265,188,1,2,0,2,0,0,0,1,0,0,0,603,0,3,606,0
230,70,5,320,145,0,0,2,0,0,0,0,0,0,0,0,542,0,3,545,0
231,101,14,408,121,1,0,1,1,0,0,0,0,0,2,1,650,0,3,653,0
232,177,23,471,298,1,0,1,3,1,1,1,2,0,0,1,980,0,8,988,0
233,107,18,350,86,1,2,1,0,0,0,0,0,0,0,0,565,0,2,567,0
234,113,20,375,152,0,0,0,4,0,0,0,0,0,0,0,664,0,1,665,0
