Polling Station No,Candidate_1,LALLAVIRAP .T,ABEEHTARP,NAHDAM .N,NITRAM ESORAMEEL,YRAM ETALUCAMMI .K,NAYIHZEHCNALE .P,SSODUSEY .E,NANHSIRK AP UK,NANAVARAS .P,NIHPESOJ,UHTUMIRAVAS NALAMA .A,NANHSIRK .M,RAMUKLIHTNES .K,NASARALIMAT .R,JARAMRAHD .K,R. YHTROOMANAHD,RAMUKHSENID .R,UBMALISNOP .R,NAHKILA ROOSNAM,YMASUHTUM .V,QIDDIS RAKKABUBA DEMAHOM,RAMUKHSEMAR .M,NIASSUH REEKAJ HANNIJ,SSODNOMALAS NAGEJ .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
99,99,119,0,14,171,0,0,0,157,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,466,0,1,467,0
100,100,210,1,17,206,3,2,0,209,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,655,0,0,655,0
101,101,174,0,22,267,1,0,0,173,0,0,0,0,2,0,1,2,0,1,1,1,0,0,0,1,646,0,1,647,0
102,102,114,2,14,224,2,1,1,208,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,1,574,0,1,575,0
103,103,159,0,28,222,1,1,1,181,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,600,0,0,600,0
104,104,121,0,2,185,0,0,4,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,412,0,1,413,0
105,105,131,1,24,157,0,0,0,124,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,439,0,1,440,0
106,106,260,3,35,269,2,0,2,252,1,3,0,1,2,0,0,0,0,3,0,0,0,0,0,2,835,0,1,836,0
107,107,206,2,25,379,4,1,1,206,0,0,0,1,3,1,0,3,3,2,3,0,1,1,1,0,843,0,3,846,0
108,108,242,2,28,402,2,0,0,294,2,0,0,0,0,1,2,1,0,2,1,0,0,1,0,0,980,0,0,980,0
109,109,235,1,30,211,1,0,0,226,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,710,0,4,714,0
110,110,310,0,33,267,0,3,0,325,1,6,0,0,0,0,1,1,1,1,0,1,1,0,0,0,951,0,1,952,0
111,111,239,0,27,163,0,2,1,243,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,682,0,0,682,0
112,112,136,0,12,190,1,7,0,191,2,0,0,0,0,0,0,1,3,1,0,2,0,1,0,1,548,0,1,549,0
113,113,140,0,35,160,1,0,0,277,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,617,0,1,618,0
114,114,118,1,16,100,1,0,1,187,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,428,0,0,428,0
115,115,211,2,42,158,0,1,0,450,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,869,0,3,872,0
116,116,140,1,26,115,1,2,0,179,1,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,471,0,1,472,0
117,117,101,0,22,145,1,0,0,193,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,468,0,1,469,0
118,118,211,1,51,240,1,16,1,407,0,0,0,3,2,0,2,0,2,2,0,0,0,0,0,1,940,0,2,942,0
119,119,238,2,25,156,0,0,2,317,0,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,747,0,3,750,0
120,120,93,1,15,59,1,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,1,315,0
121,121,275,0,30,117,1,0,1,297,2,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,729,0,1,730,0
122,122,136,0,14,49,1,0,0,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,315,0,5,320,0
123,123,236,5,41,218,2,0,1,273,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,781,0,4,785,0
124,124,150,0,26,262,0,0,1,262,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,706,0,0,706,0
125,125,277,2,33,211,3,1,0,314,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,846,0,1,847,0
126,126,259,2,45,164,0,2,2,280,1,1,0,0,0,0,0,3,3,0,1,1,0,0,0,0,764,0,3,767,0
127,127,352,1,43,143,0,0,0,374,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,917,0,6,923,0
128,128,344,3,27,151,2,2,1,285,0,2,0,0,0,0,0,2,2,0,0,0,1,0,0,0,822,0,1,823,0
129,129,270,1,37,206,0,0,1,316,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,838,0,2,840,0
130,130,190,1,34,215,0,0,0,273,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,717,0,2,719,0
131,131,208,0,47,267,1,0,4,319,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,852,0,0,852,0
