Polling Station No,Candidate_1,A . A) K H T TN I N( A,A . M A) GK UM MD N( A H S,V . R A ) MK UM KD HA TI AA P( M A S,G .) UP RS HB E( N,S .) LK AL MK MM AM HL TD UA RN A( K,K . J A) RK M U PT P( U K,S .) AK LV IA N T A( M,C . U ) T NA N N I AR KP IP R R A ( M,K . H) K S V E KT ( A R,. R D ) ) Y P AMK (AC HWN S J ST E T .R AKH K. VB N ( E V,K . H ) TD AN PI M( A S,C . H ) TD AN PI M( A S,K . L E ) VD A N G I N( A H T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
136,136,12,291,168,1,1,0,2,0,126,0,0,1,0,1,603,0,2,605
137,137,18,222,160,4,0,0,0,5,308,0,0,1,0,1,719,0,1,720
138,138,19,174,120,2,1,0,1,2,206,1,0,0,1,1,528,0,1,529
139,139,3,464,79,1,0,0,0,0,77,0,0,0,0,1,625,0,1,626
140,140,5,58,172,1,0,0,0,1,78,0,0,0,0,0,315,0,2,317
141,141,24,194,412,9,1,1,0,4,219,3,1,2,4,4,878,0,9,887
142,142,7,129,140,0,1,0,0,2,190,0,0,1,1,1,472,0,1,473
143,143,24,274,253,3,4,0,1,2,253,0,1,3,2,1,821,0,0,821
144,144,8,411,424,4,4,3,1,0,118,0,0,0,2,1,976,0,5,981
145,145,17,269,217,2,3,1,0,0,157,1,1,0,1,1,670,0,3,673
146,146,9,320,334,3,1,0,0,1,163,0,0,0,2,0,833,0,6,839
147,147,13,227,236,3,1,1,0,0,161,0,0,1,2,1,646,0,5,651
148,148,23,477,293,4,1,0,2,0,274,1,1,0,2,6,1084,0,3,1087
149,149,23,482,278,3,4,0,1,2,162,2,2,1,4,3,967,0,3,970
150,150,1,20,308,2,1,2,0,0,44,0,0,0,0,0,378,0,1,379
151,151,22,384,277,2,1,0,1,2,240,0,3,0,3,2,937,0,2,939
152,152,14,347,237,2,1,1,2,3,207,0,0,1,0,1,816,0,3,819
153,153,22,578,188,2,1,0,0,0,175,10,0,0,0,5,981,0,2,983
154,154,10,170,280,0,0,0,1,0,162,1,0,0,0,0,624,0,4,628
155,155,40,294,365,4,4,0,1,1,236,0,1,2,2,2,952,0,4,956
156,156,19,221,128,2,0,0,1,1,190,6,0,1,1,1,571,0,2,573
157,157,13,182,127,2,5,2,1,1,135,2,0,0,3,1,474,0,2,476
158,158,40,151,323,5,2,2,0,4,449,1,0,2,2,3,984,0,2,986
159,159,25,161,260,2,1,0,0,2,152,0,0,1,1,3,608,0,1,609
160,160,13,347,229,1,3,0,2,2,160,0,1,2,2,2,764,0,2,766
161,161,9,558,82,2,3,0,1,2,170,4,2,0,1,3,837,0,2,839
162,162,20,80,388,4,1,1,0,2,238,1,0,0,2,2,739,0,1,740
163,163,17,103,490,2,4,1,1,1,245,0,1,6,2,3,876,0,2,878
164,164,17,167,411,2,3,2,1,1,322,2,0,1,5,3,937,0,5,942
165,165,25,301,276,1,7,1,1,3,244,1,1,1,1,4,867,0,4,871
166,166,18,231,256,3,1,0,2,3,160,1,0,1,2,1,679,0,4,683
167,167,16,106,441,2,1,0,1,0,131,0,0,0,1,1,700,0,2,702
168,168,25,125,567,7,5,0,0,5,193,0,0,4,1,0,932,0,1,933
169,169,8,643,35,2,1,2,0,3,112,0,0,2,0,4,812,0,5,817
170,170,17,189,361,3,2,0,1,0,250,0,1,0,0,0,824,0,2,826
171,171,10,75,193,1,1,0,0,1,195,0,0,0,2,0,478,0,4,482
172,172,7,87,121,0,1,0,1,0,89,0,0,0,2,0,308,0,1,309
173,173,4,82,179,0,2,0,0,1,83,1,2,0,1,0,355,0,2,357
174,174,13,113,367,1,4,1,0,2,166,1,0,2,1,0,671,0,1,672
175,175,11,164,313,2,4,1,1,0,242,0,0,2,2,2,744,0,2,746
176,176,8,103,139,4,1,0,2,4,229,0,0,2,2,4,498,0,4,502
177,177,8,270,49,0,0,0,1,0,75,0,0,0,0,0,403,0,0,403
178,178,6,118,324,2,1,0,1,2,242,0,0,0,1,5,702,0,2,704
179,179,12,134,320,3,1,2,1,3,255,0,0,0,1,2,734,0,1,735
180,180,21,206,328,1,1,0,1,4,284,0,1,0,1,2,850,0,2,852
181,181,2,79,155,0,0,0,0,1,118,0,0,0,0,2,357,0,0,357
182,182,13,80,272,3,0,0,0,1,251,1,1,0,2,0,624,0,2,626
183,183,9,66,220,2,1,1,0,1,93,0,0,1,0,1,395,0,2,397
184,184,12,650,90,2,1,0,1,2,202,0,0,1,1,1,963,0,1,964
185,185,16,545,123,1,3,0,0,2,171,0,1,0,0,1,863,0,5,868
186,186,27,214,230,1,1,0,0,2,361,1,2,1,2,2,844,0,2,846
187,187,15,75,146,0,0,0,0,2,139,0,0,0,0,1,378,0,2,380
188,188,8,104,88,1,1,0,0,0,102,0,0,0,0,0,304,0,4,308
189,189,21,185,264,2,2,0,0,0,179,1,0,0,0,4,658,0,2,660
190,190,9,146,243,1,0,0,0,3,183,0,0,0,1,1,587,0,1,588
191,191,12,106,235,2,0,0,0,1,168,0,0,1,1,1,527,0,2,529
192,192,27,352,172,0,0,1,0,1,112,0,0,1,1,1,668,0,1,669
193,193,11,403,109,0,0,0,0,1,91,0,0,0,0,0,615,0,2,617
194,194,14,98,196,0,0,0,0,3,94,0,0,0,0,0,405,0,0,405
195,195,25,181,327,1,0,0,0,0,150,2,0,2,1,1,690,0,5,695
196,196,10,51,327,0,0,0,0,2,118,1,0,1,1,1,512,0,0,512
197,197,22,185,136,1,0,0,0,1,161,0,0,1,1,0,508,0,1,509
198,198,8,150,162,0,0,0,1,0,147,0,0,0,1,2,471,0,1,472
199,199,14,136,212,3,0,0,0,4,201,0,0,1,1,3,575,0,0,575
200,200,13,316,242,4,1,0,1,0,97,1,0,0,0,3,678,0,3,681
201,201,2,157,215,1,1,1,0,2,133,0,1,1,0,2,516,0,4,520
202,202,11,218,252,5,1,0,1,1,206,0,0,0,0,0,695,0,2,697
203,203,10,389,74,0,4,0,2,0,140,0,0,1,0,0,620,0,1,621
204,204,6,106,85,1,0,0,0,3,111,0,0,0,0,0,312,0,1,313
205,205,27,122,398,2,1,1,0,3,235,0,1,1,0,2,793,0,1,794
206,206,10,106,257,5,1,2,4,5,414,1,0,3,3,3,814,0,2,816
207,207,6,47,120,4,2,0,4,8,160,1,0,1,2,5,360,0,9,369
208,208,6,89,160,2,1,0,1,1,254,0,0,1,0,2,517,0,4,521
209,209,14,148,238,2,1,0,1,2,257,0,0,0,0,1,664,0,3,667
210,210,7,95,130,2,1,0,0,1,159,1,0,0,1,0,397,0,0,397
211,211,9,474,77,0,2,0,0,0,97,0,0,0,2,1,662,0,2,664
212,212,7,118,263,0,0,0,0,0,90,0,0,0,0,1,479,0,1,480
