Polling Station No,Candidate_1,I V A U N R) A K A H T C L I N RM( AA T,P . N A P) PK AM ID N( A L A P,M A L) HEK TVM AID GR A AT I REA V A ( M,) SK .L NM AT SW E NH AS GV (,V . N A N) K HM S M I RT KP AI NA ( N E H C,S . I H T A) K V V A T G ( A L I H T,U S A) RK AM VT O( O P,M ) .K IL NK AM R M A NL D U A M N A( J,S . H) SD IN H I T( A S,P . Y M A) D S AN NI ( N I H C,K . J A) D R LN II M( A T,R . N A P) PD AN II N( A L A P,S . N ) AD GN U I R( U M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
252,252,17,454,211,3,1,281,0,0,0,0,2,0,1,0,970,0,5,975
253,253,29,214,286,1,9,234,0,0,1,1,1,1,1,0,778,0,8,786
254,254,8,74,119,0,1,53,0,0,0,0,0,0,0,0,255,0,0,255
255,255,22,134,454,4,2,126,0,0,0,0,1,4,0,2,749,0,1,750
256,256,8,116,433,5,4,124,0,0,0,0,0,0,1,1,692,0,1,693
257,257,11,617,84,0,0,133,0,1,0,1,0,1,0,3,851,0,2,853
258,258,23,161,379,3,1,151,0,0,0,0,1,1,0,0,720,0,2,722
259,259,19,324,130,0,2,233,0,0,0,0,0,1,1,2,712,0,0,712
260,260,17,231,461,4,3,178,0,0,0,0,0,4,1,1,900,0,3,903
261,261,14,167,298,3,0,221,0,1,0,0,0,0,1,2,707,0,2,709
262,262,23,265,278,0,5,265,3,0,1,1,1,0,3,0,845,0,3,848
263,263,15,187,311,1,1,295,0,1,1,1,0,0,0,3,816,0,4,820
264,264,11,329,100,2,1,176,1,1,0,0,0,0,0,0,621,0,2,623
265,265,12,256,109,0,3,202,0,0,0,0,0,1,0,3,586,0,1,587
266,266,6,758,121,0,0,147,0,1,0,0,0,0,1,1,1035,0,1,1036
267,267,7,471,85,2,1,79,0,1,0,0,0,4,1,7,658,0,1,659
268,268,9,182,252,1,2,113,0,0,0,0,0,2,0,1,562,0,2,564
269,269,6,112,131,0,0,63,0,2,0,0,0,1,0,0,315,0,2,317
270,270,12,106,94,1,1,164,0,0,0,0,2,1,1,0,382,0,0,382
271,271,28,111,256,1,0,220,1,1,0,0,0,0,2,1,621,0,2,623
272,272,20,239,23,0,1,151,0,0,0,1,0,0,0,0,435,0,1,436
273,273,13,511,145,0,0,170,0,0,0,0,0,0,0,1,840,0,3,843
274,274,8,362,84,0,0,135,2,0,1,0,0,0,0,0,592,0,3,595
275,275,14,145,331,7,1,165,4,3,0,0,2,3,1,0,676,0,1,677
276,276,3,62,198,0,0,88,1,0,0,0,0,1,0,0,353,0,2,355
277,277,22,177,548,3,2,275,0,1,1,0,0,1,0,5,1035,0,6,1041
278,278,19,166,485,5,2,209,0,0,0,0,0,0,3,0,889,0,3,892
279,279,8,97,370,1,0,110,0,0,1,0,2,1,1,0,591,0,0,591
280,280,9,139,391,1,1,144,0,0,0,0,2,0,1,1,689,0,1,690
281,281,12,305,238,3,1,108,0,1,1,0,0,3,0,1,673,0,2,675
282,282,14,113,420,5,0,150,1,0,0,0,0,2,1,1,707,0,2,709
283,283,43,301,387,1,6,236,0,1,1,1,2,1,0,2,982,0,1,983
284,284,5,156,202,1,4,133,0,0,0,0,0,0,0,0,501,0,2,503
285,285,29,295,168,2,3,266,0,0,0,0,0,1,0,0,764,0,2,766
286,286,15,182,178,1,1,179,1,0,0,0,0,0,1,0,558,0,3,561
287,287,7,203,155,1,0,158,1,2,0,0,1,0,0,0,528,0,1,529
288,288,33,173,400,1,1,281,0,0,0,0,0,1,0,0,890,0,4,894
289,289,21,154,232,5,0,165,0,0,0,0,0,1,0,1,579,0,0,579
290,290,34,276,189,2,0,259,2,2,0,0,0,1,2,1,768,0,2,770
291,291,22,225,150,3,4,285,1,2,0,0,0,1,0,2,695,0,2,697
292,292,55,159,235,2,0,192,0,1,0,3,0,2,0,1,650,0,2,652
293,293,27,280,221,1,0,252,0,2,0,1,2,0,0,0,786,0,1,787
294,294,25,396,113,1,1,133,0,1,0,0,0,1,0,3,674,0,0,674
295,295,23,268,423,5,0,186,0,0,1,0,0,2,1,1,910,0,2,912
296,296,9,313,71,0,0,87,0,0,0,0,0,0,0,0,480,0,1,481
297,297,15,123,380,2,2,157,0,2,0,1,0,1,2,0,685,0,2,687
298,298,25,231,332,4,2,252,0,0,0,0,1,1,1,0,849,0,5,854
299,299,14,115,166,0,0,140,0,0,0,1,1,0,1,0,438,0,1,439
300,300,15,198,258,2,1,189,1,2,0,0,1,2,0,1,670,0,2,672
301,301,14,383,94,0,0,142,0,0,0,1,0,0,0,3,637,0,2,639
302,302,10,338,64,1,0,96,0,0,0,0,0,0,1,2,512,0,1,513
303,303,41,404,183,1,3,249,2,0,1,2,0,0,0,2,888,0,4,892
304,304,26,328,270,1,1,177,0,0,0,0,0,0,0,0,803,0,1,804
305,305,13,434,200,2,0,245,0,2,0,0,0,0,0,1,897,0,3,900
306,306,16,234,229,0,0,255,0,0,0,1,0,0,0,3,738,0,6,744
307,307,15,307,148,1,1,262,1,2,1,0,0,1,2,2,743,0,3,746
308,308,21,265,149,0,0,192,0,0,0,0,0,1,0,1,629,0,0,629
309,309,21,432,158,1,1,251,1,0,1,0,1,0,2,1,870,0,3,873
310,310,17,308,125,0,1,226,0,0,0,0,1,0,0,1,679,0,4,683
311,311,29,291,209,2,2,350,1,2,0,0,0,1,0,3,890,0,3,893
