Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
95,174,50,13,0,0,0,165,0,0,0,1,0,0,0,0,0,1,0,0,0,0,404,0,5,409,0
96,155,62,23,0,1,1,258,1,0,0,0,0,0,0,0,1,0,0,0,0,0,502,0,3,505,0
97,199,53,21,0,1,2,267,0,1,0,0,0,1,1,0,0,1,0,0,0,0,547,0,0,547,1
98,225,79,33,0,0,0,291,0,0,0,0,0,1,0,0,0,0,0,1,0,0,630,0,2,632,0
99,209,116,18,1,0,0,317,0,0,0,2,0,0,5,0,0,0,0,0,0,0,668,0,0,668,0
100,195,119,42,0,0,2,369,0,0,0,0,0,0,2,0,0,1,0,0,1,0,731,0,2,733,0
101,185,77,23,0,0,1,249,1,0,1,1,0,0,1,0,0,1,0,0,1,0,541,0,8,549,0
102,201,140,25,0,0,2,252,0,0,0,0,0,0,0,0,0,0,1,0,0,0,621,0,2,623,0
103,164,42,19,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,2,464,0
104,139,93,23,0,0,0,259,0,0,0,0,0,0,1,0,0,1,0,0,0,0,516,0,2,518,0
105,142,68,17,1,0,2,203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,434,0,4,438,0
106,168,56,11,0,0,0,220,1,0,0,0,0,0,1,0,0,0,0,0,0,0,457,0,3,460,0
107,160,64,24,1,0,1,284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,535,0,3,538,0
108,204,84,24,1,0,2,340,0,0,0,0,0,0,0,0,2,0,1,0,0,0,658,0,2,660,0
109,268,75,17,1,0,0,315,0,0,1,0,0,0,1,0,0,0,0,0,0,0,678,0,2,680,0
110,174,268,49,0,0,1,354,0,2,0,0,0,1,2,0,2,2,3,0,1,0,859,0,4,863,0
111,200,201,27,0,0,1,404,0,0,0,0,0,0,2,0,1,0,0,0,0,1,837,0,0,837,0
112,176,221,33,0,1,1,317,0,1,0,1,0,0,1,0,0,0,1,0,0,0,753,0,2,755,0
113,192,230,52,1,2,0,426,0,0,0,0,0,0,1,1,0,0,1,0,0,0,906,0,5,911,0
114,130,76,17,0,0,0,308,0,2,0,1,0,0,2,0,0,0,0,0,0,0,536,0,2,538,0
115,95,82,16,0,0,0,191,0,1,0,0,0,0,2,0,1,0,0,0,0,0,388,0,4,392,0
116,171,238,23,0,0,0,297,0,0,1,0,1,1,0,0,0,0,0,0,0,0,732,0,2,734,0
117,164,81,25,0,0,0,212,1,0,0,0,0,0,0,1,0,0,0,0,0,0,484,0,1,485,0
118,156,162,36,1,1,2,416,1,0,1,0,0,0,1,0,0,1,1,0,0,0,779,0,1,780,0
119,243,157,46,1,0,0,368,0,0,0,0,0,0,1,0,2,2,0,0,0,0,820,0,5,825,0
120,71,52,13,0,0,1,177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,316,0,0,316,0
121,200,96,30,1,0,1,347,0,0,0,1,0,0,1,0,1,0,0,0,0,0,678,0,3,681,0
122,147,151,43,1,0,0,340,0,0,0,2,0,1,1,0,1,1,0,0,0,0,688,0,1,689,0
123,113,142,28,0,0,1,307,0,0,0,0,0,0,0,0,0,0,0,0,1,0,592,0,2,594,0
124,204,139,39,2,0,0,392,2,0,0,0,0,0,1,0,0,0,0,1,1,0,781,0,5,786,0
125,153,126,35,2,0,0,307,0,0,0,0,0,0,0,0,0,0,3,1,1,0,628,0,2,630,0
126,185,78,31,0,0,0,316,0,1,1,0,0,0,0,0,0,0,2,0,0,0,614,0,1,615,0
127,174,110,35,0,0,0,359,0,0,0,0,0,0,0,0,0,1,1,1,0,0,681,0,3,684,0
128,162,133,43,1,0,1,339,0,1,0,0,0,0,1,0,0,0,0,0,1,0,682,0,0,682,0
129,186,115,24,1,0,0,307,0,0,0,0,2,0,1,0,2,0,0,0,0,0,638,0,2,640,0
130,212,148,38,0,0,3,398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,6,806,0
131,138,137,33,3,0,4,373,1,1,0,1,0,0,1,0,0,0,0,0,0,0,692,0,1,693,0
132,186,105,38,0,1,2,326,0,0,0,1,0,0,1,0,0,0,2,1,0,1,664,0,2,666,0
133,131,74,10,0,0,1,245,1,1,0,0,1,0,1,0,0,0,0,0,0,0,465,0,1,466,0
134,189,174,24,0,0,0,402,0,0,0,0,0,0,0,0,0,1,0,1,1,0,792,0,4,796,0
135,112,146,25,0,1,0,239,0,1,0,0,0,0,1,0,1,0,1,0,0,0,527,0,1,528,0
136,123,121,17,1,0,0,337,0,0,0,0,0,0,0,0,2,1,0,1,0,0,603,0,4,607,0
137,158,114,30,0,0,1,350,0,0,0,0,0,0,0,0,0,1,0,0,0,0,654,0,0,654,0
138,104,101,28,0,0,1,325,0,0,1,0,0,0,1,0,0,0,0,0,0,1,562,0,0,562,0
139,122,117,22,0,0,1,344,1,1,0,0,0,0,0,0,0,1,0,0,0,0,609,0,2,611,0
140,152,143,29,1,0,1,406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,733,0
141,91,110,12,1,0,1,233,0,0,1,0,1,0,1,0,0,0,0,0,0,0,451,0,0,451,0
142,94,86,14,0,0,0,178,0,1,0,0,1,0,0,0,0,0,0,0,0,0,374,0,1,375,0
143,173,116,40,3,0,4,447,0,0,0,1,0,0,0,1,1,0,0,0,1,0,787,0,2,789,0
144,110,84,17,0,0,0,294,1,2,0,0,0,0,1,0,0,0,0,0,0,0,509,0,2,511,0
145,100,79,28,2,0,0,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,3,509,0
146,153,129,64,0,0,1,380,1,1,0,1,0,0,2,0,0,0,0,0,0,0,732,0,3,735,0
147,110,106,21,0,0,1,349,0,0,0,0,1,0,0,1,0,0,0,0,0,0,589,0,1,590,0
148,108,125,25,0,0,1,282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,542,0,0,542,0
149,117,122,28,1,1,1,306,0,1,0,1,1,0,1,0,1,0,1,0,0,1,583,0,0,583,0
150,162,93,23,2,0,1,310,0,1,0,0,0,0,1,0,0,0,0,0,0,0,593,0,2,595,0
151,160,100,35,2,0,0,398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,696,0,1,697,0
152,160,114,41,0,0,2,445,0,3,0,0,0,0,0,1,0,0,0,0,0,0,766,0,4,770,0
153,130,125,28,0,0,1,367,1,2,0,0,0,0,1,0,0,1,0,0,0,0,656,0,2,658,1
154,114,84,19,0,0,0,322,0,12,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,551,0
155,138,120,25,1,0,2,438,0,4,0,1,0,0,0,0,1,2,0,0,0,0,732,0,1,733,0
156,136,126,27,0,0,1,426,0,6,0,1,0,1,0,0,1,1,0,0,1,0,727,0,2,729,0
157,161,124,34,0,0,0,446,0,4,0,0,1,0,0,0,0,3,1,0,0,0,774,0,2,776,0
158,212,199,26,0,0,1,332,0,13,0,0,0,1,1,0,3,3,0,0,0,0,791,0,0,791,0
159,88,102,18,1,0,1,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,1,479,0
160,150,112,23,3,0,1,369,0,1,0,0,0,0,1,1,1,2,0,0,0,0,664,0,2,666,0
161,133,143,26,0,0,0,476,2,1,0,1,2,0,1,0,0,2,0,0,0,0,787,0,3,790,0
162,162,62,24,0,0,0,330,0,0,0,1,1,0,2,1,1,0,0,0,0,0,584,0,4,588,0
163,173,93,32,0,1,0,316,1,0,0,0,0,0,1,0,0,1,0,0,1,1,620,0,3,623,0
164,139,85,16,2,0,1,248,0,2,1,0,0,0,3,0,5,0,0,0,0,0,502,0,2,504,0
165,65,51,14,0,5,0,179,0,0,0,0,0,0,2,0,0,0,0,0,1,0,317,0,2,319,0
166,155,125,26,2,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,421,0,11,432,0
167,206,118,29,0,0,0,213,1,0,0,0,0,0,0,1,0,1,0,0,0,0,569,0,13,582,0
168,87,139,20,0,1,0,203,0,0,0,0,1,0,0,0,0,1,1,0,0,0,453,0,3,456,0
169,204,176,38,1,0,1,495,0,2,0,0,0,0,2,0,2,1,1,0,1,0,924,0,7,931,0
170,207,153,22,1,0,0,316,0,1,0,0,1,0,3,0,0,0,0,0,1,0,705,0,2,707,0
171,134,108,38,0,1,1,433,0,0,0,0,2,0,0,0,0,0,0,0,0,0,717,0,4,721,0
172,134,109,22,0,0,2,363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,631,0,1,632,0
173,141,136,27,1,1,0,345,0,1,0,0,1,0,0,0,2,0,0,0,0,0,655,0,1,656,0
174,194,73,28,0,0,1,284,1,0,1,0,0,0,0,0,0,0,1,0,0,1,584,0,3,587,0
175,124,57,18,1,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,2,411,0
176,217,150,27,0,0,0,406,0,1,0,0,2,0,1,1,1,0,0,0,1,1,808,0,2,810,0
177,165,110,26,0,0,1,341,2,3,0,0,1,1,1,0,0,1,1,0,0,0,653,0,1,654,0
178,139,88,35,0,0,1,332,1,1,0,0,0,1,1,0,0,0,1,0,0,0,600,0,0,600,1
179,233,65,23,1,0,0,301,0,0,0,0,0,0,0,0,0,1,0,1,0,0,625,0,1,626,0
180,362,139,24,1,0,2,382,1,0,0,0,0,0,0,0,1,0,3,0,2,0,917,0,5,922,0
181,247,99,8,0,0,0,176,1,1,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,532,0
182,272,87,19,0,0,0,231,1,0,0,0,0,0,0,0,1,2,0,1,0,0,614,0,1,615,0
183,121,85,22,0,0,1,234,0,2,0,0,0,1,0,1,0,1,0,0,1,0,469,0,0,469,0
184,164,113,42,0,0,0,370,0,1,0,0,1,1,0,0,0,1,0,0,0,0,693,0,2,695,0
185,155,148,46,1,1,0,431,1,1,0,0,1,0,1,0,0,0,0,0,0,0,786,0,2,788,0
186,102,70,18,1,0,1,259,1,0,0,1,0,1,2,0,1,0,1,0,0,0,458,0,1,459,0
187,151,100,33,1,0,0,331,1,0,0,0,0,0,0,0,0,0,1,0,0,0,618,0,2,620,0
