Polling Station No,Candidate_1,RAMUKADNAN.P.A,RAMUKIVAR.M,NAGAHZALEV.D,NANAVARAS.R,ANNAKHTONIV.V,HSETAKNEV.S.V,NAGURUMLEV.R,NALEESAYAJ.P,HSERUS.E,YHTROOMAVLES.S,RAMUK AHDNAN.M,NARAHONAM.K,HSEMAR.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
138,241,8,215,2,0,0,87,0,0,0,0,2,0,555,555,0,1,556,0
139,233,7,436,3,0,0,142,0,0,0,0,0,1,822,822,0,0,822,0
140,229,13,446,0,3,1,130,1,0,0,0,0,1,824,824,0,1,825,0
141,235,14,437,2,0,3,96,0,0,0,0,3,1,791,791,0,4,795,0
142,104,6,180,0,0,0,70,0,0,0,0,1,0,361,361,0,1,362,0
143,181,10,386,1,1,0,85,1,0,0,0,2,0,667,667,0,3,670,0
144,200,19,477,4,1,0,129,0,0,0,1,1,1,833,833,0,7,840,0
145,184,20,429,3,1,1,134,0,0,0,0,0,0,772,772,0,1,773,0
146,190,11,447,0,0,0,120,1,0,1,1,0,0,771,771,0,5,776,0
147,249,13,398,4,1,1,129,1,0,0,1,0,0,797,797,0,3,800,0
148,190,14,382,1,0,0,116,0,0,0,1,1,0,705,705,0,1,706,0
149,268,17,362,1,1,1,233,0,0,0,1,0,0,884,884,0,4,888,0
150,320,14,410,2,0,0,97,0,0,0,2,1,1,847,847,0,6,853,0
151,344,22,345,0,1,0,133,1,0,0,0,0,0,846,846,0,0,846,0
152,249,12,275,4,0,0,68,0,0,0,1,1,1,611,611,0,1,612,0
153,218,5,162,5,1,1,92,0,0,0,0,3,3,490,490,0,17,507,0
154,261,9,392,10,0,3,118,0,1,1,0,8,2,805,805,0,12,817,0
155,293,7,207,3,0,1,75,0,0,1,1,5,1,594,594,0,7,601,0
156,304,11,414,7,0,4,106,0,1,0,3,14,2,866,866,0,30,896,0
157,201,13,283,4,1,3,42,1,0,0,2,3,3,556,556,0,11,567,0
158,351,18,341,7,2,5,122,1,2,3,4,10,2,868,868,0,25,893,0
159,523,12,180,6,1,2,126,2,1,2,2,5,1,863,863,0,19,882,0
160,254,20,210,5,4,10,281,8,3,2,4,4,1,806,806,0,22,828,0
161,390,13,215,1,0,7,171,4,1,2,4,5,7,820,820,0,32,852,0
162,210,10,249,8,3,4,109,1,0,2,3,7,5,611,611,0,19,630,0
163,244,13,230,2,0,1,194,0,1,0,0,2,0,687,687,0,3,690,0
164,182,16,227,1,0,2,203,0,0,0,1,2,0,634,634,0,2,636,0
165,171,19,263,0,0,0,189,1,0,1,0,0,1,645,645,0,1,646,0
166,145,17,340,0,0,1,163,0,1,0,0,1,0,668,668,0,2,670,0
167,243,15,295,3,1,0,187,0,0,0,0,1,0,745,745,0,3,748,0
168,181,6,156,3,1,0,31,0,0,0,0,3,1,382,382,0,4,386,0
169,288,23,309,0,0,1,188,0,0,0,1,1,1,812,812,0,5,817,0
170,206,22,494,2,0,3,161,1,0,1,2,4,2,898,898,0,8,906,0
171,180,10,398,4,0,0,101,0,0,0,1,1,0,695,695,0,4,699,0
172,203,21,229,1,2,0,229,0,0,0,0,2,0,687,687,0,5,692,0
173,195,21,251,1,0,1,208,0,1,1,0,0,1,680,680,0,6,686,0
