Polling Station No,S. CHARLES,S.M.NASAR,PUNITHA SHANMUGAM,RAJASIMHA MAHENDRA,R.Edmund Jayendren,C.S. Karnan,SENTHILKUMAR. S,R. BAKTHAVATCHALAM,R.RAMESH KUMAR,P.JAYAKUMAR,K. ANNAMALAI,G.D. ARUNKUMAR,M. ERAJASIMMAN,R. KUMAR,S. SENTHILKUMAR,P. CHELLAPANDIAN,K. BALAKRISHNAN,R. MANIKANDAN,UNIESH RAJ. M,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
191,1,185,30,57,0,0,0,1,386,0,0,0,0,0,0,1,0,0,0,0,661,0,3,664,0
192,3,207,30,63,2,0,2,0,398,0,0,1,0,1,1,1,0,0,0,0,709,0,1,710,0
193,2,189,37,93,0,0,0,3,340,0,0,0,0,0,0,1,0,0,0,0,665,0,3,668,0
194,0,103,41,34,0,0,1,3,228,0,0,0,0,0,0,0,0,0,0,0,410,0,0,410,0
195,0,207,29,129,1,0,0,1,258,1,1,0,0,1,1,0,0,0,0,1,630,0,6,636,0
196,0,215,30,114,0,0,1,0,314,0,0,0,0,1,0,2,0,0,0,0,677,0,4,681,0
197,2,205,31,68,1,0,0,0,311,1,0,0,0,0,0,0,0,0,0,0,619,0,7,626,0
198,2,148,18,64,1,0,0,1,270,0,0,2,1,0,1,1,0,1,0,0,510,0,7,517,0
199,1,168,30,69,0,0,0,0,216,0,0,0,0,0,0,2,0,0,0,0,486,0,2,488,0
200,0,138,38,98,0,0,0,1,276,0,0,0,0,0,0,0,0,0,0,0,551,0,3,554,0
201,3,131,28,89,0,1,0,0,276,0,0,0,0,0,0,0,0,0,0,0,528,0,2,530,0
202,1,117,24,62,0,0,1,1,205,0,0,0,1,0,1,0,0,1,0,0,414,0,1,415,0
203,2,147,19,106,1,0,1,3,230,1,0,0,0,0,1,0,0,0,0,0,511,0,7,518,0
204,0,179,31,84,2,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,634,0,6,640,0
205,1,233,23,78,0,0,0,0,316,0,0,0,0,0,0,0,0,0,1,0,652,0,6,658,0
206,0,194,30,74,1,0,0,0,238,0,0,1,0,1,0,2,0,0,0,0,541,0,3,544,0
207,0,123,21,50,0,0,0,1,152,0,0,0,0,1,0,0,0,0,0,0,348,0,0,348,0
208,0,262,39,106,1,1,0,0,328,0,0,0,0,1,0,4,0,0,0,0,742,0,4,746,0
209,3,189,20,77,2,0,0,0,241,1,1,0,0,2,0,0,0,0,0,0,536,0,0,536,0
210,0,226,32,120,0,0,1,1,311,1,0,0,0,0,0,0,0,0,0,0,692,0,5,697,0
211,1,271,35,72,1,1,0,1,424,0,0,1,0,1,0,1,0,0,0,0,809,0,1,810,0
212,3,167,28,31,1,1,0,2,354,1,0,0,0,1,0,0,1,0,0,0,590,0,1,591,0
213,1,250,26,77,1,2,0,3,367,1,0,0,0,1,1,0,1,3,1,0,735,0,2,737,0
214,2,190,27,47,8,0,0,6,413,0,0,1,1,2,1,1,1,1,0,2,703,0,1,704,0
215,5,282,51,80,2,1,0,1,466,1,0,0,0,0,0,0,0,0,0,0,889,0,4,893,0
216,1,273,49,101,2,2,0,0,378,0,0,0,0,0,0,0,0,0,0,0,806,0,2,808,0
217,2,244,49,102,1,0,0,1,439,0,0,1,0,0,0,0,0,0,0,0,839,0,4,843,0
218,1,185,34,97,2,0,1,0,370,0,0,0,0,0,0,1,0,1,0,0,692,0,7,699,0
219,2,211,25,79,0,1,1,1,295,1,0,1,1,0,0,0,0,1,0,0,619,0,4,623,0
220,2,234,31,82,0,3,0,0,412,0,0,1,0,0,0,3,1,0,0,0,769,0,7,776,0
221,0,235,46,81,2,0,0,0,316,0,0,1,0,0,0,1,0,1,1,0,684,0,6,690,0
222,0,215,47,117,1,0,0,3,332,2,0,0,0,1,0,0,0,0,0,1,719,0,4,723,0
223,0,178,36,110,0,1,0,0,252,0,0,0,0,0,0,0,0,0,1,0,578,0,3,581,0
224,1,147,18,75,2,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,511,0,1,512,0
225,3,242,28,100,1,1,0,2,421,0,0,0,1,0,0,0,0,2,1,0,802,0,5,807,0
