Polling Station No,Candidate_1,S .JARAGNAHT,N.P .HSENID,N .RAMUKHSENID,S .YMASAGNAR,K .UHTUMILAK,S .NAGURUMALAB,G .IHZIVRALAM,KARABUM ILA DEMAHOM,M .RAMUKAYAJIV,A .AHSAB NHOJ,P .LEVAHTUMA,S .NANHSIRKAMAR .RD,K .IVEDAKIHTRAK,N .IHTRUMAVASEK,D .LABANAHD,RAMUKHSENID,RAMUKHSENID,V .RAMUKHSENID,V .MAGNILAHAM,M .LEVANIHTAR,S .HSEMAR,K .INAMAHTNASAV,K .YMASADAKNEV,G .MALAHCATAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
156,156,23,14,711,1,3,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,904,0,4,908,0
157,157,49,16,272,1,0,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,489,0
158,158,42,6,290,0,4,228,0,0,1,0,1,0,0,2,2,0,1,0,0,1,1,1,1,2,583,0,1,584,0
159,159,82,19,406,0,0,121,0,0,1,1,0,1,0,1,1,1,0,1,3,0,0,1,0,0,639,0,3,642,0
160,160,4,17,649,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,748,0,2,750,0
161,161,14,11,422,1,0,98,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,550,0,0,550,0
162,162,20,19,366,0,0,147,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,557,0,1,558,0
163,163,30,11,593,0,1,166,0,0,6,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,811,0,2,813,0
164,164,163,21,143,0,0,200,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,530,0,8,538,0
165,165,34,8,580,0,0,92,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,717,0,1,718,0
166,166,13,13,778,1,0,124,1,0,0,3,0,0,0,1,1,0,0,2,1,0,0,0,0,1,939,0,2,941,0
167,167,113,16,462,2,1,204,1,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,805,0,1,806,0
168,168,144,14,215,2,0,185,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,565,0,1,566,0
169,169,97,13,161,1,0,162,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,438,0,1,439,0
170,170,69,41,161,1,1,350,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,1,633,0,3,636,0
171,171,72,15,165,0,4,325,0,0,0,0,2,0,0,4,0,1,3,0,0,0,0,2,0,0,593,0,1,594,0
172,172,146,29,198,2,0,382,0,0,1,0,0,0,2,1,1,1,1,0,1,0,0,1,0,0,766,0,2,768,0
173,173,143,25,236,1,1,343,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,2,757,0,1,758,0
174,174,230,37,225,2,6,384,0,0,0,0,0,0,0,3,0,3,1,0,1,0,1,1,1,0,895,0,3,898,0
175,175,108,18,165,1,0,255,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,2,554,0,3,557,0
176,176,117,16,187,0,0,318,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,645,0,2,647,0
177,177,141,26,162,2,0,248,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,589,0,2,591,0
