Polling Station No,Candidate_1,. S . R A M) P US KB ( H T I J A,N A R .A M M) C . UN K KI . GL( I M A T,. T . L A M ) MK AT YN I( N A L A P,. K . N) K AM N T N( A K,. S . N A) RK DV NT ( E J A G,. V .) MK AM VP L( E S,. C . I N) K A V M A AT V( A H T,. P . N) K AL GK UM RM UL MD UA RN I( H T,. M . I A) LD AN MI A( N N A,. G . R A) MD UN KI N( U R A,. A . N A) SD RN AI ( V A L E,. M . L E) VD IN HI T( K A S,. V .) MD AN VI L( E S,. G . N A) YD AN RI D( N E S,. S . M A V) LD EN SI A( N A N G,. M . N A S) D A RN AI ( L I M A T,. S . I V ) LD E N S LI ( I M A T,. P . I) ND AN MI O( O P,. S . N A N) D N N A I V( I N A M,. A . K . N ) AD RN AI H( O N A M,. R . N A N) D H N S I I( R K L I V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
102,102,5,297,21,1,325,156,0,2,0,2,0,1,0,1,2,1,4,2,1,1,2,1,825,0,2,827
103,103,0,153,28,1,256,287,2,1,0,0,0,2,0,0,0,2,2,1,1,0,0,1,737,0,4,741
104,104,1,278,25,0,283,159,2,2,2,2,0,1,2,0,0,1,3,0,0,1,0,0,762,0,2,764
105,105,2,236,13,1,207,78,4,0,0,0,0,0,0,0,1,0,7,1,0,0,1,0,551,0,6,557
106,106,4,268,15,0,314,229,2,1,2,0,3,2,0,1,0,2,0,3,1,0,1,0,848,0,3,851
107,107,0,252,29,0,243,108,1,1,1,2,0,1,0,0,0,0,16,2,0,0,0,1,657,0,1,658
108,108,0,255,31,0,248,113,5,1,0,0,1,0,0,0,1,0,6,1,0,1,4,0,667,0,7,674
109,109,3,181,13,1,191,219,2,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,615,0,1,616
110,110,0,74,6,0,127,380,1,2,1,0,1,0,1,0,0,1,1,0,1,0,0,1,597,0,3,600
111,111,2,179,24,0,227,417,1,1,2,2,1,1,0,0,0,0,0,1,0,1,0,1,860,0,3,863
112,112,1,273,32,1,311,369,1,1,1,2,2,1,0,1,2,4,0,2,0,0,0,3,1007,0,1,1008
113,113,1,210,9,1,240,274,1,1,0,3,1,1,1,2,0,0,0,0,1,0,0,1,747,0,0,747
114,114,5,127,27,2,340,443,2,6,0,2,1,5,0,1,0,1,2,0,0,3,2,0,969,0,2,971
115,115,5,128,29,4,306,390,5,0,3,4,0,4,0,0,4,2,1,0,1,4,2,4,896,0,10,906
116,116,1,226,60,1,347,293,1,3,1,2,1,1,0,3,1,1,0,3,1,4,0,1,951,0,2,953
117,117,0,190,34,2,283,178,2,2,1,0,2,0,0,1,0,1,0,0,1,0,1,0,698,0,3,701
118,118,0,179,23,4,361,342,0,1,3,3,3,3,1,1,1,1,1,1,0,2,1,3,934,0,1,935
119,119,0,97,20,1,159,157,3,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,442,0,3,445
120,120,0,127,18,4,211,236,2,2,2,0,2,1,1,1,0,1,2,2,0,2,0,1,615,0,1,616
121,121,0,107,19,2,176,319,5,2,0,1,0,1,0,1,0,0,1,1,0,0,1,1,637,0,0,637
122,122,1,163,26,1,135,131,0,0,0,0,1,0,0,1,4,1,0,1,1,0,0,1,467,0,0,467
123,123,1,209,23,3,294,112,0,0,0,3,1,3,0,2,1,2,0,2,0,0,0,0,656,0,5,661
124,124,2,111,14,3,154,267,3,1,3,1,3,3,2,3,0,0,0,1,0,0,1,2,574,0,0,574
125,125,0,208,36,2,329,322,1,0,3,1,1,4,0,2,1,2,0,2,1,0,0,0,915,0,0,915
126,126,4,222,23,4,317,318,7,2,6,2,0,3,1,2,2,2,1,5,1,1,2,10,935,0,2,937
127,127,3,127,7,1,158,185,1,2,0,0,2,0,1,1,1,0,3,8,1,2,1,1,505,0,1,506
128,128,0,108,36,4,299,407,4,2,0,1,1,2,0,1,1,4,1,1,0,1,0,1,874,0,2,876
129,129,6,177,21,0,306,347,6,2,1,4,0,0,3,1,2,3,1,1,0,1,1,2,885,0,4,889
130,130,3,245,34,3,363,288,6,3,6,1,3,5,2,3,0,1,4,3,2,0,2,4,981,0,3,984
131,131,0,166,17,2,172,146,2,1,2,2,0,1,0,2,2,0,2,2,1,0,1,1,522,0,2,524
132,132,2,156,75,3,313,374,35,0,2,4,0,1,1,3,1,0,0,1,2,3,1,1,978,0,3,981
133,133,0,96,6,1,149,132,19,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,409,0,1,410
134,134,6,178,56,0,285,353,5,1,1,1,1,1,0,2,3,2,0,1,0,3,3,2,904,0,2,906
135,135,1,160,20,4,351,191,4,1,2,0,3,2,1,0,2,3,0,3,0,4,2,0,754,0,1,755
136,136,4,142,35,6,268,327,3,4,1,1,3,2,0,1,2,1,1,1,2,0,1,0,805,0,1,806
137,137,3,195,43,2,210,411,1,0,0,3,1,0,1,1,2,3,2,4,1,2,3,3,891,0,5,896
138,138,1,145,33,2,200,286,2,0,3,1,2,0,1,3,0,3,2,1,0,2,0,1,688,0,1,689
139,139,1,134,12,2,184,342,3,1,0,1,1,1,0,0,2,1,0,0,1,0,1,0,687,0,0,687
140,140,7,165,27,1,288,128,0,3,2,2,2,3,1,2,3,0,0,1,0,0,1,0,636,0,0,636
141,141,1,219,36,4,323,238,0,2,3,1,1,0,0,0,2,0,1,7,2,1,4,2,847,0,4,851
142,142,1,215,40,3,339,47,4,2,1,1,1,0,0,1,1,2,0,3,0,3,2,0,666,0,0,666
143,143,1,283,28,1,232,181,1,3,3,11,3,0,1,0,1,6,1,1,2,0,0,0,759,0,5,764
144,144,2,204,19,0,272,140,0,6,4,0,3,1,0,0,5,2,0,5,1,1,0,0,665,0,7,672
145,145,4,130,25,7,451,419,4,3,1,5,2,4,1,1,2,1,0,5,1,5,1,4,1076,0,4,1080
146,146,1,95,6,3,292,170,2,1,3,0,1,3,0,3,3,1,0,0,3,0,1,1,589,0,5,594
147,147,1,98,20,5,409,335,2,4,3,5,3,4,1,0,2,3,0,1,0,0,2,1,899,0,0,899
148,148,1,128,9,2,172,195,1,2,1,3,1,4,3,1,0,0,0,2,0,1,0,0,526,0,2,528
149,149,3,305,18,3,336,61,1,3,3,1,2,1,1,0,0,0,0,2,1,1,3,0,745,0,1,746
150,150,2,223,21,3,333,190,0,0,2,1,1,1,0,0,1,0,3,1,0,0,1,0,783,0,1,784
151,151,2,137,19,1,254,200,1,0,1,0,1,0,1,0,1,1,1,1,1,2,0,1,625,0,2,627
152,152,0,138,15,0,311,106,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,574,0,0,574
153,153,1,159,20,2,225,96,2,1,1,3,0,0,0,0,0,0,1,0,0,1,0,2,514,0,2,516
154,154,4,175,27,4,471,204,8,3,7,7,2,4,2,0,1,4,1,2,0,0,0,1,927,0,0,927
155,155,0,109,18,4,227,90,1,0,3,1,3,0,1,1,0,2,1,2,1,1,2,0,467,0,0,467
156,156,1,302,23,0,301,143,3,1,1,3,2,0,1,1,3,2,0,2,1,2,0,0,792,0,2,794
157,157,0,417,4,0,126,28,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,578,0,3,581
158,158,1,432,2,0,74,29,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,543,0,1,544
159,159,3,423,11,0,283,186,2,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,914,0,2,916
160,160,2,310,22,1,346,231,1,5,2,3,1,1,1,1,0,3,2,0,0,0,1,1,934,0,7,941
161,161,4,140,4,1,188,180,1,2,1,1,0,0,0,1,1,1,0,0,1,0,2,1,529,0,2,531
162,162,2,176,9,1,186,183,1,1,0,1,0,1,1,0,3,0,0,2,0,0,0,0,567,0,1,568
163,163,3,301,20,2,239,127,11,0,1,3,0,2,0,3,2,1,1,3,0,2,0,1,722,0,2,724
164,164,2,216,18,1,407,352,1,5,1,0,0,1,1,1,1,3,0,3,0,1,4,3,1021,0,5,1026
165,165,4,139,33,1,285,287,4,2,2,1,0,2,0,0,2,3,2,2,0,0,6,0,775,0,5,780
166,166,1,148,34,1,400,204,4,1,4,0,2,0,1,0,2,3,0,1,0,4,1,0,811,0,5,816
167,167,0,153,13,3,226,129,0,0,2,3,0,2,2,2,0,1,0,1,0,1,0,0,538,0,3,541
168,168,1,106,15,1,236,207,2,1,2,1,1,1,1,1,1,5,2,4,0,2,1,4,595,0,3,598
169,169,1,280,8,0,191,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,490,0,0,490
170,170,0,296,6,1,194,7,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,508,0,1,509
171,171,2,469,30,1,412,16,5,2,0,2,2,3,1,2,6,3,1,4,0,3,2,0,966,0,1,967
172,172,2,45,31,2,246,300,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,632,0,0,632
173,173,4,73,26,2,164,225,3,2,1,0,2,3,0,0,0,0,0,0,0,0,1,4,510,0,2,512
174,174,1,119,14,0,236,325,0,0,1,2,2,0,0,0,0,1,1,0,0,1,0,4,707,0,8,715
175,175,1,182,28,0,357,503,2,3,0,5,0,1,0,0,0,1,0,1,0,1,0,3,1088,0,1,1089
176,176,0,43,24,0,277,275,2,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,627,0,1,628
177,177,3,109,29,2,370,344,4,1,2,0,1,3,2,2,1,1,3,1,0,1,2,0,881,0,4,885
178,178,0,133,22,3,312,394,3,1,2,4,5,2,1,0,2,1,1,1,1,3,1,2,894,0,3,897
179,179,1,208,10,1,127,17,0,3,3,0,1,2,0,3,1,0,1,1,0,0,0,0,379,0,1,380
180,180,3,282,41,3,380,219,3,0,3,4,3,1,0,1,3,2,0,3,0,0,0,0,951,0,4,955
181,181,2,133,31,3,398,236,3,1,5,5,3,2,4,1,3,8,0,3,0,3,2,3,849,0,6,855
182,182,2,180,26,4,367,281,2,0,2,2,2,4,2,1,1,1,0,1,4,3,1,0,886,0,4,890
183,183,1,76,14,2,181,259,0,1,3,0,1,0,0,2,1,1,0,1,1,2,1,1,548,0,1,549
184,184,1,197,18,0,260,197,1,2,0,0,1,0,0,0,2,2,0,1,0,4,0,0,686,0,0,686
185,185,3,183,20,2,246,172,1,1,3,1,1,2,2,2,4,1,4,3,2,2,1,1,657,0,1,658
186,186,3,152,24,3,297,165,1,0,1,4,1,2,1,1,0,3,0,0,0,2,0,0,660,0,0,660
187,187,1,73,7,3,250,67,1,1,2,3,3,1,0,1,3,1,1,1,0,2,0,1,422,0,0,422
188,188,5,169,14,4,381,149,7,1,1,1,0,2,0,2,3,0,1,3,0,0,0,3,746,0,3,749
189,189,5,187,32,6,467,262,1,0,2,1,2,3,2,3,3,5,2,4,1,8,3,1,1000,0,7,1007
190,190,2,376,20,1,310,168,0,1,0,4,0,1,0,0,4,3,0,1,1,0,3,1,896,0,4,900
191,191,1,206,26,0,293,101,2,1,2,1,0,1,1,1,4,1,1,8,1,0,1,3,655,0,1,656
192,192,3,263,30,2,406,185,1,2,6,2,0,1,0,1,0,4,1,3,3,1,2,1,917,0,4,921
193,193,1,236,18,0,276,201,2,1,1,1,1,0,0,0,4,1,0,2,2,1,0,0,748,0,3,751
194,194,0,185,14,1,180,94,1,1,0,0,2,1,0,0,1,1,1,2,1,1,1,0,487,0,5,492
195,195,3,248,22,2,269,109,0,0,4,0,0,3,1,0,4,3,3,3,3,3,1,0,681,0,4,685
196,196,2,98,6,0,157,61,0,4,1,3,0,0,0,3,2,3,0,0,1,0,1,0,342,0,1,343
197,197,2,111,22,2,329,260,4,2,3,4,2,1,1,0,0,3,1,2,2,4,2,3,760,0,0,760
198,198,3,125,27,3,393,328,4,4,6,3,3,4,0,0,0,1,0,0,0,1,2,1,908,0,3,911
199,199,2,128,33,1,319,395,2,3,6,2,1,3,1,0,0,1,0,1,0,1,2,1,902,0,1,903
200,200,0,239,26,3,239,356,0,5,0,3,0,1,1,0,2,1,0,2,0,0,1,2,881,0,4,885
201,201,7,152,11,1,262,128,0,3,1,4,6,4,1,0,3,1,3,0,0,4,4,1,596,0,2,598
202,202,0,75,11,3,294,68,0,2,0,1,1,0,0,0,1,1,1,1,0,0,1,1,461,0,2,463
203,203,1,123,25,3,360,48,2,0,0,0,0,1,1,0,2,1,0,0,1,0,1,0,569,0,0,569
204,204,2,148,9,6,309,85,0,0,0,3,2,2,1,3,2,2,3,2,1,5,3,3,591,0,1,592
205,205,6,234,22,5,485,92,2,4,1,2,0,4,1,0,3,1,0,0,0,1,0,1,864,0,3,867
206,206,5,284,19,2,370,146,3,0,0,1,0,0,0,1,2,1,1,2,2,1,0,2,842,0,5,847
207,207,2,161,8,2,212,227,0,2,2,2,1,2,0,0,2,0,0,2,0,0,2,4,631,0,0,631
