Polling Station No,DURAI. CHANDRASEKARAN,DURAI. SENTHILNATHAN,VELU. KARTHIKEYAN,MATHI. MANIKANDAN,S. VIJAYAKUMAR,VIJAYA BABU,V. VENU,ABIMAN,ER.S. ARJUN,R. SATHIYANARAYANAN,RAJASEKARAN. S,R. RAJKUMAR,JAYAINDHRAESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
234,252,21,53,288,0,3,0,1,1,1,1,1,0,622,0,4,626,0
235,248,34,61,347,1,2,5,1,0,1,1,1,1,703,0,4,707,0
236,196,35,90,434,2,2,1,1,0,2,1,0,1,765,0,2,767,0
237,290,26,96,230,0,4,1,0,0,1,0,1,1,650,0,7,657,0
238,201,42,99,402,2,5,2,1,1,1,0,0,0,756,0,3,759,0
239,193,28,104,296,2,0,0,0,1,0,0,2,0,626,0,6,632,0
240,107,14,63,145,0,0,0,0,0,1,0,0,1,331,0,2,333,0
241,196,59,130,395,1,2,0,0,2,1,1,1,0,788,0,2,790,0
242,188,25,107,210,1,3,0,0,0,1,0,2,0,537,0,3,540,0
243,312,55,123,414,0,0,1,0,2,0,1,2,0,910,0,11,921,0
244,203,26,114,254,2,1,0,0,0,0,2,2,0,604,0,6,610,0
245,285,47,187,325,1,4,0,0,0,3,0,1,1,854,0,9,863,0
246,212,25,137,216,0,0,2,0,1,1,1,0,1,596,0,3,599,0
247,182,29,150,204,1,0,1,1,1,2,0,3,0,574,0,0,574,0
248,271,22,174,262,3,2,2,3,2,0,2,0,1,744,0,3,747,0
249,274,49,181,272,0,4,21,1,2,1,1,1,0,807,0,4,811,0
250,254,39,197,225,0,0,2,0,0,1,2,0,1,721,0,5,726,0
251,238,31,205,154,0,1,0,0,0,0,0,0,1,630,0,1,631,0
252,318,37,174,214,1,1,2,0,0,0,1,0,0,748,0,1,749,0
253,256,90,155,351,2,30,4,1,2,1,3,1,0,896,0,1,897,0
254,313,88,105,303,3,13,3,0,0,2,1,2,2,835,0,0,835,0
255,156,14,188,121,1,2,0,0,1,0,0,0,0,483,0,0,483,0
256,228,41,175,261,1,2,2,0,0,0,0,1,1,712,0,2,714,0
257,234,50,144,199,0,1,2,1,0,0,0,2,0,633,0,5,638,0
258,293,38,189,226,0,2,0,0,0,1,2,1,1,753,0,4,757,0
259,203,27,193,229,1,5,1,0,0,3,1,0,0,663,0,2,665,0
260,191,19,75,141,0,1,0,0,0,0,0,0,0,427,0,2,429,0
261,342,38,93,358,1,1,2,0,0,2,2,0,0,839,0,3,842,0
