Polling Station No,SHAN. RAMANATHAN,N. KRISHNAKUMAR,KARUPPU MURUGANANTHAM,H. MOHAMED ABDUL KHADIR,S. MUTHUVEL,R. VIJAYSARAVANAN,S. KARIKALA CHOLAN,D. KUMARAN,M. SANTHOSH,R. SABTHAGIRI,R. MURALIDHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
42,145,21,70,1,3,240,1,0,1,0,1,483,0,3,486,0
43,274,43,120,0,0,475,5,0,2,2,1,922,0,2,924,0
44,316,32,78,2,1,333,4,2,0,1,3,772,0,8,780,0
45,227,24,54,0,3,306,6,0,1,0,3,624,0,1,625,0
46,239,36,81,1,1,358,2,1,0,1,1,721,0,4,725,0
47,174,19,50,1,3,220,3,0,0,0,1,471,0,4,475,0
48,206,21,66,0,3,273,4,0,0,0,0,573,0,8,581,0
49,182,23,40,4,3,235,2,0,0,0,6,495,0,3,498,0
50,175,25,61,0,2,235,1,0,1,0,5,505,0,2,507,0
51,166,7,24,0,0,221,1,0,2,0,0,421,0,1,422,0
52,227,40,97,0,2,409,6,2,0,0,3,786,0,4,790,0
53,276,29,152,0,2,278,1,0,0,0,3,741,0,5,746,0
54,262,37,116,3,5,412,3,0,1,1,1,841,0,5,846,0
55,247,44,116,1,1,463,8,1,0,0,1,882,0,5,887,0
56,293,30,58,0,5,290,2,0,0,0,0,678,0,5,683,0
57,133,17,69,0,2,203,0,1,1,0,4,430,0,2,432,0
58,164,10,29,0,2,153,0,0,0,0,1,359,0,3,362,0
59,280,26,32,1,0,130,0,0,0,0,0,469,0,2,471,0
60,233,26,26,0,0,163,1,0,0,0,0,449,0,4,453,0
61,322,12,29,2,1,168,1,0,0,0,1,536,0,3,539,0
62,227,23,66,0,2,218,3,2,0,1,1,543,0,2,545,0
63,172,17,92,0,1,197,2,0,1,1,2,485,0,1,486,0
64,383,22,48,2,5,300,1,0,0,0,2,763,0,2,765,0
65,333,26,51,2,2,336,2,0,1,0,3,756,0,4,760,0
66,483,26,48,1,3,245,5,1,0,0,2,814,0,4,818,0
67,370,16,49,0,1,245,1,1,0,0,1,684,0,3,687,0
68,282,20,44,0,2,265,1,0,0,2,0,616,0,5,621,1
69,231,15,44,1,0,248,2,1,1,0,2,545,0,3,548,0
70,231,15,125,0,2,354,0,0,1,1,0,729,0,5,734,0
71,166,16,85,1,0,229,2,1,1,0,1,502,0,1,503,0
72,97,6,43,0,1,142,2,0,0,0,3,294,0,2,296,0
73,157,21,158,2,0,274,5,0,0,1,3,621,0,0,621,0
74,240,9,124,0,0,252,2,1,1,0,4,633,0,3,636,0
75,186,23,65,0,0,235,3,1,1,0,0,514,0,5,519,0
76,159,12,77,0,0,276,0,1,2,0,0,527,0,4,531,1
77,208,19,98,0,0,282,4,0,0,0,7,618,0,5,623,0
78,182,18,109,2,0,322,0,0,0,0,7,640,0,9,649,0
79,216,21,115,1,1,286,3,0,2,0,5,650,0,6,656,0
80,236,30,205,1,2,367,2,1,1,0,3,848,0,10,858,0
