Polling Station No,KATHARBATCHA MUTHURAMALINGAM,GBS K.NAGENDRAN,S.M. MUTHU KESAVAN,DR.J. ABUBAKKAR SITHICK,SHAHUL HAMEED,C. PARIRAJAN,S. MURUGABOOPATHY,KAN ILANGO,KARTHIGAI PANDI,A. CHINNA RAJA,BALAKRISHNAN,PULLANI,K. MALESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
263,363,81,12,0,75,0,0,0,0,0,0,0,0,531,0,2,533,0
264,323,11,8,0,55,0,0,0,0,0,0,0,0,397,0,4,401,0
265,247,4,3,0,28,0,0,1,0,1,0,1,0,285,0,0,285,0
266,440,8,14,0,66,1,0,0,0,0,1,1,0,531,0,2,533,0
267,557,9,6,1,154,0,0,1,0,2,4,1,1,736,0,4,740,0
268,353,4,12,2,72,0,1,0,0,0,0,1,0,445,0,0,445,0
269,222,84,16,0,180,0,0,1,0,0,0,0,0,503,0,1,504,0
270,170,167,19,0,104,2,0,0,1,3,1,0,3,470,0,4,474,0
271,51,116,11,1,248,1,0,2,0,3,0,2,0,435,0,0,435,0
272,355,72,30,2,116,1,0,0,0,0,0,1,0,577,0,3,580,0
273,406,86,26,2,228,0,0,2,1,1,0,0,3,755,0,2,757,0
274,100,118,44,0,143,0,0,0,0,1,0,1,1,408,0,0,408,0
275,231,116,12,2,169,1,2,0,0,0,0,0,0,533,0,4,537,0
276,115,138,20,0,156,0,0,0,0,1,0,0,1,431,0,4,435,0
277,160,183,20,0,85,2,0,1,0,0,1,1,4,457,0,6,463,0
278,134,193,79,0,185,2,0,5,1,0,0,1,5,605,0,2,607,0
279,127,189,52,0,179,0,0,1,0,0,0,0,1,549,0,0,549,0
280,148,468,20,0,117,0,1,0,0,0,0,1,2,757,0,1,758,0
281,121,260,9,0,65,0,0,0,0,1,0,1,0,457,0,0,457,0
282,173,264,17,3,179,0,0,2,0,0,0,1,0,639,0,2,641,0
283,230,476,36,0,233,0,0,0,0,0,0,2,3,980,0,4,984,0
284,79,155,19,1,189,2,1,0,0,0,1,1,0,448,0,0,448,0
285,43,131,31,0,268,0,0,0,0,1,1,0,0,475,0,0,475,0
286,135,162,23,1,179,0,1,0,0,1,0,0,1,503,0,2,505,0
287,507,36,15,0,116,0,0,0,0,0,0,0,0,674,0,0,674,0
288,342,139,18,2,171,0,0,0,0,1,1,3,1,678,0,2,680,0
289,260,77,12,0,194,0,1,0,2,0,0,2,1,549,0,2,551,0
290,625,14,7,0,121,0,0,0,0,0,0,0,0,767,0,3,770,0
291,102,286,37,0,227,0,0,1,0,0,1,0,2,656,0,4,660,0
292,501,32,13,1,116,0,0,0,0,0,0,0,0,663,0,3,666,0
293,144,113,22,1,311,0,0,2,0,0,0,0,1,594,0,1,595,0
294,179,163,5,1,217,0,0,1,1,3,1,1,0,572,0,4,576,0
295,165,240,29,3,370,1,1,0,1,2,0,1,0,813,0,3,816,0
296,134,126,35,3,267,1,0,1,1,0,0,2,0,570,0,1,571,0
297,124,185,17,1,185,1,0,2,0,2,0,0,0,517,0,2,519,0
298,100,141,7,1,201,1,1,0,1,0,1,0,2,456,0,1,457,0
299,281,58,10,0,183,1,0,1,1,1,0,1,0,537,0,3,540,0
300,383,23,2,0,111,0,0,1,0,0,0,1,0,521,0,1,522,0
301,608,15,4,0,117,0,0,2,1,0,0,0,0,747,0,1,748,0
302,350,12,7,0,71,0,0,0,0,0,0,1,0,441,0,1,442,0
303,576,80,13,1,133,0,2,0,0,1,0,0,0,806,0,3,809,0
304,476,109,12,0,162,1,0,0,0,0,0,0,1,761,0,4,765,0
305,273,340,13,1,250,0,0,0,0,1,1,0,0,879,0,3,882,0
306,129,220,15,0,271,3,1,1,2,1,0,1,4,648,0,5,653,0
307,134,197,7,2,382,0,0,1,0,2,2,0,1,728,0,3,731,0
308,176,354,16,1,225,0,0,0,0,0,0,0,0,772,0,1,773,0
309,150,218,15,1,207,1,0,1,0,1,0,1,2,597,0,0,597,0
310,216,26,8,0,90,0,0,0,1,0,0,0,0,341,0,0,341,0
311,211,162,32,0,182,0,0,1,0,0,1,0,0,589,0,2,591,0
312,193,195,23,0,183,1,0,0,0,0,0,0,0,595,0,3,598,0
313,267,173,31,2,220,0,0,1,0,1,2,1,1,699,0,1,700,0
314,222,7,31,1,266,0,0,0,0,0,0,0,1,528,0,1,529,0
315,351,18,25,1,172,1,1,1,1,0,1,0,1,573,0,4,577,0
316,351,62,43,2,360,2,0,0,0,0,0,1,2,823,0,2,825,0
317,273,94,31,1,373,0,0,3,1,1,1,0,1,779,0,0,779,0
318,238,139,35,2,404,2,0,0,1,0,1,0,0,822,0,1,823,0
319,212,65,18,0,274,1,0,0,1,0,0,0,0,571,0,0,571,0
320,354,195,15,1,210,1,0,0,1,0,0,2,0,779,0,3,782,0
321,177,152,13,3,519,3,1,1,2,4,1,2,2,880,0,6,886,0
322,192,188,22,2,322,1,1,1,0,1,0,1,0,731,0,2,733,0
323,274,165,46,1,447,0,1,1,1,1,2,1,1,941,0,0,941,0
324,214,134,33,0,483,0,0,0,0,0,0,0,0,864,0,2,866,0
325,537,24,8,0,101,0,2,0,0,1,0,0,0,673,0,0,673,0
326,673,29,18,0,141,1,0,0,0,0,0,0,0,862,0,2,864,0
327,253,209,28,1,407,1,1,1,0,1,0,0,2,904,0,7,911,0
328,136,103,10,4,273,0,0,0,0,1,1,1,1,530,0,1,531,0
329,283,11,28,0,224,2,0,0,1,1,0,0,0,550,0,1,551,0
330,129,7,24,3,435,0,0,0,0,0,0,0,0,598,0,2,600,0
331,207,7,20,2,345,0,0,1,1,0,1,0,0,584,0,0,584,0
332,173,7,14,3,287,0,0,0,0,0,0,0,1,485,0,2,487,0
333,215,16,23,6,603,3,2,1,0,3,0,0,2,874,0,2,876,0
334,297,26,36,1,152,0,0,1,0,0,0,0,0,513,0,1,514,0
335,71,55,20,1,150,0,0,3,0,2,0,1,1,304,0,3,307,0
336,247,145,36,5,240,2,0,1,0,1,0,0,2,679,0,2,681,0
337,110,140,12,0,229,2,0,1,0,0,1,0,0,495,0,4,499,0
338,102,367,26,1,77,1,0,0,0,0,0,0,0,574,0,3,577,0
339,283,69,50,0,214,0,0,0,1,1,0,0,1,619,0,1,620,0
340,502,18,20,0,119,0,1,0,0,1,0,0,0,661,0,2,663,0
