Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
70,76,8,298,0,0,218,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,604,0,2,606,0
71,54,20,424,1,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0,1,687,0
72,137,11,318,0,0,227,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695,0,3,698,0
73,30,12,432,2,1,193,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,673,0,1,674,0
74,45,8,484,0,1,205,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,750,0,3,753,0
75,96,8,130,1,1,153,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,391,0,6,397,0
76,106,11,194,1,0,136,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,452,0,7,459,0
77,24,7,242,1,0,172,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,451,0,5,456,0
78,76,8,278,0,1,183,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,548,0,2,550,0
79,69,16,193,1,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,467,0,1,468,0
80,44,8,240,1,0,217,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,514,0,2,516,0
81,94,17,261,1,1,243,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,624,0,5,629,0
82,61,33,314,1,1,252,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,665,0,4,669,0
83,50,19,351,0,0,236,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,659,0,3,662,0
84,54,18,228,0,0,212,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,516,0,2,518,0
85,38,19,202,1,0,110,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,372,0,2,374,0
86,64,17,313,1,0,264,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,663,0,3,666,0
87,38,9,257,0,0,176,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,485,0,2,487,0
88,72,17,282,1,0,319,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,699,0,2,701,0
89,27,9,231,1,0,265,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,539,0,1,540,0
90,76,13,278,0,2,320,1,0,0,0,1,0,0,1,0,2,2,0,2,1,0,2,5,1,0,0,707,0,8,715,0
