Polling Station No,Candidate_1,RAMUK KOHSA.A,NARAHDIRIG.M,MANIHTARINUM.M.A,LIPAK.G,NANAVARAS.K,K.RAKAHDUS,RAMUK LIHTNES .S,HTONIV.R,NADNANA.A,AJARAYALI.S,AMARIBUS.NASARAYIVAK,NANHSIRKALAPOG.N,MAVISAHDAS .V,R.MANAHTNAS,IHTAPUHTES.R,HSENID.M,INALAP.A,INAM.N,YMASINUM.K,MANIHTARINUM.V,NARDNEJAR.T,NAYAJIV.M,NARIDNAHCAMEH.V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
36,15,0,95,175,133,2,0,1,0,0,0,0,0,0,2,2,1,0,1,0,1,2,0,430,430,0,2,432,0
37,18,1,118,258,172,5,1,0,0,0,0,0,0,1,0,1,0,0,2,0,2,1,0,580,580,0,0,580,0
38,16,1,64,149,193,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,428,428,0,0,428,0
39,24,2,200,211,195,3,2,1,1,0,0,0,0,3,0,0,0,2,4,1,1,2,0,652,652,0,3,655,0
40,18,1,215,332,257,1,2,1,1,1,3,3,2,1,1,2,1,2,6,3,2,4,2,861,861,0,2,863,0
41,18,1,151,250,128,1,0,1,0,0,1,0,2,0,0,2,0,0,1,0,0,1,0,557,557,0,3,560,0
42,22,1,157,253,198,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,639,639,0,3,642,0
43,20,2,194,368,200,1,0,1,0,1,0,0,1,0,0,2,1,0,6,3,1,1,4,806,806,0,1,807,0
44,21,0,253,231,91,4,0,0,0,0,0,0,1,3,0,1,3,1,1,1,1,0,0,612,612,0,0,612,0
45,27,1,359,333,81,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,805,805,0,4,809,0
46,10,3,219,199,34,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,472,472,0,2,474,0
47,37,1,309,314,62,2,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,732,732,0,2,734,0
48,8,0,189,117,74,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,393,0,5,398,0
49,11,1,228,274,110,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,634,634,0,3,637,0
50,14,0,187,227,371,0,1,2,0,1,0,2,0,3,0,1,0,0,2,0,0,0,1,812,812,0,3,815,0
51,22,1,158,213,397,5,0,0,1,0,1,1,2,3,0,2,1,2,0,0,4,3,0,816,816,0,3,819,0
52,21,0,402,228,71,3,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,731,731,0,3,734,0
53,25,1,270,295,168,6,4,0,0,0,0,0,0,1,0,0,1,2,0,1,3,1,0,778,778,0,3,781,0
54,14,0,201,205,157,7,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,590,590,0,0,590,0
55,14,0,246,241,150,4,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,662,662,0,2,664,0
56,35,0,304,233,78,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,656,656,0,6,662,0
57,25,1,228,261,45,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,566,566,0,2,568,0
58,20,0,253,249,53,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,579,579,0,2,581,0
59,22,0,169,156,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,372,372,0,1,373,0
60,13,0,191,160,49,3,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,424,424,0,3,427,0
61,11,2,185,141,31,3,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,379,379,0,2,381,0
62,22,0,215,218,77,4,0,2,3,0,0,1,0,0,0,0,0,1,2,1,0,0,0,546,546,0,1,547,0
63,12,0,167,194,82,2,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,463,463,0,2,465,0
64,16,1,359,215,46,2,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,645,645,0,4,649,0
65,37,2,373,386,133,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,938,938,0,2,940,0
66,7,1,235,176,68,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,1,0,498,498,0,1,499,0
