Polling Station No,KRISHNASWAMY.A,MEKALA.J,RAJASEKARAN.K,ELUMALAI.T.A,PRAKASAM.R,SIVAKUMAR.S,DHASARATHAN.R,PURUSHOTHAMAN.B,RAVIKUMAR.M,VELU.S,DR.JAYANTHI.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
49,169,19,1,132,318,0,2,1,2,1,0,645,0,3,648,0
50,221,34,4,119,433,0,1,2,0,2,0,816,0,5,821,0
51,147,13,3,134,248,1,1,0,1,0,1,549,0,1,550,0
52,203,31,1,175,463,0,0,0,1,2,3,879,0,5,884,0
53,119,18,4,122,492,3,1,1,2,6,1,769,0,2,771,0
54,140,14,1,56,267,1,1,0,1,2,1,484,0,3,487,0
55,152,17,1,46,308,1,1,2,1,1,0,530,0,0,530,0
56,172,18,1,32,295,3,0,0,0,0,1,522,0,1,523,0
57,193,19,0,83,386,0,0,0,1,0,1,683,0,2,685,0
58,110,12,0,54,244,2,1,1,0,4,1,429,0,1,430,0
59,168,17,0,111,421,1,1,0,0,1,0,720,0,1,721,0
60,47,7,2,42,269,0,0,0,0,1,1,369,0,1,370,0
61,244,9,1,65,309,1,2,1,0,0,0,632,0,0,632,0
62,259,17,1,60,349,0,0,0,0,0,1,687,0,0,687,0
63,206,15,2,91,374,1,0,2,1,1,1,694,0,6,700,0
64,125,4,1,93,215,1,1,1,0,0,0,441,0,1,442,0
65,215,7,1,40,286,0,0,0,0,1,0,550,0,3,553,0
66,249,9,7,56,287,0,1,0,0,1,0,610,0,6,616,0
67,192,19,3,83,463,0,0,1,0,0,0,761,0,2,763,0
68,184,7,0,99,273,1,0,0,2,0,0,566,0,6,572,0
69,207,18,0,66,314,0,3,1,2,0,0,611,0,2,613,0
70,287,21,0,61,328,0,0,1,1,0,0,699,0,2,701,0
71,80,17,2,64,263,1,0,0,0,0,0,427,0,2,429,0
72,237,29,2,81,486,0,0,1,0,1,0,837,0,6,843,0
73,217,19,0,111,552,1,1,0,1,0,0,902,0,2,904,0
74,104,19,1,210,351,0,0,1,0,1,1,688,0,2,690,0
75,108,20,0,40,258,2,0,2,0,2,0,432,0,5,437,0
76,150,10,5,129,359,0,0,1,1,0,0,655,0,2,657,0
77,240,5,5,101,420,2,0,0,0,0,2,775,0,7,782,0
78,217,10,7,149,241,0,1,1,0,1,0,627,0,6,633,0
79,140,8,0,108,121,1,1,0,2,0,0,381,0,1,382,0
80,199,44,6,135,383,0,0,1,1,0,0,769,0,1,770,0
81,116,38,1,263,355,1,0,0,1,1,0,776,0,3,779,0
82,274,27,1,165,331,1,1,5,2,0,1,808,0,2,810,0
83,179,18,1,132,394,1,1,1,3,1,1,732,0,6,738,0
84,165,24,0,169,479,2,1,1,1,0,1,843,0,3,846,0
85,279,11,1,123,429,3,1,5,1,2,0,855,0,0,855,0
86,158,19,0,102,422,0,2,0,2,2,0,707,0,5,712,0
87,106,11,1,43,201,0,0,0,0,0,0,362,0,3,365,0
88,239,16,2,71,394,3,0,2,2,1,1,731,0,1,732,0
89,181,16,0,51,342,0,0,1,3,0,0,594,0,3,597,0
90,157,9,2,64,255,1,0,0,0,0,0,488,0,2,490,0
91,262,39,4,57,424,1,1,0,0,1,2,791,0,5,796,0
92,275,15,2,129,481,1,0,1,5,1,0,910,0,3,913,0
93,117,28,1,281,488,2,0,1,6,1,0,925,0,8,933,0
94,243,20,0,201,390,0,0,2,3,0,0,859,0,3,862,0
95,163,18,2,61,242,2,1,0,0,0,0,489,0,2,491,0
96,290,21,1,187,370,2,0,1,0,1,0,873,0,2,875,0
97,147,19,0,54,329,2,1,1,0,1,0,554,0,5,559,0
98,194,27,1,89,385,1,0,1,0,0,0,698,0,7,705,0
99,237,32,1,98,411,2,0,0,1,0,1,783,0,5,788,0
100,162,25,1,71,327,1,0,0,1,0,0,588,0,4,592,0
101,214,41,4,100,560,1,0,1,1,0,1,923,0,5,928,0
102,187,13,0,64,324,0,0,0,1,0,1,590,0,1,591,0
103,170,38,1,72,387,0,0,0,0,0,0,668,0,7,675,0
104,169,28,2,112,364,0,0,1,1,0,0,677,0,5,682,0
105,188,20,3,70,291,1,0,1,0,1,0,575,0,4,579,0
106,210,24,0,74,291,0,0,0,2,0,0,601,0,2,603,0
107,150,16,0,24,192,0,0,1,0,1,0,384,0,1,385,0
108,257,32,0,101,488,0,0,0,0,0,2,880,0,5,885,0
109,88,27,3,41,261,0,0,0,0,0,1,421,0,2,423,0
110,169,30,1,73,320,1,0,0,0,0,1,595,0,5,600,0
111,217,36,1,101,411,0,1,0,1,1,0,769,0,9,778,0
112,222,39,0,91,346,2,0,0,0,2,1,703,0,6,709,0
113,131,10,2,55,409,1,0,1,2,1,0,612,0,6,618,0
114,141,27,0,113,322,1,0,0,1,0,0,605,0,4,609,0
115,232,31,4,94,362,0,0,2,0,1,0,726,0,5,731,0
116,82,7,1,14,122,0,0,0,1,0,0,227,0,1,228,0
117,194,12,0,89,394,1,0,1,0,1,2,694,0,4,698,0
118,131,8,1,55,209,0,1,0,0,0,1,406,0,1,407,0
119,161,25,2,170,435,0,0,0,3,0,0,796,0,2,798,0
120,236,35,5,55,532,2,1,0,1,1,0,868,0,3,871,0
121,221,19,3,96,366,3,1,0,0,0,0,709,0,2,711,0
122,203,18,16,104,414,1,0,1,2,0,1,760,0,5,765,0
123,196,16,1,35,350,0,0,1,1,0,1,601,0,1,602,0
