Polling Station No,S.GOKULA INDIRA,S.SHANKAR,N.CHITRARASU,B.ANAND,S.DHAYALAN,V.K.RAMKUMAR,E.V.S.RAJAKUMAR NAIDU,N.P.RAJHA,T S HABEEB MOHAMMAD,S ANSAR ALI,G OMPRAKASH,L KASINATHAN,S SATHISH KUMAR,G.SIVA KUMAR,M SELVAMUTHUKUMAR,L NARENDRAN,J NAGARAJ,M MANOHARAN,MOHAMMED BILAL FATHICK,RAMAMOORTHY E,RAJENDIRAN NAIDU,S VINESH KUMAR,JANARTHANAN P,M HARISHANKAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
182,134,11,150,0,2,224,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,523,0,3,526,0
183,107,14,114,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,443,0,6,449,0
184,113,25,256,0,0,291,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,691,0,3,694,0
185,159,19,126,0,1,269,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,579,0,4,583,0
186,105,17,190,0,1,267,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,586,0,1,587,0
187,115,25,76,0,0,203,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,424,0,0,424,0
188,93,13,136,0,0,218,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,465,0,2,467,0
189,113,20,123,1,1,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,475,0,7,482,0
190,142,21,159,1,0,325,1,1,0,1,0,0,0,0,0,0,2,0,2,0,1,8,0,1,665,0,2,667,0
191,101,28,165,0,2,311,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,613,0,2,615,0
192,139,24,173,0,0,283,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,624,0,5,629,0
193,109,30,190,0,0,382,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,719,0,1,720,0
194,131,33,186,0,1,386,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,741,0,2,743,0
195,119,16,211,0,1,412,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,763,0,4,767,0
196,128,30,188,0,3,324,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,678,0,7,685,0
197,121,24,129,2,1,260,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,545,0,3,548,0
198,134,24,217,0,0,252,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,631,0,6,637,0
199,101,21,278,3,0,330,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,1,0,743,0,2,745,0
200,69,20,212,0,1,265,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,571,0,2,573,0
201,101,15,193,0,2,266,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,581,0,3,584,0
202,83,22,196,0,1,336,2,0,2,1,1,0,0,0,0,0,5,0,0,0,0,2,0,0,651,0,2,653,0
203,92,12,238,1,0,278,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,624,0,3,627,0
204,104,20,227,1,0,293,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,648,0,7,655,0
