Polling Station No,DURAI CHANDRASEKAR,SANTHOSHKUMAR.J,BALARAMAN.P,RAJATHI.M,ASHOK PRIYADARSHAN,RAJA.S,KOTTEESWARAN. K,MALATHI.S,DR.RAVI.M.S,NAGAIYAN.G,BARATHIRAJA.K,RAJASEKAR.J,VENKATESAN.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
253,211,5,103,34,0,1,1,1,469,0,0,1,0,826,0,1,827,0
254,218,2,134,32,0,1,2,1,499,0,0,1,0,890,0,4,894,0
255,182,1,181,9,0,0,0,1,431,1,0,0,0,806,0,4,810,0
256,42,0,254,9,0,0,0,1,144,1,0,0,0,451,0,0,451,0
257,150,0,143,15,0,7,1,1,298,1,1,2,0,619,0,3,622,0
258,187,1,194,22,1,0,3,1,427,1,2,0,1,840,0,1,841,0
259,125,0,226,14,0,1,0,0,412,0,0,1,0,779,0,5,784,0
260,187,0,276,23,1,0,0,1,456,2,2,2,0,950,0,2,952,0
261,232,2,212,15,0,5,0,2,379,0,0,3,1,851,0,2,853,0
262,126,2,86,7,0,0,0,2,294,0,0,0,0,517,0,5,522,0
263,155,1,237,20,1,2,0,2,516,0,0,1,0,935,0,3,938,0
264,226,2,206,24,2,0,1,1,347,0,0,1,0,810,0,4,814,0
265,146,3,63,7,2,1,1,0,303,0,2,2,0,530,0,0,530,0
266,198,2,166,12,2,1,0,1,358,0,0,1,0,741,0,7,748,0
267,82,5,468,22,0,0,2,2,179,0,0,1,0,761,0,1,762,0
268,131,1,185,15,0,2,0,4,406,4,2,1,1,752,0,2,754,0
269,164,1,245,13,0,0,1,0,403,0,0,0,0,827,0,3,830,0
270,145,2,190,16,1,2,0,0,304,0,2,0,2,664,0,1,665,0
271,197,2,163,11,0,1,0,2,352,2,0,1,0,731,0,0,731,0
272,298,1,246,6,1,0,1,2,435,1,0,2,0,993,0,2,995,0
273,144,0,204,13,1,1,0,0,247,0,0,0,0,610,0,0,610,0
274,142,3,93,17,0,0,0,1,306,0,0,0,0,562,0,0,562,0
275,61,2,125,11,0,0,1,0,248,0,0,0,0,448,0,0,448,0
276,110,3,116,22,0,7,0,1,317,2,0,0,0,578,0,2,580,0
277,125,2,138,32,1,4,0,1,363,2,0,1,2,671,0,2,673,0
278,174,0,85,23,0,24,1,1,328,0,0,2,0,638,0,5,643,0
279,158,3,109,22,0,14,1,0,358,2,1,1,1,670,0,7,677,0
280,105,2,128,9,0,0,0,0,146,0,2,1,0,393,0,3,396,0
281,149,3,221,16,1,1,0,3,538,0,0,1,2,935,0,1,936,0
282,77,2,71,5,0,0,0,1,232,2,0,0,3,393,0,1,394,0
283,228,2,217,22,0,1,0,1,313,1,2,1,0,788,0,7,795,0
284,129,2,171,32,0,7,1,0,425,0,0,2,1,770,0,3,773,0
285,196,1,135,35,0,2,1,2,429,2,0,1,1,805,0,3,808,0
286,107,0,113,16,1,0,0,0,219,1,0,1,0,458,0,3,461,0
287,132,0,225,20,0,1,0,1,375,0,0,2,0,756,0,2,758,0
288,225,2,175,29,1,2,1,0,426,0,1,2,0,864,0,4,868,0
289,139,2,146,11,1,1,0,2,384,1,1,1,1,690,0,2,692,0
290,137,2,449,18,0,0,0,2,278,0,0,1,3,890,0,5,895,0
291,178,3,241,18,1,0,0,2,378,3,1,1,2,828,0,5,833,0
292,122,5,103,19,0,4,0,1,276,1,0,0,1,532,0,1,533,0
293,172,0,212,19,1,0,0,0,355,0,0,0,0,759,0,4,763,0
294,361,1,132,15,3,4,0,0,389,0,1,2,1,909,0,2,911,0
295,265,3,215,16,0,1,0,3,432,1,0,2,0,938,0,1,939,0
296,174,0,209,11,1,0,0,0,220,0,0,1,0,616,0,3,619,0
297,231,2,134,19,0,1,0,2,396,0,0,0,2,787,0,6,793,0
298,210,1,111,19,0,0,1,1,297,0,0,0,0,640,0,0,640,0
299,98,1,146,7,0,0,0,1,248,2,0,2,0,505,0,4,509,0
300,75,1,132,2,0,0,0,0,215,0,0,2,0,427,0,2,429,0
301,84,3,102,9,0,1,0,0,386,0,0,2,1,588,0,2,590,0
302,138,2,247,24,0,1,0,2,280,0,0,2,0,696,0,2,698,0
303,187,0,346,22,0,1,0,1,405,0,0,0,0,962,0,3,965,0
304,83,3,104,14,2,0,1,0,266,2,1,0,0,476,0,1,477,0
305,204,1,102,9,1,3,0,4,520,0,0,1,0,845,0,0,845,0
306,164,1,170,20,0,6,2,0,393,0,1,0,1,758,0,4,762,0
307,81,0,188,9,1,1,0,1,267,0,0,0,0,548,0,2,550,0
308,168,2,194,15,3,1,1,2,469,1,1,0,0,857,0,2,859,0
309,217,1,161,30,3,0,1,3,407,1,1,2,1,828,0,5,833,0
310,75,1,140,19,2,1,0,2,216,0,0,2,0,458,0,1,459,0
311,196,2,252,23,0,0,1,2,354,3,0,4,1,838,0,2,840,0
312,166,2,171,24,1,1,3,2,319,1,0,0,0,690,0,1,691,0
313,120,1,160,15,1,0,2,1,267,1,1,0,0,569,0,1,570,0
314,34,0,100,1,1,0,0,1,128,2,1,1,0,269,0,0,269,0
315,45,1,69,5,0,0,0,0,271,1,2,1,0,395,0,0,395,0
316,203,4,188,11,0,0,0,0,306,0,1,3,1,717,0,1,718,0
317,173,4,114,26,0,0,0,1,364,0,2,0,1,685,0,4,689,0
318,89,6,142,14,1,0,0,1,204,0,0,0,0,457,0,1,458,0
319,116,1,40,9,0,0,0,1,230,0,1,1,0,399,0,7,406,0
320,162,2,116,37,0,1,0,2,399,1,2,1,1,724,0,4,728,0
321,87,1,43,16,0,0,0,0,256,0,1,0,0,404,0,1,405,0
322,176,1,100,14,1,0,0,0,283,0,0,0,0,575,0,3,578,0
323,255,1,231,37,2,0,0,1,549,0,0,0,1,1077,0,2,1079,0
324,206,13,137,13,0,2,0,1,340,1,1,0,1,715,0,2,717,0
325,292,3,147,31,0,0,0,2,422,0,1,1,1,900,0,2,902,0
326,111,3,125,22,2,1,2,2,440,1,0,2,2,713,0,4,717,0
327,220,27,94,25,4,5,3,1,478,2,3,6,8,876,0,14,890,0
