Polling Station No,Candidate_1,IHCTAK M DNIVARA RALIMAT MAAN,YTRAP V JAMAS NAMAR NAJUHAB,ARTENNUM ADIVARD MAGAHZAK S RAKES ANNA AIDNI LLA,MAGAHZAK S K ARTENNUM YIHTROOM ADIVARD,ADIVARD AMMA MAGAHZAK S RAVIALAHT USARAVLES ARTENNUM IHCTARUP ANNA,IHCTAK IAMIRUVHZAAV V AJALIAHS AGAHZIMAT,MAGAHZAK A RAMUKADNAN IRTTEV AGALIMAT,LAKKAM ADIVARD IHCTAK P MAIKKAB ANNA LAYES AYIHTNIHTIANA,LAKKAM R K RAVIALAHTIHCTARUP MAGAHZAK IJAALAHBAYRUS ARTTENNUM YAJIV AIDNI LLA,N TNEDNEPEDNI YMASAMAR,S TNEDNEPEDNI YMASADNAK,TNEDNEPEDNI R KIHTRAK,TNEDNEPEDNI G NALAPOG,K TNEDNEPEDNI NASRAHDUS,TNEDNEPEDNI R HSERUS,TNEDNEPEDNI C RAKES,TNEDNEPEDNI V RAKES,M TNEDNEPEDNI USARAGNAHT,S IRAWHSEMARAP TNEDNEPEDNI,S TNEDNEPEDNI YMASINALAP,TNEDNEPEDNI R IJALAB,TNEDNEPEDNI K PAHTARP,M RAMUK TNEDNEPEDNI JONAM,TNEDNEPEDNI M IHTRUM,TNEDNEPEDNI M IHTROOM,TNEDNEPEDNI K HTIJNAR,TNEDNEPEDNI P HSEMAR,TNEDNEPEDNI R HSEMAR,TNEDNEPEDNI R AJAR,TNEDNEPEDNI A AHTAL,A RAMUKAYAJIV TNEDNEPEDNI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
73,73,18,1,415,246,1,1,178,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,867,0,1,868,0
74,74,10,3,176,228,1,8,139,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,573,0,0,573,0
75,75,22,0,349,224,3,1,215,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,3,0,1,0,1,0,0,0,0,826,0,6,832,0
76,76,20,1,446,274,1,3,225,0,1,0,2,0,2,1,0,0,2,2,0,2,1,0,1,0,0,0,1,2,2,0,0,989,0,0,989,0
77,77,13,0,328,233,2,2,278,1,1,0,0,0,0,0,0,1,1,0,3,0,0,0,3,0,0,1,1,0,0,1,0,869,0,1,870,0
78,78,16,1,272,299,2,0,316,4,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,919,0,0,919,0
79,79,24,0,292,340,0,0,256,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,921,0,2,923,0
80,80,34,0,318,269,0,2,204,0,1,0,0,0,0,0,0,2,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,836,0,2,838,0
81,81,24,0,220,259,1,0,210,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,719,0,0,719,0
82,82,34,1,249,312,0,0,328,1,0,0,0,0,1,0,0,1,3,1,4,2,0,0,1,0,0,0,1,0,0,0,0,939,0,4,943,0
83,83,21,0,145,185,0,0,155,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,513,0,1,514,0
84,84,26,1,187,189,3,0,206,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,616,0,1,617,0
85,85,18,0,108,125,0,0,128,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,385,0,0,385,0
86,86,29,0,215,210,0,1,312,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,771,0,3,774,0
87,87,13,1,163,189,0,0,258,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,630,0,4,634,0
88,88,25,0,154,171,0,0,230,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,584,0,4,588,0
89,89,26,0,206,209,0,0,185,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,2,632,0
90,90,12,1,129,156,0,1,193,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,494,0,2,496,0
91,91,36,0,219,303,0,0,253,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,816,0,4,820,0
92,92,17,1,156,165,0,0,192,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,537,0,0,537,0
93,93,19,3,238,245,0,0,303,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,1,0,0,0,0,1,0,817,0,0,817,0
94,94,19,0,254,206,1,0,410,0,2,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,898,0,3,901,0
95,95,23,1,172,242,0,2,355,0,0,0,0,0,1,1,0,0,3,2,1,1,0,0,2,1,0,0,0,0,2,0,0,809,0,0,809,0
96,96,25,1,270,341,3,0,303,1,1,0,1,0,0,0,0,0,2,1,2,4,0,1,4,0,0,0,1,0,0,2,1,964,0,0,964,0
97,97,24,1,271,250,3,1,256,0,0,0,1,0,1,1,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,817,0,4,821,0
98,98,28,2,231,311,0,1,261,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,2,845,0,4,849,0
99,99,24,1,211,300,1,0,267,2,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,817,0,1,818,0
100,100,25,0,256,295,4,0,278,1,0,0,0,0,0,0,1,1,2,0,2,0,1,0,1,1,1,0,0,1,1,0,0,871,0,2,873,0
101,101,38,0,245,263,2,2,439,3,0,0,1,0,2,0,0,2,2,0,1,1,0,0,2,1,0,0,1,0,0,0,2,1007,0,2,1009,0
102,102,9,0,177,190,1,0,111,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,494,0,1,495,0
103,103,15,0,97,162,2,1,86,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,369,0,1,370,0
104,104,21,0,115,261,2,0,257,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,661,0,2,663,0
105,105,23,2,196,193,2,0,253,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,680,0,3,683,0
106,106,22,3,197,275,0,0,238,0,0,0,1,1,5,0,0,1,5,0,0,3,0,0,5,2,1,1,0,3,1,0,1,765,0,3,768,0
107,107,7,1,186,179,1,0,93,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,1,0,476,0,1,477,0
108,108,23,0,311,337,2,0,223,1,1,1,3,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,908,0,0,908,0
109,109,16,0,155,208,1,0,153,1,0,0,1,0,1,0,0,0,3,0,2,1,1,0,0,0,0,0,0,1,0,0,0,544,0,0,544,0
110,110,9,0,156,126,0,0,97,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,391,0,0,391,0
111,111,7,0,177,193,3,0,148,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4,0,1,0,0,1,1,1,0,540,0,1,541,0
112,112,8,0,159,192,3,0,133,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,502,0,0,502,0
113,113,17,3,166,190,1,1,124,3,1,0,2,0,0,0,0,1,2,0,3,0,0,0,1,1,1,0,0,0,1,0,0,518,0,0,518,0
114,114,4,2,137,187,2,2,155,0,0,0,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,497,0,1,498,0
115,115,13,0,245,133,1,3,114,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,515,0,0,515,0
116,116,14,1,135,182,0,0,114,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,451,0,1,452,0
117,117,20,1,172,196,0,8,265,2,1,1,1,0,1,1,1,2,1,1,0,0,0,1,2,2,0,1,1,0,1,0,0,682,0,2,684,0
118,118,10,1,318,203,1,0,251,1,0,2,1,0,0,2,0,3,3,1,0,0,1,0,0,0,0,1,0,0,0,2,0,801,0,0,801,0
119,119,18,0,75,190,0,1,158,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,445,0,2,447,0
120,120,22,0,125,183,0,2,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,538,0,1,539,0
121,121,5,1,56,72,1,1,91,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,233,0,0,233,0
122,122,26,3,208,220,3,0,261,1,0,0,0,0,1,4,1,0,0,1,1,0,1,0,3,1,0,0,0,0,0,3,0,738,0,2,740,0
123,123,20,3,228,184,0,2,210,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,656,0,1,657,0
124,124,62,1,230,70,0,0,127,0,0,0,0,0,2,0,1,4,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,503,0,0,503,0
125,125,40,0,210,203,1,5,199,1,1,0,0,0,2,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,668,0,1,669,0
126,126,21,0,188,103,1,0,110,1,0,0,0,2,0,0,0,1,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,433,0,1,434,0
127,127,25,0,175,160,1,1,175,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,544,0,1,545,0
128,128,20,0,224,140,2,6,140,0,0,0,2,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,543,0,1,544,0
