Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
61,298,19,3,0,0,0,0,0,0,35,0,0,1,1,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,800,0,5,805,0
62,250,11,1,0,0,0,0,0,0,26,2,0,0,1,0,440,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,739,0,5,744,0
63,199,13,1,0,1,0,0,0,0,20,6,0,1,2,0,391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,640,0,2,642,0
64,267,21,0,0,0,0,0,0,0,41,0,0,2,1,0,482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,820,0,0,820,0
65,310,10,1,0,0,0,0,1,0,41,1,0,1,0,0,379,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,748,0,0,748,0
66,188,15,0,0,0,0,0,0,0,17,0,0,1,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,1,0,550,0,3,553,0
67,174,8,1,0,1,0,0,1,0,17,1,0,2,0,0,242,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,455,0,2,457,0
68,207,21,0,0,0,0,0,0,0,37,1,0,1,1,0,456,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,1,0,736,0,2,738,0
69,331,7,1,0,0,0,0,0,0,16,0,0,0,1,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,2,705,0
70,298,14,0,0,0,0,0,1,0,17,1,0,2,0,0,449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,787,0,0,787,0
71,275,27,2,0,0,0,0,2,1,20,0,0,0,2,2,473,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,809,0,3,812,0
