Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
121,87,135,23,0,213,0,0,0,0,1,1,0,0,1,0,2,2,463,0,463,0
122,79,221,31,1,253,1,0,0,0,0,0,0,0,0,1,1,1,588,0,588,0
123,99,121,10,0,202,0,0,0,0,0,2,0,0,0,0,3,3,437,0,437,0
124,175,200,46,1,295,0,0,0,0,0,0,0,0,0,0,6,6,723,0,723,0
125,31,135,16,0,72,1,0,0,0,0,0,0,2,0,0,2,2,259,0,259,0
126,107,142,24,2,208,0,0,0,0,1,0,0,0,1,0,3,3,488,0,488,0
127,83,192,21,0,263,0,0,0,0,0,0,0,0,0,0,2,2,561,0,561,0
128,125,228,25,0,304,0,0,0,1,0,0,0,0,0,0,1,1,684,0,684,0
129,144,218,35,1,331,0,1,0,1,0,1,1,0,0,0,2,2,735,0,735,0
130,78,243,17,1,218,0,0,0,0,0,0,0,0,0,0,0,0,557,0,557,0
131,141,180,10,0,292,0,0,0,1,0,1,0,0,0,0,0,0,625,0,625,0
132,148,236,21,2,352,1,0,1,0,0,0,0,0,0,3,5,5,769,0,769,0
133,103,291,18,0,356,0,0,0,1,1,1,2,0,1,2,2,2,778,0,778,0
134,100,207,20,0,187,0,0,1,0,0,0,1,0,0,0,2,2,518,0,518,0
135,174,169,24,0,249,0,0,0,0,1,1,1,0,0,0,0,0,619,0,619,0
136,200,243,37,1,299,0,0,0,0,0,0,0,0,0,0,0,0,780,0,780,0
137,140,131,52,2,182,0,0,0,0,0,0,0,0,0,0,1,1,508,0,508,0
138,116,295,20,0,311,0,0,0,0,1,1,0,0,0,1,4,4,749,0,749,0
139,46,198,11,0,147,1,0,0,0,0,0,0,0,0,1,2,2,406,0,406,0
140,59,221,9,0,180,0,0,0,0,0,0,0,0,0,1,4,4,474,0,474,0
141,122,182,20,0,203,0,0,1,0,0,0,0,0,0,0,1,1,529,0,529,0
142,184,214,7,0,294,0,0,0,0,0,0,2,1,0,2,4,4,708,0,708,0
143,89,156,10,0,206,0,0,0,1,0,0,0,0,0,0,5,5,467,0,467,0
144,135,219,11,0,276,1,0,0,1,0,0,0,0,0,0,3,3,646,0,646,0
145,107,218,16,2,256,0,0,0,0,0,2,1,0,0,1,1,1,604,0,604,0
146,113,228,25,0,298,0,1,0,0,0,0,0,1,0,3,0,0,669,0,669,0
147,94,212,13,0,197,1,0,0,0,0,0,0,0,0,0,1,1,518,0,518,0
148,80,236,16,1,231,1,0,0,0,0,0,0,0,0,0,0,0,565,0,565,0
149,157,147,14,0,238,1,0,0,0,0,0,0,0,1,0,2,2,560,0,560,0
150,161,200,17,1,270,0,1,0,0,0,0,0,0,0,2,3,3,655,0,655,0
151,131,216,14,0,243,1,0,0,1,0,1,0,0,1,0,2,2,610,0,610,0
152,168,160,28,2,303,1,0,0,0,0,0,0,0,0,0,3,3,665,0,665,0
153,146,199,18,1,346,1,0,0,0,1,0,0,0,0,1,3,3,716,0,716,0
154,123,104,15,1,266,1,0,0,0,0,1,1,0,0,2,3,3,517,0,517,0
155,166,125,15,0,274,0,0,0,0,0,0,0,0,0,0,2,2,582,0,582,0
156,119,178,30,4,293,1,0,0,1,0,1,3,1,1,2,4,4,638,0,638,0
157,132,104,19,0,213,0,1,0,0,0,0,1,0,0,0,1,1,471,0,471,0
158,139,189,19,2,262,1,0,0,1,0,0,0,0,0,2,1,1,616,0,616,0
159,121,257,29,0,288,0,0,0,0,0,0,0,0,1,0,1,1,697,0,697,0
160,207,218,21,0,284,1,1,0,1,0,1,1,0,0,2,6,6,743,0,743,0
161,44,80,7,0,107,0,0,0,0,0,2,0,0,0,0,1,1,241,0,241,0
162,97,163,13,0,272,0,0,0,0,0,0,0,0,1,0,1,1,547,0,547,0
163,149,164,19,0,242,0,0,0,1,0,0,0,0,0,0,3,3,578,0,578,0
164,195,184,18,2,202,0,0,0,0,0,0,0,0,0,1,6,6,608,0,608,0
165,146,216,22,2,231,0,0,0,0,1,0,0,0,0,0,7,7,625,0,625,0
166,123,208,18,0,288,1,0,0,0,0,0,1,0,0,1,2,2,642,0,642,0
167,150,186,29,2,244,1,2,0,0,0,0,0,0,2,1,1,1,618,0,618,0
168,173,166,20,0,215,0,0,1,0,2,0,0,1,0,0,6,6,584,0,584,0
169,195,207,30,0,210,1,0,0,0,0,1,0,0,1,0,6,6,651,0,651,0
170,127,203,38,0,263,0,0,0,0,0,1,0,0,1,1,2,2,636,0,636,0
171,137,222,31,0,292,0,0,0,0,0,1,0,0,0,0,13,13,696,0,696,0
172,155,239,42,0,260,0,0,0,0,1,0,1,0,0,1,7,7,706,0,706,0
173,143,289,35,2,259,1,1,0,1,0,0,0,0,0,0,3,3,734,0,734,0
174,136,270,24,0,268,0,0,0,0,0,0,0,0,1,0,1,1,700,0,700,0
175,118,180,21,1,408,0,0,0,0,0,1,1,0,0,1,2,2,733,0,733,0
176,126,235,23,1,248,1,1,0,0,1,0,0,0,0,0,5,5,641,0,641,0
177,124,150,26,1,453,0,0,0,0,0,2,0,1,0,3,3,3,763,0,763,0
178,129,213,26,0,334,1,0,0,0,1,0,0,0,1,1,3,3,709,0,709,0
179,104,185,41,0,180,0,0,0,0,0,0,0,0,1,0,4,4,515,0,515,0
180,129,178,32,1,237,0,0,0,1,0,0,0,0,0,0,5,5,583,0,583,0
181,96,184,25,0,236,2,0,0,0,0,0,0,1,0,0,2,2,546,0,546,0
182,144,235,43,0,296,0,1,0,0,0,0,0,0,1,0,9,9,729,0,729,0
183,117,179,24,0,227,1,0,0,0,1,0,0,0,0,0,6,6,555,0,555,0
184,21,74,3,1,77,0,0,0,0,0,0,1,0,0,0,2,2,179,0,179,0
185,89,132,3,0,173,0,0,0,1,0,0,0,0,0,1,2,2,401,0,401,0
186,17,79,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137,0
187,237,175,32,0,239,0,0,0,0,0,2,0,1,0,0,3,3,689,0,689,0
188,253,131,20,0,245,0,0,0,0,0,0,1,0,0,1,4,4,655,0,655,0
